run,spearman_rank_correlation,five_level_agreement,top100_overlap,weight_direct_impact,weight_operational_complexity,weight_contextual_risk
1,0.9999922599858887,0.9977,0.99,0.7,0.1420312452251646,0.15796875477483546
2,0.9999936654426299,0.9957,0.98,0.7,0.1422310627754577,0.15776893722454233
3,0.99999445098928,0.9966,0.99,0.7,0.14116987652385213,0.15883012347614794
4,0.9999913167227064,0.9968,0.99,0.7,0.1411765892762863,0.15882341072371375
5,0.999994985435083,0.9968,0.99,0.7,0.14194935478458037,0.1580506452154197
6,0.9999890754751455,0.9969,0.99,0.7,0.1419306329822039,0.15806936701779617
7,0.9999962952875018,0.9942,0.97,0.7,0.14172122429085346,0.15827877570914656
8,0.9999977382443698,0.9987,0.98,0.7,0.14204625380075955,0.15795374619924052
9,0.9999867139871789,0.9974,0.97,0.7,0.14243928259747798,0.15756071740252203
10,0.9999954582606781,0.9978,0.98,0.7,0.14195073006132966,0.15804926993867038
11,0.9999935552342581,0.9971,0.99,0.7,0.14216813770672018,0.1578318622932799
12,0.9999927211474443,0.9972,0.98,0.7,0.14167908883195585,0.15832091116804423
13,0.9999926081790632,0.9976,0.97,0.7,0.14169304034451474,0.1583069596554853
14,0.9999943062327916,0.9946,0.97,0.7,0.14190354709066855,0.15809645290933147
15,0.9999928899280137,0.9968,0.98,0.7,0.14105286263414538,0.1589471373658547
16,0.9999916976519916,0.9974,0.96,0.7,0.1423828782400932,0.15761712175990678
17,0.9999924319824688,0.9964,0.97,0.7,0.1417553436077555,0.15824465639224453
18,0.9999930734326329,0.9977,0.99,0.7,0.14129462470784504,0.158705375292155
19,0.9999948760427139,0.9974,0.97,0.7,0.1416964065235978,0.15830359347640224
20,0.9999961721550865,0.998,0.98,0.7,0.14208949882355185,0.1579105011764482
21,0.9999929074840729,0.9981,0.98,0.7,0.14284640815730784,0.15715359184269215
22,0.999995213651853,0.997,0.99,0.7,0.14229372589568035,0.15770627410431973
23,0.9999918187204,0.9949,0.99,0.7,0.14277099866238718,0.15722900133761286
24,0.9999949913511029,0.9965,0.97,0.7,0.1426560187190382,0.15734398128096183
25,0.999992926144136,0.9989,0.99,0.7,0.14272010677942443,0.15727989322057562
