split,score_lower,score_upper,pairs,mean_score,observed_same_group_fraction
validation_unseen_organizations,0.0,0.1,954,0.0091799107903692,0.0251572327044025
validation_unseen_organizations,0.1,0.2,143,0.1543063173125296,0.4615384615384615
validation_unseen_organizations,0.2,0.3,229,0.2486765353158185,0.3187772925764192
validation_unseen_organizations,0.3,0.4,212,0.3514432205445973,0.4716981132075472
validation_unseen_organizations,0.4,0.5,223,0.446775100970207,0.4977578475336323
validation_unseen_organizations,0.5,0.6000000000000001,248,0.5503754677490842,0.657258064516129
validation_unseen_organizations,0.6000000000000001,0.7000000000000001,315,0.6472703766461346,0.5904761904761905
validation_unseen_organizations,0.7000000000000001,0.8,329,0.7544540268919816,0.7993920972644377
validation_unseen_organizations,0.8,0.9,400,0.8489597103983286,0.8625
validation_unseen_organizations,0.9,1.0,451,0.9615544435201407,0.933481152993348
test_unseen_organizations,0.0,0.1,1046,0.0140477726749667,0.0850860420650095
test_unseen_organizations,0.1,0.2,139,0.1452055158153176,0.237410071942446
test_unseen_organizations,0.2,0.3,127,0.2491485578548106,0.3228346456692913
test_unseen_organizations,0.3,0.4,107,0.3508809516769766,0.3364485981308411
test_unseen_organizations,0.4,0.5,99,0.4507696232888363,0.6363636363636364
test_unseen_organizations,0.5,0.6000000000000001,205,0.5543175760685414,0.7951219512195122
test_unseen_organizations,0.6000000000000001,0.7000000000000001,304,0.6512077348232865,0.7203947368421053
test_unseen_organizations,0.7000000000000001,0.8,328,0.7541997574569665,0.8079268292682927
test_unseen_organizations,0.8,0.9,368,0.8493542152543907,0.8586956521739131
test_unseen_organizations,0.9,1.0,345,0.95017875119547,0.8956521739130435
test_temporal_2016,0.0,0.1,1747,0.0116471973948269,0.0171722953634802
test_temporal_2016,0.1,0.2,243,0.1458267016369606,0.279835390946502
test_temporal_2016,0.2,0.3,230,0.2521549238590628,0.3
test_temporal_2016,0.3,0.4,282,0.3507353134029121,0.450354609929078
test_temporal_2016,0.4,0.5,313,0.4483008209422608,0.5271565495207667
test_temporal_2016,0.5,0.6000000000000001,397,0.552833987704235,0.5869017632241813
test_temporal_2016,0.6000000000000001,0.7000000000000001,544,0.6515740672117019,0.6838235294117647
test_temporal_2016,0.7000000000000001,0.8,562,0.7535969801736543,0.7277580071174378
test_temporal_2016,0.8,0.9,967,0.8535559724514649,0.8428128231644261
test_temporal_2016,0.9,1.0,857,0.9494510156901308,0.91365227537923
