split,eventid,gname
train_2015,201501010017,United Baloch Army (UBA)
train_2015,201501010077,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501020046,Al-Shabaab
train_2015,201501020047,Al-Shabaab
train_2015,201501020079,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501030043,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501030076,Boko Haram
train_2015,201501030077,Boko Haram
train_2015,201501030078,Boko Haram
train_2015,201501030079,Boko Haram
train_2015,201501030080,Boko Haram
train_2015,201501030081,Boko Haram
train_2015,201501030086,Al-Nusrah Front
train_2015,201501030089,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501040010,Sinai Province of the Islamic State
train_2015,201501040011,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501040014,Al-Shabaab
train_2015,201501040032,Al-Shabaab
train_2015,201501040084,Popular Resistance Movement (Egypt)
train_2015,201501040091,Sinai Province of the Islamic State
train_2015,201501040093,Sinai Province of the Islamic State
train_2015,201501050014,Sinai Province of the Islamic State
train_2015,201501050047,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501050053,Barqa Province of the Islamic State
train_2015,201501060006,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501060028,Al-Shabaab
train_2015,201501070001,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501070031,Balochistan Liberation United Front (BLUF)
train_2015,201501080004,United Baloch Army (UBA)
train_2015,201501080005,Balochistan Liberation United Front (BLUF)
train_2015,201501080007,Baloch Liberation Front (BLF)
train_2015,201501080010,Al-Nusrah Front
train_2015,201501080011,Al-Nusrah Front
train_2015,201501080044,Al-Shabaab
train_2015,201501090004,Baloch Liberation Front (BLF)
train_2015,201501100025,Al-Shabaab
train_2015,201501100056,Al-Shabaab
train_2015,201501110001,Baloch Liberation Army (BLA)
train_2015,201501110003,Sinai Province of the Islamic State
train_2015,201501110019,United Baloch Army (UBA)
train_2015,201501110046,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501110047,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501140036,Al-Shabaab
train_2015,201501140082,Sudan People's Liberation Movement - North
train_2015,201501150035,Al-Shabaab
train_2015,201501150037,Popular Resistance Movement (Egypt)
train_2015,201501150106,Lashkar-e-Balochistan
train_2015,201501160007,Baloch Liberation Army (BLA)
train_2015,201501170021,United Baloch Army (UBA)
train_2015,201501170022,Houthi extremists (Ansar Allah)
train_2015,201501170063,Al-Nusrah Front
train_2015,201501180022,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501180032,Sinai Province of the Islamic State
train_2015,201501180058,Kurdistan Workers' Party (PKK)
train_2015,201501180059,Kurdistan Workers' Party (PKK)
train_2015,201501180060,Kurdistan Workers' Party (PKK)
train_2015,201501190007,Al-Shabaab
train_2015,201501190010,Houthi extremists (Ansar Allah)
train_2015,201501200005,Balochistan Liberation United Front (BLUF)
train_2015,201501200006,Balochistan Liberation United Front (BLUF)
train_2015,201501200007,Balochistan Liberation United Front (BLUF)
train_2015,201501210006,Al-Shabaab
train_2015,201501220012,Ajnad Misr
train_2015,201501220013,Al-Shabaab
train_2015,201501230008,United Baloch Army (UBA)
train_2015,201501230013,Ajnad Misr
train_2015,201501250001,Paraguayan People's Army (EPP)
train_2015,201501250020,Ajnad Misr
train_2015,201501250021,Ajnad Misr
train_2015,201501260009,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501270051,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501270088,Popular Resistance Movement (Egypt)
train_2015,201501280001,Baloch Liberation Front (BLF)
train_2015,201501280003,Baloch Liberation Army (BLA)
train_2015,201501280008,Al-Shabaab
train_2015,201501290007,Sinai Province of the Islamic State
train_2015,201501290008,Sinai Province of the Islamic State
train_2015,201501290009,Sinai Province of the Islamic State
train_2015,201501290010,Sinai Province of the Islamic State
train_2015,201501290017,Sinai Province of the Islamic State
train_2015,201501300025,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201501310043,New People's Army (NPA)
train_2015,201502010028,Al-Nusrah Front
train_2015,201502010040,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502010041,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502010042,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502010115,Sinai Province of the Islamic State
train_2015,201502020049,New People's Army (NPA)
train_2015,201502020102,Algeria Province of the Islamic State
train_2015,201502030009,Popular Resistance Movement (Egypt)
train_2015,201502030020,Lashkar-e-Jhangvi
train_2015,201502030031,Popular Resistance Movement (Egypt)
train_2015,201502030035,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502030036,Popular Resistance Movement (Egypt)
train_2015,201502040028,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502050006,Baloch Liberation Front (BLF)
train_2015,201502050008,Baloch Liberation Front (BLF)
train_2015,201502060004,Barqa Province of the Islamic State
train_2015,201502060010,Baloch Liberation Front (BLF)
train_2015,201502060098,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502070014,Al-Shabaab
train_2015,201502080002,United National Liberation Front (UNLF)
train_2015,201502080010,Al-Shabaab
train_2015,201502080020,Sudan People's Liberation Movement - North
train_2015,201502090016,Al-Shabaab
train_2015,201502090093,Sinai Province of the Islamic State
train_2015,201502100011,Al-Shabaab
train_2015,201502100063,Baloch Liberation Front (BLF)
train_2015,201502110115,Popular Resistance Movement (Egypt)
train_2015,201502120005,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502130004,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502130017,Ajnad Misr
train_2015,201502130018,New People's Army (NPA)
train_2015,201502140008,Al-Shabaab
train_2015,201502140037,Boko Haram
train_2015,201502140038,Boko Haram
train_2015,201502140039,Boko Haram
train_2015,201502140040,Boko Haram
train_2015,201502160008,Al-Shabaab
train_2015,201502160030,Oglaigh na hEireann
train_2015,201502170016,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502170017,Baloch Liberation Front (BLF)
train_2015,201502180010,Al-Shabaab
train_2015,201502180026,Al-Nusrah Front
train_2015,201502180065,Paraguayan People's Army (EPP)
train_2015,201502190040,New People's Army (NPA)
train_2015,201502190041,New People's Army (NPA)
train_2015,201502200001,Barqa Province of the Islamic State
train_2015,201502200002,Barqa Province of the Islamic State
train_2015,201502200003,Barqa Province of the Islamic State
train_2015,201502200009,Al-Shabaab
train_2015,201502200017,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502210017,Barqa Province of the Islamic State
train_2015,201502210051,Al-Nusrah Front
train_2015,201502220015,Baloch Liberation Army (BLA)
train_2015,201502230065,Al-Shabaab
train_2015,201502230068,Al-Nusrah Front
train_2015,201502240027,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502240032,Baloch Liberation Army (BLA)
train_2015,201502250001,Baloch Liberation Army (BLA)
train_2015,201502260001,Al-Shabaab
train_2015,201502260004,Baloch Liberation Front (BLF)
train_2015,201502260011,Al-Shabaab
train_2015,201502260013,Popular Resistance Movement (Egypt)
train_2015,201502260014,Popular Resistance Movement (Egypt)
train_2015,201502260015,Popular Resistance Movement (Egypt)
train_2015,201502260016,Popular Resistance Movement (Egypt)
train_2015,201502260017,Popular Resistance Movement (Egypt)
train_2015,201502270018,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201502280005,Al-Shabaab
train_2015,201502280007,Al-Shabaab
train_2015,201502280024,Al-Shabaab
train_2015,201503010132,United Baloch Army (UBA)
train_2015,201503010157,Houthi extremists (Ansar Allah)
train_2015,201503030024,Al-Shabaab
train_2015,201503030043,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503030044,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503030047,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503060041,Algeria Province of the Islamic State
