重复次数,保留事件数,线索组数,最大组事件数,ARI,NMI,同组对保留率,新划分同组对一致率
1,18194,174,1748,0.8767651561123823,0.9556872243342674,0.8599353345260672,0.9045406865577172
2,18194,193,2098,0.8192719687066178,0.9356093592232012,0.821458202675865,0.831767915683332
3,18194,184,1842,0.8837044247362787,0.9537835126875436,0.8592844143445092,0.919326720921756
4,18194,185,1966,0.9320772762598896,0.9720105566661892,0.9308913203432456,0.93880309397598
5,18194,200,2063,0.8755283592370653,0.9590418237418874,0.9146501595841524,0.8493215397367307
6,18194,181,1867,0.9361885282039548,0.9675165744810534,0.9331777973495128,0.9444363912473251
7,18194,183,1894,0.9184872452913342,0.9624088872022614,0.9011913039104592,0.943249052553476
8,18194,187,2009,0.858247036932523,0.9486020145016836,0.8618802621348439,0.8661624249799222
9,18194,180,2273,0.8325224903051549,0.9433088588961764,0.8585306988719105,0.8212699448266416
10,18194,191,1896,0.8674298476934988,0.9446668111643168,0.8483106439641772,0.8984653197759112
11,18194,200,2079,0.8747790386232533,0.9532143879448048,0.8831194488863002,0.8766940065359882
12,18194,188,1814,0.8950050615330502,0.9593024358361132,0.8832177065241384,0.9158615058346476
13,18194,188,1886,0.8572589376523372,0.95299253861904,0.9062480146369704,0.8242935694694637
14,18194,188,2210,0.8364372837042261,0.946713537691552,0.8702813519962156,0.8179570443528813
15,18194,198,1933,0.9011138520000356,0.9567770085473064,0.8924268408366931,0.9181284030785276
16,18194,186,1907,0.9170328288772376,0.9655199787935028,0.9025050541191182,0.9388941109802884
17,18194,182,1949,0.866480965036798,0.9552468124316008,0.8798689815703289,0.8641443861984626
18,18194,196,1811,0.8781961831285031,0.9554404394018754,0.8600252964203445,0.907366235234642
19,18194,183,2246,0.8687436765077209,0.9525085320435288,0.892652639585682,0.8565290406759875
20,18194,183,1931,0.8470270728049507,0.9444853731102008,0.8851156742950591,0.8240775256198178
