线索组,事件数,累计危害,平均危害,最高单次危害,主要国家,国家数,起始事件编号,结束事件编号,已有归属记录数,已记录受害者死亡,已记录受害者受伤,嫌疑人代号
G0001,2402,1296.692787876569,0.5398387959519437,0.8643846566831596,Iraq,3,201412030034,201612280042,489,4591.0,10080.0,1.0
G0002,1595,699.4120611803412,0.4385028596741951,0.8749931068621246,Afghanistan,3,201501010022,201612310023,796,1787.0,3447.0,2.0
G0003,1380,645.4709964158486,0.467732606098441,0.8643849149058612,Iraq,2,201506130009,201610230042,222,1976.0,6062.0,3.0
G0004,1093,514.3736386142252,0.4706071716507092,0.8284248052984393,Iraq,2,201501010008,201612310031,504,3849.0,2746.0,4.0
G0005,789,457.91667571227293,0.5803760148444523,0.8803680639252613,Nigeria,4,201501010038,201612310040,728,4689.0,4184.0,5.0
G0006,982,411.1733475841179,0.418710129922727,0.8411569622312441,Yemen,3,201501010070,201612290046,781,1852.0,2712.0,
G0007,702,378.63174056442057,0.5393614537954708,0.8472016470186838,Syria,5,201501010075,201612290049,393,2132.0,3137.0,
G0008,996,375.26505081200366,0.3767721393694816,0.8116182316303313,Philippines,2,201501020080,201612310042,639,416.0,948.0,
G0009,697,338.0426491606872,0.4849966272032814,0.8367134849409794,Turkey,5,201501080065,201612090011,626,646.0,1562.0,
G0010,783,331.52345173739536,0.4234015986429059,0.8220573802233723,Libya,2,201501010003,201612230034,430,637.0,849.0,
G0011,770,322.7254784093211,0.4191239979341832,0.8353533801854385,Egypt,1,201501050066,201612310009,156,314.0,774.0,
G0012,793,313.27608232928475,0.3950518062159959,0.8272353491655312,Afghanistan,3,201501010068,201612310039,480,1007.0,1856.0,
G0013,770,301.7364500759984,0.3918655195792186,0.8187510342675828,Pakistan,2,201501020048,201612310033,40,435.0,712.0,
G0014,735,286.001582668879,0.3891177995494952,0.8105834770572561,Pakistan,3,201501010013,201612310004,54,417.0,457.0,
G0015,508,284.52028211439847,0.5600792955007844,0.8580784878004346,Nigeria,1,201501020075,201612300025,290,2191.0,822.0,
G0016,574,279.6080866354873,0.4871221021524169,0.8456484597501563,Thailand,2,201501140028,201612290010,167,191.0,669.0,
G0017,661,276.02769164451115,0.4175910614894269,0.8277958345650088,Somalia,3,201501010076,201612290009,475,650.0,695.0,
G0018,506,247.3963837358843,0.4889256595570836,0.8330610331187287,Democratic Republic of the Congo,8,201501100107,201612310043,393,1631.0,993.0,
G0019,550,239.12393124287905,0.4347707840779619,0.7887186511293349,Bangladesh,3,201501020073,201612310012,186,84.0,632.0,
G0020,581,226.98330885227185,0.3906769515529635,0.8110650436564735,Ukraine,1,201501010025,201612140051,361,291.0,474.0,
G0021,450,158.29021182500588,0.3517560262777908,0.806260513624717,West Bank and Gaza Strip,4,201501010024,201612300005,355,51.0,365.0,
G0022,471,157.694418344349,0.3348076822597643,0.8064819297886897,India,1,201501010069,201612290051,405,164.0,261.0,
G0023,289,140.2038943089035,0.4851345823837491,0.8028526866857029,Sudan,2,201501060032,201701270001,112,200.0,387.0,
G0024,360,137.69947128457835,0.382498531346051,0.8272353491655312,India,2,201501010080,201612290020,194,84.0,190.0,
G0025,378,135.6505674384984,0.3588639350224825,0.8272353491655312,India,2,201501090092,201612310019,156,85.0,271.0,
G0026,228,129.7601884983631,0.5691236337647505,0.7967271657204209,Germany,14,201501010002,201612280048,52,104.0,580.0,
G0027,324,126.41852229019231,0.3901806243524454,0.7903738336959827,India,2,201501100116,201612310003,65,101.0,286.0,
G0028,158,112.74327903936764,0.7135650572111877,0.8271815866265688,Iraq,1,201512170010,201609300027,113,66.0,209.0,
G0029,226,105.2447639743078,0.4656847963464947,0.8070514658086285,Burundi,5,201501030102,201612310016,17,245.0,569.0,
G0030,219,100.6558804250497,0.4596158923518251,0.8091406840132995,Colombia,3,201501140013,201612280004,190,110.0,196.0,
