线索组,事件数,累计危害,平均危害,最高单次危害,累计危害名次,平均危害名次,最高单次危害名次
G0001,2402,1296.692787876569,0.5398387959519437,0.8643846566831596,1,24,4
G0002,1595,699.4120611803412,0.4385028596741951,0.8749931068621246,2,56,2
G0003,1380,645.4709964158486,0.467732606098441,0.8643849149058612,3,47,3
G0004,1093,514.3736386142252,0.4706071716507092,0.8284248052984393,4,46,15
G0005,789,457.91667571227293,0.5803760148444523,0.8803680639252613,5,17,1
G0006,982,411.1733475841179,0.418710129922727,0.8411569622312441,6,63,9
G0007,702,378.63174056442057,0.5393614537954708,0.8472016470186838,7,25,7
G0008,996,375.26505081200366,0.3767721393694816,0.8116182316303313,8,73,25
G0009,697,338.0426491606872,0.4849966272032814,0.8367134849409794,9,40,12
G0010,783,331.52345173739536,0.4234015986429059,0.8220573802233723,10,60,23
G0011,770,322.7254784093211,0.4191239979341832,0.8353533801854385,11,62,13
G0012,793,313.27608232928475,0.3950518062159959,0.8272353491655312,12,66,17
G0013,770,301.7364500759984,0.3918655195792186,0.8187510342675828,13,68,24
G0014,735,286.001582668879,0.3891177995494952,0.8105834770572561,14,71,27
G0015,508,284.52028211439847,0.5600792955007844,0.8580784878004346,15,21,5
G0016,574,279.6080866354873,0.4871221021524169,0.8456484597501563,16,37,8
G0017,661,276.02769164451115,0.4175910614894269,0.8277958345650088,17,65,16
G0018,506,247.3963837358843,0.4889256595570836,0.8330610331187287,18,35,14
G0019,550,239.12393124287905,0.4347707840779619,0.7887186511293349,19,58,39
G0020,581,226.98330885227185,0.3906769515529635,0.8110650436564735,20,69,26
G0021,450,158.29021182500588,0.3517560262777908,0.806260513624717,21,80,31
G0022,471,157.694418344349,0.3348076822597643,0.8064819297886897,22,85,30
G0023,289,140.2038943089035,0.4851345823837491,0.8028526866857029,23,39,33
G0024,360,137.69947128457835,0.382498531346051,0.8272353491655312,24,72,17
G0025,378,135.6505674384984,0.3588639350224825,0.8272353491655312,25,77,17
G0026,228,129.7601884983631,0.5691236337647505,0.7967271657204209,26,19,36
G0027,324,126.41852229019231,0.3901806243524454,0.7903738336959827,27,70,38
G0028,158,112.74327903936764,0.7135650572111877,0.8271815866265688,28,4,20
G0029,226,105.2447639743078,0.4656847963464947,0.8070514658086285,29,50,29
G0030,219,100.6558804250497,0.4596158923518251,0.8091406840132995,30,51,28
G0031,222,81.63293118049295,0.3677159062184367,0.7654100847470978,31,76,49
G0032,151,76.73775289081232,0.5081970390120021,0.8261680605689402,32,31,22
G0033,198,68.33329489630701,0.3451176509914495,0.8005099741160185,33,82,34
G0034,83,67.64366336090954,0.8149838959145728,0.8271815866265688,34,1,20
G0035,131,62.31972037412941,0.4757230562910642,0.8367186696272844,35,44,11
G0036,121,60.320534115880186,0.4985168108750428,0.8502637943214892,36,32,6
G0037,110,47.97106548199736,0.4361005952908851,0.7945647928831087,37,57,37
G0038,81,47.48873716374091,0.5862807057251964,0.7783965316440944,38,15,42
G0039,80,41.01938052780416,0.512742256597552,0.788617198856728,39,30,40
G0040,48,23.39383290506801,0.4873715188555834,0.7729477655255819,40,36,47
G0041,67,19.28060258886337,0.2877701878934831,0.8379977859076866,41,89,10
G0042,57,19.1341393612823,0.335686655461093,0.7989319388877518,42,84,35
G0043,37,17.967696069615837,0.4856134072869145,0.7751155761940838,43,38,45
G0044,34,13.372488445770678,0.3933084836991375,0.7585539232714065,44,67,53
G0045,16,10.599078432400749,0.6624424020250468,0.802867512946748,45,11,32
G0046,22,10.074475501839837,0.4579307046290835,0.7620970357190583,46,52,52
G0047,12,8.311904094339228,0.692658674528269,0.7194902237116488,47,7,65
G0048,15,8.12790990954223,0.5418606606361487,0.7762218926547196,48,22,43
G0049,19,7.941058210106279,0.4179504321108568,0.7729614951072526,49,64,46
G0050,18,6.246522710561176,0.3470290394756208,0.7626561608414321,50,81,51
G0051,10,5.398913481373562,0.5398913481373562,0.755849278903099,51,23,54
G0052,8,4.847792551935696,0.605974068991962,0.7378801137450991,52,14,61
G0053,8,4.529321500813293,0.5661651876016617,0.7839997867120613,53,20,41
G0054,9,4.198338666015232,0.4664820740016924,0.7428502647994792,54,49,55
G0055,5,3.072872324243575,0.614574464848715,0.741416964546348,55,13,57
G0056,4,2.865220927730951,0.7163052319327378,0.7403673143718622,56,3,58
G0057,4,2.7631542935096993,0.6907885733774248,0.7190998385643782,57,8,66
G0058,7,2.5103723049015643,0.3586246149859377,0.7697938191788375,58,78,48
G0059,4,2.484440952569385,0.6211102381423462,0.7416448832708822,59,12,56
G0060,5,2.482906346744463,0.4965812693488926,0.7077067612384813,60,33,69
G0061,9,2.3382958638688103,0.2598106515409789,0.5733844228582032,61,91,86
G0062,3,2.1113224826214356,0.7037741608738118,0.7190998385643782,62,5,66
G0063,3,2.0896435714170583,0.6965478571390195,0.7400710736389847,63,6,59
G0064,3,2.026703743374479,0.6755679144581596,0.6880269931822369,64,9,74
G0065,4,1.915193041096377,0.4787982602740942,0.6599328705269296,65,42,85
G0066,5,1.857085004821887,0.3714170009643774,0.6895278712711662,66,74,73
G0067,3,1.7465863455449957,0.5821954485149985,0.7762218926547196,67,16,43
G0068,5,1.5970677809283085,0.3194135561856616,0.7395971294250308,68,86,60
G0069,3,1.5442604125360226,0.5147534708453408,0.6962103155664083,69,28,71
G0070,3,1.5440461358884428,0.5146820452961476,0.6758214526402383,70,29,77
G0071,2,1.5256783125303013,0.7628391562651506,0.7628391562651506,71,2,50
G0072,3,1.4470477415815168,0.4823492471938389,0.6747862488890367,72,41,82
G0073,2,1.3440496508486028,0.6720248254243014,0.6751766340363073,73,10,78
G0074,2,1.1604806388656572,0.5802403194328286,0.7140303944300959,74,18,68
G0075,3,1.110798428847104,0.3702661429490346,0.6747862488890367,75,75,82
G0076,2,1.056512167513445,0.5282560837567225,0.6750789710340862,76,26,81
G0077,2,1.03514532317185,0.517572661585925,0.7209232847255107,77,27,64
G0078,2,0.985555878948118,0.492777939474059,0.6751201965786129,78,34,80
G0079,2,0.9538469275296052,0.4769234637648025,0.6764346110574461,79,43,76
G0080,3,0.9497558496816364,0.3165852832272121,0.4228218199229854,80,87,89
G0081,2,0.9416356288500806,0.4708178144250403,0.7306252679839866,81,45,62
G0082,2,0.9342140580598592,0.4671070290299296,0.6635977791581559,82,48,84
G0083,2,0.8982272911813207,0.4491136455906603,0.6943327959805626,83,53,72
G0084,2,0.8904242758304394,0.4452121379152197,0.6989681804996728,84,54,70
G0085,2,0.889567419571852,0.444783709785926,0.6788697885255481,85,55,75
G0086,2,0.8523798101251774,0.4261899050625887,0.6751766340363073,86,59,78
G0087,2,0.8403178589408706,0.4201589294704353,0.722249990230673,87,61,63
G0088,3,0.8182469117960867,0.2727489705986956,0.3421749883963801,88,90,91
G0110,2,0.7040133825804504,0.3520066912902252,0.405907213747901,89,79,90
G0120,2,0.6715309161743435,0.3357654580871717,0.4480387895145756,90,83,88
G0129,2,0.6216986168534995,0.3108493084267497,0.45603924531483,91,88,87
G0134,2,0.5089493608515061,0.254474680425753,0.3021256821458622,92,92,92
G0140,2,0.4550160606656926,0.2275080303328463,0.2336521240088347,93,93,93
G0141,2,0.4456930830383838,0.2228465415191919,0.2228465415191919,94,94,94
G0146,2,0.3508563892943891,0.1754281946471945,0.1965355819594836,95,95,95
