eventid,事件国家,1号支持度,1号高分参照数,2号支持度,2号高分参照数,3号支持度,3号高分参照数,4号支持度,4号高分参照数,5号支持度,5号高分参照数,判定阈值,达到阈值的候选数,解释
201701090031,Iraq,0.9453899934126614,3,,0,0.9717864808922766,3,0.987579583975288,3,,0,0.85,3,按支持度降序填写名次
201702210037,Afghanistan,,0,0.9789120993327955,3,,0,,0,,0,0.85,1,按支持度降序填写名次
201703120023,South Sudan,,0,,0,,0,,0,,0,0.85,0,前五组没有符合地理条件的参照，表2留空
201705050009,South Sudan,,0,,0,,0,,0,,0,0.85,0,前五组没有符合地理条件的参照，表2留空
201705050010,South Sudan,,0,,0,,0,,0,,0,0.85,0,前五组没有符合地理条件的参照，表2留空
201707010028,Central African Republic,,0,,0,,0,,0,,0,0.85,0,前五组没有符合地理条件的参照，表2留空
201707020006,Syria,,0,,0,,0,0.9139652881431238,1,,0,0.85,0,前五组支持不足，表2留空
201708110018,Afghanistan,,0,0.8776871896555765,3,,0,,0,,0,0.85,1,按支持度降序填写名次
201711010006,Afghanistan,,0,0.9260219382748468,3,,0,,0,,0,0.85,1,按支持度降序填写名次
201712010003,Iraq,0.9413694662057588,3,,0,0.9221937341609342,3,0.9414717555703916,3,,0,0.85,3,按支持度降序填写名次
