eventid,iyear,imonth,iday,country_txt,provstate,city,attacktype1,targtype1,weaptype1,claimed,gname,危害得分,受害者死亡,受害者受伤,线索组,嫌疑人代号,分组状态,组内高分关联数
201412030034,2015,1,3,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.7626528949999088,2.0,5.0,G0001,1.0,重复作案候选组,665
201412220095,2015,1,1,Bosnia-Herzegovina,Federation of Bosnia and Herzegovina,Trnovi,2,15,9,0,Muslim extremists,0.2201014180421312,0.0,1.0,G0163,,单件线索,0
201501010001,2015,1,1,Iraq,Baghdad,Baghdad,3,8,6,0,Unknown,0.7486966939479912,1.0,1.0,G0001,1.0,重复作案候选组,587
201501010002,2015,1,1,Sweden,Uppsala,Uppsala,7,15,8,0,Unknown,0.1245356838289659,0.0,0.0,G0026,,重复作案候选组,1
201501010003,2015,1,1,Libya,Benghazi,Benghazi,3,17,6,0,Shura Council of Benghazi Revolutionaries,0.2636946555082051,,,G0010,,重复作案候选组,107
201501010004,2015,1,1,Iraq,Baghdad,Baghdad,3,1,6,0,Unknown,0.761289338777861,3.0,8.0,G0001,1.0,重复作案候选组,699
201501010005,2015,1,1,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.5255796761704256,1.0,6.0,G0001,1.0,重复作案候选组,656
201501010006,2015,1,1,Iraq,Baghdad,Baghdad,3,1,6,0,Unknown,0.7612956328494898,1.0,6.0,G0001,1.0,重复作案候选组,699
201501010007,2015,1,1,Iraq,Babil,Mahmudiyah,3,1,6,0,Unknown,0.7612904322560471,2.0,10.0,G0001,1.0,重复作案候选组,55
201501010008,2015,1,1,Iraq,Nineveh,Tayaran,1,2,6,0,Islamic State of Iraq and the Levant (ISIL),0.6924294728562278,0.0,0.0,G0004,4.0,重复作案候选组,24
201501010009,2015,1,1,Iraq,Al Anbar,Al-Baghdadi,2,14,5,0,Islamic State of Iraq and the Levant (ISIL),0.1891496480923546,0.0,,G0001,1.0,重复作案候选组,53
201501010011,2015,1,1,India,Tamil Nadu,Sivaganga,3,1,6,0,Unknown,0.2068941580461191,0.0,0.0,G0037,,重复作案候选组,12
201501010013,2015,1,1,Pakistan,Sindh,Karachi,2,14,5,0,Unknown,0.7103619910182467,1.0,1.0,G0014,,重复作案候选组,26
201501010014,2015,1,1,Indonesia,Papua,Utikini Baru,2,3,5,0,Free Papua Movement (OPM-Organisasi Papua Merdeka),0.3911475633267768,3.0,0.0,G0051,,重复作案候选组,3
201501010018,2015,1,1,Pakistan,Balochistan,Loralai district,6,3,5,0,Unknown,0.6818725509783723,0.0,,G0014,,重复作案候选组,24
201501010020,2015,1,1,Iraq,Basra,Al-Zubair district,2,15,5,0,Unknown,0.7252895941008042,3.0,2.0,G0001,1.0,重复作案候选组,12
201501010022,2015,1,1,Afghanistan,Nangarhar,Jalalabad,3,3,6,0,Unknown,0.7431310598830567,1.0,1.0,G0002,2.0,重复作案候选组,31
201501010024,2015,1,1,West Bank and Gaza Strip,West Bank,Jerusalem,7,14,8,0,Unknown,0.7055399772469357,0.0,0.0,G0021,,重复作案候选组,31
201501010025,2015,1,1,Ukraine,Luhansk,Staryi Aydar,3,4,6,0,Luhansk People's Republic,0.3301708146116258,1.0,1.0,G0020,,重复作案候选组,44
201501010026,2015,1,1,Ukraine,Luhansk,Zolote,3,4,6,0,Luhansk People's Republic,0.3652396057118158,0.0,3.0,G0020,,重复作案候选组,47
201501010027,2015,1,1,Ukraine,Donetsk,Vuhlehirsk,3,4,6,0,Donetsk People's Republic,0.2667853506909722,0.0,1.0,G0020,,重复作案候选组,29
201501010028,2015,1,1,Ukraine,Luhansk,Popasna,3,4,6,0,Luhansk People's Republic,0.2667853506909722,0.0,1.0,G0020,,重复作案候选组,36
201501010030,2015,1,1,Ukraine,Donetsk,Chermalyk,3,4,6,0,Donetsk People's Republic,0.2667853506909722,0.0,1.0,G0020,,重复作案候选组,33
201501010031,2015,1,1,Ukraine,Donetsk,Debaltseve,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,33
201501010032,2015,1,1,Ukraine,Donetsk,Leninske,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,48
201501010033,2015,1,1,Ukraine,Donetsk,Olenovka,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,35
201501010034,2015,1,1,Ukraine,Luhansk,Zolote,3,4,6,0,Luhansk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,48
201501010035,2015,1,1,Ukraine,Donetsk,Olkhovatka,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,35
201501010036,2015,1,1,Ukraine,Donetsk,Donetsk,2,4,6,0,Donetsk People's Republic,0.2216076206392542,0.0,0.0,G0020,,重复作案候选组,52
201501010037,2015,1,1,Ukraine,Luhansk,Chernukhino,2,4,5,0,Luhansk People's Republic,0.1971984495425226,0.0,0.0,G0020,,重复作案候选组,40
201501010038,2015,1,1,Nigeria,Gombe,Gombe,3,15,6,0,Boko Haram,0.5083672099964003,0.0,8.0,G0005,5.0,重复作案候选组,15
201501010039,2015,1,1,Cameroon,Extreme-North,Unknown,2,19,9,0,Boko Haram,0.713267155909144,11.0,6.0,G0005,5.0,重复作案候选组,17
201501010067,2015,1,1,Ukraine,Luhansk,Chernukhino,3,14,6,0,Luhansk People's Republic,0.7354217934949291,1.0,2.0,G0020,,重复作案候选组,38
201501010068,2015,1,1,Afghanistan,Farah,Barangak,3,3,6,0,Unknown,0.2787685489607883,0.0,1.0,G0012,,重复作案候选组,21
201501010069,2015,1,1,India,Chhattisgarh,Kottapalli,2,14,5,0,Communist Party of India - Maoist (CPI-Maoist),0.2754981991258302,1.0,0.0,G0022,,重复作案候选组,32
201501010070,2015,1,1,Yemen,Hadramawt,Shibam,3,20,6,0,Unknown,0.1927555276001213,0.0,0.0,G0006,,重复作案候选组,23
201501010071,2015,1,1,Yemen,Hadramawt,Shibam,3,3,6,0,Al-Qaida in the Arabian Peninsula (AQAP),0.7597224780950164,4.0,2.0,G0006,,重复作案候选组,27
201501010074,2015,1,1,Yemen,Marib,Unknown,9,4,13,0,Unknown,0.7274144997169867,,,G0006,,重复作案候选组,30
201501010075,2015,1,1,Syria,Aleppo,Aleppo,3,14,6,0,Unknown,0.7819726582872663,13.0,18.0,G0007,,重复作案候选组,164
201501010076,2015,1,1,Kenya,Lamu,Mangai,2,4,5,0,Al-Shabaab,0.3526588370680836,0.0,3.0,G0017,,重复作案候选组,11
201501010080,2015,1,1,India,Chhattisgarh,Chando,2,14,5,0,Jharkhand Janmukti Parishad (JJP),0.3035622143741807,0.0,2.0,G0024,,重复作案候选组,7
