eventid,嫌疑人代号,参照事件编号,案件对相似分,参照国家
201701090031,1,201508030010,0.9453899934126614,Iraq
201701090031,1,201509150020,0.9453899934126614,Iraq
201701090031,1,201510070009,0.9453899934126614,Iraq
201712010003,1,201505300048,0.953333118320361,Iraq
201712010003,1,201501030054,0.9353876401484577,Iraq
201712010003,1,201501030055,0.9353876401484577,Iraq
201702210037,2,201611010080,0.98875943224722,Afghanistan
201702210037,2,201607270013,0.9773023177173042,Afghanistan
201702210037,2,201612010009,0.9706745480338628,Afghanistan
201708110018,2,201608240003,0.887639355440195,Afghanistan
201708110018,2,201602110035,0.8731321188462512,Afghanistan
201708110018,2,201604300022,0.872290094680283,Afghanistan
201711010006,2,201606080014,0.9297595982999828,Afghanistan
201711010006,2,201508180074,0.9281829089748578,Afghanistan
201711010006,2,201601210048,0.9201233075496992,Afghanistan
201701090031,3,201608050023,0.9723491776957024,Iraq
201701090031,3,201604040029,0.972140959975153,Iraq
201701090031,3,201607190026,0.9708693050059746,Iraq
201712010003,3,201604040029,0.9297595982999828,Iraq
201712010003,3,201602070019,0.921864653670618,Iraq
201712010003,3,201605300036,0.9149569505122016,Iraq
201701090031,4,201611040010,0.9927748223031698,Iraq
201701090031,4,201610010034,0.9852399546104268,Iraq
201701090031,4,201611050031,0.9847239750122674,Iraq
201707020006,4,201605060007,0.9139652881431238,Syria
201712010003,4,201512250012,0.9438100749511616,Iraq
201712010003,4,201504090006,0.9403025958800066,Iraq
201712010003,4,201505300047,0.9403025958800066,Iraq
