地区,方案,MAE,RMSE,WAPE,偏差_预测减实际,年度实际事件数,年度预测事件数,年度误差_预测减实际,覆盖率80,平均宽度80,年度下限80,年度上限80,年度覆盖80,覆盖率95,平均宽度95,年度下限95,年度上限95,年度覆盖95
全球,冻结方案,209.2261969411583,225.4626787338538,0.23034076727466968,209.19668651945835,10900.0,13410.3602382335,2510.3602382334993,0.9166666666666666,575.5023955447441,10464.959598614065,16355.760877852934,True,1.0,880.1549610724327,8905.758684224144,17914.961792242855,True
全球,季节朴素基线,223.91666666666666,235.8949271745085,0.24651376146788992,223.91666666666666,,,,,,,,,,,,,
全球,近12月均值基线,223.91666666666666,246.49116786070314,0.24651376146788992,223.91666666666666,,,,,,,,,,,,,
北美,冻结方案,2.5833333333333335,3.044804317740852,0.31958762886597936,-1.8333333333333333,97.0,75.0,-22.0,0.75,8.230980056191873,52.09641101925615,97.90358898074385,True,1.0,12.174227384481988,39.97198339429274,110.02801660570725,True
北美,季节朴素基线,4.333333333333333,5.196152422706632,0.5360824742268041,-1.8333333333333333,,,,,,,,,,,,,
北美,近12月均值基线,2.5833333333333335,3.044804317740852,0.31958762886597936,-1.8333333333333333,,,,,,,,,,,,,
中美洲与加勒比,冻结方案,0.4166666666666667,0.47871355387816905,1.25,-0.08333333333333333,4.0,3.0,-1.0,0.9166666666666666,1.5027574383464108,0.0,12.417442243947667,True,1.0,2.1659271671446234,0.0,17.40273502906593,True
中美洲与加勒比,季节朴素基线,0.25,0.5,0.75,-0.08333333333333333,,,,,,,,,,,,,
中美洲与加勒比,近12月均值基线,0.4166666666666667,0.47871355387816905,1.25,-0.08333333333333333,,,,,,,,,,,,,
南美,冻结方案,3.0833333333333335,3.944933459514875,0.21511627906976744,-1.0833333333333333,172.0,159.0,-13.0,1.0,23.060024439057475,68.25565118048317,249.74434881951683,True,1.0,30.883631996680347,20.218494621234925,297.7815053787651,True
南美,季节朴素基线,5.416666666666667,6.825198409814424,0.37790697674418605,-1.0833333333333333,,,,,,,,,,,,,
南美,近12月均值基线,3.0833333333333335,3.944933459514875,0.21511627906976744,-1.0833333333333333,,,,,,,,,,,,,
东亚,冻结方案,0.6944444444444445,0.7637626158259734,1.1904761904761905,0.08333333333333325,7.0,8.0,1.0,1.0,3.457353808649128,0.0,30.417996588362744,True,1.0,4.934654344618816,0.0,42.28536712844712,True
东亚,季节朴素基线,1.0833333333333333,1.4433756729740645,1.8571428571428572,0.08333333333333333,,,,,,,,,,,,,
东亚,近12月均值基线,0.6944444444444445,0.7637626158259734,1.1904761904761905,0.08333333333333327,,,,,,,,,,,,,
东南亚,冻结方案,17.410464591998274,20.30638566089167,0.20482899519997969,7.80076389228422,1020.0,1113.6091667074106,93.60916670741062,0.8333333333333334,79.49598504495903,737.5874710906195,1489.6308623242016,True,1.0,121.57861750763239,538.5336093681263,1688.684724046695,True
东南亚,季节朴素基线,21.916666666666668,27.98660393831306,0.257843137254902,4.75,,,,,,,,,,,,,
东南亚,近12月均值基线,17.416666666666668,20.937904224953684,0.20490196078431372,4.75,,,,,,,,,,,,,
南亚,冻结方案,46.016719071222894,51.34967520936066,0.1609914369838702,0.7232126555090161,3430.0,3438.6785518661072,8.678551866107227,0.9166666666666666,214.25057867587805,2407.1845804940467,4470.172523238168,True,1.0,327.66798399808295,1861.14465583415,5016.212447898064,True
南亚,季节朴素基线,43.583333333333336,48.60812689252693,0.15247813411078717,17.416666666666668,,,,,,,,,,,,,
南亚,近12月均值基线,38.0,46.96962671060239,0.13294460641399417,17.416666666666668,,,,,,,,,,,,,
中亚,冻结方案,1.0277777777777777,1.1273124382057236,1.7619047619047616,0.8333333333333334,7.0,17.0,10.0,0.8333333333333334,2.8435221645324273,11.623589514682052,22.376410485317948,False,1.0,3.6762066997195135,8.77748972367826,25.222510276321742,False
中亚,季节朴素基线,1.3333333333333333,1.7320508075688772,2.2857142857142856,0.8333333333333334,,,,,,,,,,,,,
中亚,近12月均值基线,1.0277777777777777,1.1273124382057236,1.7619047619047616,0.8333333333333334,,,,,,,,,,,,,
西欧,冻结方案,4.375,6.603345111885844,0.18041237113402062,-1.4999999999999993,291.0,273.0,-18.0,0.9166666666666666,26.472446407672777,167.52589256856072,378.4741074314393,True,1.0,38.195360981522086,111.69127280939284,434.30872719060716,True
西欧,季节朴素基线,6.5,8.602325267042627,0.26804123711340205,-1.5,,,,,,,,,,,,,
西欧,近12月均值基线,4.375,6.603345111885844,0.18041237113402062,-1.5,,,,,,,,,,,,,
东欧,冻结方案,7.674734006677812,10.030119993568102,0.8372437098193977,5.589057315673858,110.0,177.06868778808632,67.06868778808632,1.0,69.78755972402833,0.0,711.7085492849019,True,1.0,98.91965382857849,0.0,994.7297959370533,True
东欧,季节朴素基线,3.6666666666666665,4.672615256292062,0.4,2.0,,,,,,,,,,,,,
东欧,近12月均值基线,2.277777777777777,2.9107081994288295,0.24848484848484836,1.9999999999999993,,,,,,,,,,,,,
中东与北非,冻结方案,175.3692585822532,184.51073730243667,0.556727805023026,175.3692585822532,3780.0,5884.431102987039,2104.4311029870387,0.6666666666666666,319.04127884761925,4341.042927299112,7427.819278674965,False,0.6666666666666666,487.93152997882436,3524.022579567356,8244.839626406721,True
中东与北非,季节朴素基线,194.58333333333334,201.08973950287304,0.6177248677248677,194.58333333333334,,,,,,,,,,,,,
中东与北非,近12月均值基线,194.5833333333333,201.95545782286854,0.6177248677248676,194.5833333333333,,,,,,,,,,,,,
撒哈拉以南非洲,冻结方案,26.185639957821603,29.907951068915917,0.1595064362912991,23.464394073738077,1970.0,2251.572728884857,281.57272888485704,1.0,144.90754198713987,1487.1048706998529,3016.0405870698614,True,1.0,221.61696104856082,1082.420031744371,3420.725426025343,True
撒哈拉以南非洲,季节朴素基线,21.916666666666668,26.973752674281965,0.133502538071066,8.916666666666666,,,,,,,,,,,,,
撒哈拉以南非洲,近12月均值基线,15.888888888888895,19.15670030737723,0.09678510998307957,8.916666666666677,,,,,,,,,,,,,
大洋洲,冻结方案,1.277777777777778,2.4551533104427055,1.277777777777778,-0.16666666666666652,12.0,10.0,-2.0,0.75,1.8046708279731518,4.099293465933412,15.900706534066588,True,0.9166666666666666,2.3286645671601303,0.9756481119852438,19.024351888014756,True
大洋洲,季节朴素基线,1.1666666666666667,2.48327740429189,1.1666666666666667,-0.16666666666666666,,,,,,,,,,,,,
大洋洲,近12月均值基线,1.277777777777778,2.4551533104427055,1.277777777777778,-0.16666666666666652,,,,,,,,,,,,,
