地区,地区初始模型,全球协调模型,步长,月份,实际事件数,预测事件数,下限80,上限80,下限95,上限95
全球,地区加总,地区加总,1,2017-01-01,879,1170.2223012831546,946.8890117937362,1393.555590772573,828.6635098020606,1511.7810927642486
全球,地区加总,地区加总,2,2017-02-01,879,1085.0453424036605,861.7120529142421,1308.3786318930788,743.4865509225665,1426.6041338847544
全球,地区加总,地区加总,3,2017-03-01,961,1091.0812050776838,867.7479155882654,1314.414494567102,749.5224135965898,1432.6399965587777
全球,地区加总,地区加总,4,2017-04-01,865,1116.9726112268374,852.6753328880588,1381.269889565616,712.7648050931587,1521.1804173605162
全球,地区加总,地区加总,5,2017-05-01,1081,1260.2335001041565,995.9362217653779,1524.5307784429351,856.0256939704777,1664.4413062378353
全球,地区加总,地区加总,6,2017-06-01,1077,1076.8229374698003,812.5256591310217,1341.120215808579,672.6151313361215,1481.030743603479
全球,地区加总,地区加总,7,2017-07-01,994,1190.1154062638939,884.5709000358437,1495.659912491944,722.8254087470431,1657.4054037807446
全球,地区加总,地区加总,8,2017-08-01,968,1161.9642110954762,856.419704867426,1467.5087173235265,694.6742135786254,1629.2542086123271
全球,地区加总,地区加总,9,2017-09-01,838,1033.2915832633532,727.747077035303,1338.8360894914035,566.0015857465024,1500.5815807802041
全球,地区加总,地区加总,10,2017-10-01,805,1154.3207840431592,796.4910670099181,1512.1505010764004,607.0674570299174,1701.5741110564009
全球,地区加总,地区加总,11,2017-11-01,804,1071.5358999375087,713.7061829042676,1429.3656169707497,524.2825729242669,1618.7892269507506
全球,地区加总,地区加总,12,2017-12-01,749,998.7544560648155,640.9247390315744,1356.5841730980565,451.5011290515737,1546.0077830780574
北美,近12月均值,地区加总,1,2017-01-01,11,6.25,3.0142409087541635,9.485759091245836,1.3013335147814766,11.198666485218524
北美,近12月均值,地区加总,2,2017-02-01,8,6.25,3.0142409087541635,9.485759091245836,1.3013335147814766,11.198666485218524
北美,近12月均值,地区加总,3,2017-03-01,10,6.25,3.0142409087541635,9.485759091245836,1.3013335147814766,11.198666485218524
北美,近12月均值,地区加总,4,2017-04-01,10,6.25,1.5943818746782528,10.905618125321748,0.0,13.370153489512433
北美,近12月均值,地区加总,5,2017-05-01,12,6.25,1.5943818746782528,10.905618125321748,0.0,13.370153489512433
北美,近12月均值,地区加总,6,2017-06-01,9,6.25,1.5943818746782528,10.905618125321748,0.0,13.370153489512433
北美,近12月均值,地区加总,7,2017-07-01,8,6.25,1.6495848883316349,10.850415111668365,0.0,13.285727765641756
北美,近12月均值,地区加总,8,2017-08-01,7,6.25,1.6495848883316349,10.850415111668365,0.0,13.285727765641756
北美,近12月均值,地区加总,9,2017-09-01,7,6.25,1.6495848883316349,10.850415111668365,0.0,13.285727765641756
北美,近12月均值,地区加总,10,2017-10-01,7,6.25,2.2798322158522017,10.220167784147797,0.17815234383163858,12.321847656168362
北美,近12月均值,地区加总,11,2017-11-01,3,6.25,2.2798322158522017,10.220167784147797,0.17815234383163858,12.321847656168362
北美,近12月均值,地区加总,12,2017-12-01,5,6.25,2.2798322158522017,10.220167784147797,0.17815234383163858,12.321847656168362
中美洲与加勒比,近12月均值,地区加总,1,2017-01-01,0,0.25,0.0,1.3391094067312168,0.0,1.9156491005181338
中美洲与加勒比,近12月均值,地区加总,2,2017-02-01,1,0.25,0.0,1.3391094067312168,0.0,1.9156491005181338
中美洲与加勒比,近12月均值,地区加总,3,2017-03-01,0,0.25,0.0,1.3391094067312168,0.0,1.9156491005181338
中美洲与加勒比,近12月均值,地区加总,4,2017-04-01,0,0.25,0.0,0.8231272834458008,0.0,1.1265225405765817
中美洲与加勒比,近12月均值,地区加总,5,2017-05-01,1,0.25,0.0,0.8231272834458008,0.0,1.1265225405765817
中美洲与加勒比,近12月均值,地区加总,6,2017-06-01,0,0.25,0.0,0.8231272834458008,0.0,1.1265225405765817
中美洲与加勒比,近12月均值,地区加总,7,2017-07-01,0,0.25,0.0,2.0061361506327176,0.0,2.9357784733197665
中美洲与加勒比,近12月均值,地区加总,8,2017-08-01,0,0.25,0.0,2.0061361506327176,0.0,2.9357784733197665
中美洲与加勒比,近12月均值,地区加总,9,2017-09-01,1,0.25,0.0,2.0061361506327176,0.0,2.9357784733197665
中美洲与加勒比,近12月均值,地区加总,10,2017-10-01,1,0.25,0.0,1.8426569125759091,0.0,2.68575855416401
中美洲与加勒比,近12月均值,地区加总,11,2017-11-01,0,0.25,0.0,1.8426569125759091,0.0,2.68575855416401
中美洲与加勒比,近12月均值,地区加总,12,2017-12-01,0,0.25,0.0,1.8426569125759091,0.0,2.68575855416401
南美,近12月均值,地区加总,1,2017-01-01,22,13.25,1.5072993478805472,24.992700652119453,0.0,31.208910884408077
南美,近12月均值,地区加总,2,2017-02-01,15,13.25,1.5072993478805472,24.992700652119453,0.0,31.208910884408077
南美,近12月均值,地区加总,3,2017-03-01,15,13.25,1.5072993478805472,24.992700652119453,0.0,31.208910884408077
南美,近12月均值,地区加总,4,2017-04-01,13,13.25,3.0598516989276803,23.44014830107232,0.0,28.83448696423421
南美,近12月均值,地区加总,5,2017-05-01,16,13.250000000000002,3.059851698927682,23.44014830107232,0.0,28.83448696423421
南美,近12月均值,地区加总,6,2017-06-01,14,13.25,3.0598516989276803,23.44014830107232,0.0,28.83448696423421
南美,近12月均值,地区加总,7,2017-07-01,19,13.25,1.0470013606735495,25.452998639326452,0.0,31.912875907226816
南美,近12月均值,地区加总,8,2017-08-01,12,13.25,1.0470013606735495,25.452998639326452,0.0,31.912875907226816
