地区,地区初始模型,全球协调模型,步长,月份,预测事件数,下限80,上限80,下限95,上限95
全球,地区加总,地区加总,1,2018-01-01,786.8500044094831,552.9252597387937,1020.7747490801725,429.092980054053,1144.6070287649131
全球,地区加总,地区加总,2,2018-02-01,772.9606804510463,539.0359357803569,1006.8854251217357,415.2036560956162,1130.7177048064764
全球,地区加总,地区加总,3,2018-03-01,845.0889422038704,611.164197533181,1079.0136868745599,487.3319178484403,1202.8459665593005
全球,地区加总,地区加总,4,2018-04-01,773.5538226041868,514.8357010415459,1032.2719441668278,377.87860044085005,1169.2290447675236
全球,地区加总,地区加总,5,2018-05-01,1021.0779274923874,762.3598059297465,1279.7960490550283,625.4027053290506,1416.7531496557242
全球,地区加总,地区加总,6,2018-06-01,862.367391977049,603.6492704144081,1121.08551353969,466.6921698137122,1258.042614140386
全球,地区加总,地区加总,7,2018-07-01,929.104291147941,632.0860304523608,1226.1225518435213,474.85406090716174,1383.3545213887203
全球,地区加总,地区加总,8,2018-08-01,834.6986367438144,537.6803760482342,1131.7168974393946,380.44840650303513,1288.9488669845937
全球,地区加总,地区加总,9,2018-09-01,718.1608205303978,421.14255983481763,1015.179081225978,263.91059028961854,1172.411050771177
全球,地区加总,地区加总,10,2018-10-01,817.1685937921212,456.5331273671392,1177.8040602171031,265.6242433777877,1368.7129442064547
全球,地区加总,地区加总,11,2018-11-01,789.436811672393,428.80134524741095,1150.0722780973751,237.89246125805948,1340.9811620867265
全球,地区加总,地区加总,12,2018-12-01,708.2296151427933,347.5941487178112,1068.8650815677752,156.68526472845974,1259.7739655571268
北美,近12月均值,地区加总,1,2018-01-01,8.083333333333334,4.569600053994806,11.597066612671862,2.709542013546087,13.45712465312058
北美,近12月均值,地区加总,2,2018-02-01,8.083333333333334,4.569600053994806,11.597066612671862,2.709542013546087,13.45712465312058
北美,近12月均值,地区加总,3,2018-03-01,8.083333333333334,4.569600053994806,11.597066612671862,2.709542013546087,13.45712465312058
北美,近12月均值,地区加总,4,2018-04-01,8.083333333333334,3.282065834242476,12.88460083242419,0.7404283489663346,15.426238317700333
北美,近12月均值,地区加总,5,2018-05-01,8.083333333333334,3.282065834242476,12.88460083242419,0.7404283489663346,15.426238317700333
北美,近12月均值,地区加总,6,2018-06-01,8.083333333333334,3.282065834242476,12.88460083242419,0.7404283489663346,15.426238317700333
北美,近12月均值,地区加总,7,2018-07-01,8.083333333333334,3.8385016336304814,12.328165033036186,1.5914234675636827,14.575243199102985
北美,近12月均值,地区加总,8,2018-08-01,8.083333333333334,3.8385016336304814,12.328165033036186,1.5914234675636827,14.575243199102985
北美,近12月均值,地区加总,9,2018-09-01,8.083333333333334,3.8385016336304814,12.328165033036186,1.5914234675636827,14.575243199102985
北美,近12月均值,地区加总,10,2018-10-01,8.083333333333334,4.302746158873019,11.86392050779365,2.3014241994566698,13.865242467209999
北美,近12月均值,地区加总,11,2018-11-01,8.083333333333334,4.302746158873019,11.86392050779365,2.3014241994566698,13.865242467209999
北美,近12月均值,地区加总,12,2018-12-01,8.083333333333334,4.302746158873019,11.86392050779365,2.3014241994566698,13.865242467209999
中美洲与加勒比,近12月均值,地区加总,1,2018-01-01,0.3333333333333333,0.0,1.3586116670303034,0.0,1.9013612318606563
中美洲与加勒比,近12月均值,地区加总,2,2018-02-01,0.3333333333333333,0.0,1.3586116670303034,0.0,1.9013612318606563
中美洲与加勒比,近12月均值,地区加总,3,2018-03-01,0.3333333333333333,0.0,1.3586116670303034,0.0,1.9013612318606563
中美洲与加勒比,近12月均值,地区加总,4,2018-04-01,0.3333333333333333,0.0,0.9133838893610409,0.0,1.2204441056131976
中美洲与加勒比,近12月均值,地区加总,5,2018-05-01,0.3333333333333333,0.0,0.9133838893610409,0.0,1.2204441056131976
中美洲与加勒比,近12月均值,地区加总,6,2018-06-01,0.3333333333333333,0.0,0.9133838893610409,0.0,1.2204441056131976
中美洲与加勒比,近12月均值,地区加总,7,2018-07-01,0.3333333333333333,0.0,1.9559057953995627,0.0,2.814843772286963
中美洲与加勒比,近12月均值,地区加总,8,2018-08-01,0.3333333333333333,0.0,1.9559057953995627,0.0,2.814843772286963
中美洲与加勒比,近12月均值,地区加总,9,2018-09-01,0.3333333333333333,0.0,1.9559057953995627,0.0,2.814843772286963
中美洲与加勒比,近12月均值,地区加总,10,2018-10-01,0.3333333333333333,0.0,1.8086388201177728,0.0,2.589618369404481
中美洲与加勒比,近12月均值,地区加总,11,2018-11-01,0.3333333333333333,0.0,1.8086388201177728,0.0,2.589618369404481
中美洲与加勒比,近12月均值,地区加总,12,2018-12-01,0.3333333333333333,0.0,1.8086388201177728,0.0,2.589618369404481
南美,近12月均值,地区加总,1,2018-01-01,14.333333333333334,3.267447031700433,25.399219634966236,0.0,31.257145992404062
南美,近12月均值,地区加总,2,2018-02-01,14.333333333333334,3.267447031700433,25.399219634966236,0.0,31.257145992404062
南美,近12月均值,地区加总,3,2018-03-01,14.333333333333334,3.267447031700433,25.399219634966236,0.0,31.257145992404062
南美,近12月均值,地区加总,4,2018-04-01,14.333333333333332,4.990975266467055,23.67569140019961,0.045429643750660276,28.621237022916006
南美,近12月均值,地区加总,5,2018-05-01,14.333333333333334,4.990975266467057,23.67569140019961,0.04542964375066205,28.621237022916006
南美,近12月均值,地区加总,6,2018-06-01,14.333333333333334,4.990975266467057,23.67569140019961,0.04542964375066205,28.621237022916006
南美,近12月均值,地区加总,7,2018-07-01,14.333333333333334,3.040280841149361,25.626385825517307,0.0,31.604566700205282
南美,近12月均值,地区加总,8,2018-08-01,14.333333333333334,3.040280841149361,25.626385825517307,0.0,31.604566700205282
南美,近12月均值,地区加总,9,2018-09-01,14.333333333333332,3.040280841149359,25.626385825517303,0.0,31.604566700205282
南美,近12月均值,地区加总,10,2018-10-01,14.333333333333334,3.153286950784439,25.51337971588223,0.0,31.43173876969309
南美,近12月均值,地区加总,11,2018-11-01,14.333333333333334,3.153286950784439,25.51337971588223,0.0,31.43173876969309
南美,近12月均值,地区加总,12,2018-12-01,14.333333333333336,3.153286950784441,25.51337971588223,0.0,31.43173876969309
东亚,近12月均值,地区加总,1,2018-01-01,0.5833333333333334,0.0,3.308200486392933,0.0,4.750658024933611
东亚,近12月均值,地区加总,2,2018-02-01,0.5833333333333334,0.0,3.308200486392933,0.0,4.750658024933611
东亚,近12月均值,地区加总,3,2018-03-01,0.5833333333333334,0.0,3.308200486392933,0.0,4.750658024933611
东亚,近12月均值,地区加总,4,2018-04-01,0.5833333333333334,0.0,3.940760196426062,0.0,5.718074618279332
东亚,近12月均值,地区加总,5,2018-05-01,0.5833333333333334,0.0,3.940760196426062,0.0,5.718074618279332
东亚,近12月均值,地区加总,6,2018-06-01,0.5833333333333334,0.0,3.940760196426062,0.0,5.718074618279332
东亚,近12月均值,地区加总,7,2018-07-01,0.5833333333333334,0.0,2.783261062831108,0.0,3.94783245637432
东亚,近12月均值,地区加总,8,2018-08-01,0.5833333333333334,0.0,2.783261062831108,0.0,3.94783245637432
东亚,近12月均值,地区加总,9,2018-09-01,0.5833333333333334,0.0,2.783261062831108,0.0,3.94783245637432
东亚,近12月均值,地区加总,10,2018-10-01,0.5833333333333334,0.0,2.625529825482115,0.0,3.70660334569894
东亚,近12月均值,地区加总,11,2018-11-01,0.5833333333333334,0.0,2.625529825482115,0.0,3.70660334569894
东亚,近12月均值,地区加总,12,2018-12-01,0.5833333333333334,0.0,2.625529825482115,0.0,3.70660334569894
东南亚,阻尼季节ETS,地区加总,1,2018-01-01,65.19875454125994,39.762146199350504,90.63536288316939,26.29681912221374,104.10068996030614
东南亚,阻尼季节ETS,地区加总,2,2018-02-01,88.98231033822412,63.54570199631468,114.41891868013357,50.08037491917792,127.88424575727032
东南亚,阻尼季节ETS,地区加总,3,2018-03-01,91.34851576378104,65.9119074218716,116.78512410569047,52.44658034473483,130.25045118282725
东南亚,阻尼季节ETS,地区加总,4,2018-04-01,96.93049958025162,52.69065625461739,141.17034290588586,29.27149784270493,164.5895013177983
东南亚,阻尼季节ETS,地区加总,5,2018-05-01,114.09456717010755,69.85472384447331,158.3344104957418,46.435565432560864,181.75356890765426
东南亚,阻尼季节ETS,地区加总,6,2018-06-01,73.2594511172185,29.01960779158427,117.49929444285274,5.600449379671815,140.91845285476518
东南亚,阻尼季节ETS,地区加总,7,2018-07-01,80.01943738617796,41.52598286386136,118.51289190849455,21.14877893381204,138.89009583854386
东南亚,阻尼季节ETS,地区加总,8,2018-08-01,100.77791295387026,62.28445843155366,139.27136747618687,41.90725450150434,159.64857140623616
东南亚,阻尼季节ETS,地区加总,9,2018-09-01,66.32433427536698,27.830879753050382,104.81778879768358,7.453675823001063,125.1949927277329
东南亚,阻尼季节ETS,地区加总,10,2018-10-01,80.46935159738625,36.952234985586074,123.98646820918643,13.915664985554216,147.02303820921827
东南亚,阻尼季节ETS,地区加总,11,2018-11-01,82.01608214424753,38.49896553244736,125.53319875604771,15.4623955324155,148.56976875607955
东南亚,阻尼季节ETS,地区加总,12,2018-12-01,75.35747545288221,31.840358841082036,118.87459206468239,8.803788841050178,141.91116206471423
南亚,低阶SARIMA,地区加总,1,2018-01-01,255.45089884766082,160.1656531865686,350.73614450875306,109.72469104233565,401.177106652986
南亚,低阶SARIMA,地区加总,2,2018-02-01,248.24678790031282,152.9615422392206,343.53203356140506,102.52058009498765,393.972995705638
南亚,低阶SARIMA,地区加总,3,2018-03-01,279.2800468109041,183.99480114981185,374.5652924719963,133.5538390055789,425.0062546162293
南亚,低阶SARIMA,地区加总,4,2018-04-01,229.01167346624248,108.61393709634679,349.4094098361382,44.87922538572755,413.14412154675745
南亚,低阶SARIMA,地区加总,5,2018-05-01,382.4574756283255,262.0597392584298,502.8552119982212,198.32502754781055,566.5899237088404
南亚,低阶SARIMA,地区加总,6,2018-06-01,313.29205831370217,192.89432194380646,433.6897946835979,129.15961023318724,497.42450639421713
南亚,低阶SARIMA,地区加总,7,2018-07-01,277.8826570436692,194.45160772242454,361.31370636491386,150.28587806229814,405.4794360250403
南亚,低阶SARIMA,地区加总,8,2018-08-01,276.43005509129887,192.9990057700542,359.86110441254357,148.8332761099278,404.02683407266994
南亚,低阶SARIMA,地区加总,9,2018-09-01,243.9233647844704,160.49231546322574,327.3544141057151,116.32658580309932,371.5201437658415
南亚,低阶SARIMA,地区加总,10,2018-10-01,277.08092941950946,170.3810581224539,383.780800716565,113.89755816872545,440.26430067029344
南亚,低阶SARIMA,地区加总,11,2018-11-01,285.8377627112411,179.13789141418556,392.53763400829666,122.6543914604571,449.02113396202515
南亚,低阶SARIMA,地区加总,12,2018-12-01,258.9384697672508,152.23859847019526,365.63834106430636,95.7550985164668,422.12184101803484
中亚,近12月均值,地区加总,1,2018-01-01,0.5833333333333334,0.0,1.791591736582431,0.0,2.431205099132904
中亚,近12月均值,地区加总,2,2018-02-01,0.5833333333333334,0.0,1.791591736582431,0.0,2.431205099132904
中亚,近12月均值,地区加总,3,2018-03-01,0.5833333333333334,0.0,1.791591736582431,0.0,2.431205099132904
中亚,近12月均值,地区加总,4,2018-04-01,0.5833333333333334,0.0,2.083553729000475,0.0,2.877722434352848
中亚,近12月均值,地区加总,5,2018-05-01,0.5833333333333334,0.0,2.083553729000475,0.0,2.877722434352848
中亚,近12月均值,地区加总,6,2018-06-01,0.5833333333333334,0.0,2.083553729000475,0.0,2.877722434352848
中亚,近12月均值,地区加总,7,2018-07-01,0.5833333333333334,0.0,2.3703716113888857,0.0,3.31637253218519
中亚,近12月均值,地区加总,8,2018-08-01,0.5833333333333334,0.0,2.3703716113888857,0.0,3.31637253218519
中亚,近12月均值,地区加总,9,2018-09-01,0.5833333333333334,0.0,2.3703716113888857,0.0,3.31637253218519
中亚,近12月均值,地区加总,10,2018-10-01,0.5833333333333334,0.0,1.956537303368433,0.0,2.6834675745587195
中亚,近12月均值,地区加总,11,2018-11-01,0.5833333333333334,0.0,1.956537303368433,0.0,2.6834675745587195
中亚,近12月均值,地区加总,12,2018-12-01,0.5833333333333334,0.0,1.956537303368433,0.0,2.6834675745587195
西欧,近12月均值,地区加总,1,2018-01-01,24.25,15.563563545319635,32.93643645468036,10.965241849878725,37.53475815012128
西欧,近12月均值,地区加总,2,2018-02-01,24.25,15.563563545319635,32.93643645468036,10.965241849878725,37.53475815012128
西欧,近12月均值,地区加总,3,2018-03-01,24.25,15.563563545319635,32.93643645468036,10.965241849878725,37.53475815012128
西欧,近12月均值,地区加总,4,2018-04-01,24.249999999999996,9.712274800907238,38.787725199092755,2.0164679491427187,46.48353205085728
西欧,近12月均值,地区加总,5,2018-05-01,24.25,9.712274800907242,38.78772519909276,2.016467949142722,46.48353205085728
西欧,近12月均值,地区加总,6,2018-06-01,24.25,9.712274800907242,38.78772519909276,2.016467949142722,46.48353205085728
西欧,近12月均值,地区加总,7,2018-07-01,24.25,16.24695055630573,32.253049443694266,12.010392092012006,36.489607907987995
西欧,近12月均值,地区加总,8,2018-08-01,24.25,16.24695055630573,32.253049443694266,12.010392092012006,36.489607907987995
西欧,近12月均值,地区加总,9,2018-09-01,24.250000000000004,16.246950556305734,32.25304944369427,12.01039209201201,36.489607907987995
西欧,近12月均值,地区加总,10,2018-10-01,24.25,5.157800667613813,43.34219933238619,0.0,53.44899915321379
西欧,近12月均值,地区加总,11,2018-11-01,24.25,5.157800667613813,43.34219933238619,0.0,53.44899915321379
西欧,近12月均值,地区加总,12,2018-12-01,24.25,5.157800667613813,43.34219933238619,0.0,53.44899915321379
东欧,阻尼季节ETS,地区加总,1,2018-01-01,17.413338416770333,0.0,39.35254499845941,0.0,50.96645941914035
东欧,阻尼季节ETS,地区加总,2,2018-02-01,5.955655829103241,0.0,27.89486241079232,0.0,39.508776831473256
东欧,阻尼季节ETS,地区加总,3,2018-03-01,7.619999565865405,0.0,29.559206147554484,0.0,41.17312056823542
东欧,阻尼季节ETS,地区加总,4,2018-04-01,17.010096874649577,0.0,60.627227600590345,0.0,83.71674187452582
东欧,阻尼季节ETS,地区加总,5,2018-05-01,14.669667371814807,0.0,58.28679809775558,0.0,81.37631237169106
东欧,阻尼季节ETS,地区加总,6,2018-06-01,9.75536498981683,0.0,53.372495715757594,0.0,76.46200998969307
东欧,阻尼季节ETS,地区加总,7,2018-07-01,30.759082939322976,0.0,104.24587999782052,0.0,143.14744049452787
东欧,阻尼季节ETS,地区加总,8,2018-08-01,12.779988895636535,0.0,86.26678595413408,0.0,125.16834645084144
东欧,阻尼季节ETS,地区加总,9,2018-09-01,7.411556954897629,0.0,80.89835401339518,0.0,119.79991451010254
东欧,阻尼季节ETS,地区加总,10,2018-10-01,21.34762712071155,0.0,84.23199586305748,0.0,117.52096983997882
东欧,阻尼季节ETS,地区加总,11,2018-11-01,11.144721033125865,0.0,74.02908977547179,0.0,107.31806375239313
东欧,阻尼季节ETS,地区加总,12,2018-12-01,4.261297214866563,0.0,67.14566595721249,0.0,100.43463993413383
中东与北非,低阶SARIMA,地区加总,1,2018-01-01,243.75925599737417,143.8625771349702,343.65593485977814,90.98046971242894,396.5380422823194
中东与北非,低阶SARIMA,地区加总,2,2018-02-01,226.13897528660323,126.24229642419925,326.0356541490072,73.360189001658,378.91776157154845
中东与北非,低阶SARIMA,地区加总,3,2018-03-01,233.4927408536701,133.59606199126614,333.3894197160741,80.71395456872489,386.27152713861534
中东与北非,低阶SARIMA,地区加总,4,2018-04-01,218.66026308987549,101.66009660115809,335.66042957859287,39.72394974252495,397.596576437226
中东与北非,低阶SARIMA,地区加总,5,2018-05-01,286.81783318433065,169.81766669561324,403.81799967304806,107.88151983698012,465.75414653168116
中东与北非,低阶SARIMA,地区加总,6,2018-06-01,251.84976849835783,134.84960200964042,368.84993498707524,72.9134551510073,430.7860818457084
中东与北非,低阶SARIMA,地区加总,7,2018-07-01,286.17544591555975,85.10111187924684,487.24977995187265,0.0,593.6921026948568
中东与北非,低阶SARIMA,地区加总,8,2018-08-01,255.16557339026443,54.09123935395152,456.23990742657736,0.0,562.6822301695614
中东与北非,低阶SARIMA,地区加总,9,2018-09-01,206.34379800064448,5.269463964331578,407.4181320369574,0.0,513.8604547799415
中东与北非,低阶SARIMA,地区加总,10,2018-10-01,235.04514207888408,0.0,511.82942213360616,0.0,658.3501693436833
中东与北非,低阶SARIMA,地区加总,11,2018-11-01,199.69286930149568,0.0,476.47714935621775,0.0,622.9978965662949
中东与北非,低阶SARIMA,地区加总,12,2018-12-01,173.74641981695092,0.0,450.53069987167294,0.0,597.0514470817502
撒哈拉以南非洲,阻尼季节ETS,地区加总,1,2018-01-01,155.86108993975105,84.18339151232485,227.53878836717726,46.23950998188282,265.4826698976193
撒哈拉以南非洲,阻尼季节ETS,地区加总,2,2018-02-01,154.47028443013625,82.79258600271004,226.14798285756245,44.84870447226801,264.09186438800447
撒哈拉以南非洲,阻尼季节ETS,地区加总,3,2018-03-01,184.1809725429831,112.5032741155569,255.85867097040932,74.55939258511488,293.80255250085133
撒哈拉以南非洲,阻尼季节ETS,地区加总,4,2018-04-01,162.77462292650114,94.81673351147147,230.73251234153082,58.84199992493494,266.7072459280673
撒哈拉以南非洲,阻尼季节ETS,地区加总,5,2018-05-01,173.8717174711421,105.91382805611242,241.82960688617175,69.93909446957589,277.8043404727083
撒哈拉以南非洲,阻尼季节ETS,地区加总,6,2018-06-01,165.04408239128696,97.0861929762573,233.00197180631665,61.111459389720764,268.97670539285315
撒哈拉以南非洲,阻尼季节ETS,地区加总,7,2018-07-01,205.10100119654456,125.47825429770612,284.72374809538303,83.32851816301616,326.87348423007296
撒哈拉以南非洲,阻尼季节ETS,地区加总,8,2018-08-01,140.37843974607767,60.75569284723923,220.00118664491612,18.605956712549272,262.15092277960605
撒哈拉以南非洲,阻尼季节ETS,地区加总,9,2018-09-01,144.9910998483517,65.36835294951325,224.61384674719014,23.218616814823292,266.7635828818801
撒哈拉以南非洲,阻尼季节ETS,地区加总,10,2018-10-01,154.05887690896327,100.92073462535575,207.1970191925708,72.79110128342512,235.32665253450142
撒哈拉以南非洲,阻尼季节ETS,地区加总,11,2018-11-01,161.57870981561618,108.44056753200866,214.7168520992237,80.31093419007803,242.84648544115433
撒哈拉以南非洲,阻尼季节ETS,地区加总,12,2018-12-01,146.75928622417607,93.62114394056854,199.8974285077836,65.49151059863792,228.02706184971422
大洋洲,近12月均值,地区加总,1,2018-01-01,1.0,0.011536189175833211,1.9884638108241668,0.0,2.511724944453011
大洋洲,近12月均值,地区加总,2,2018-02-01,1.0,0.011536189175833211,1.9884638108241668,0.0,2.511724944453011
大洋洲,近12月均值,地区加总,3,2018-03-01,1.0,0.011536189175833211,1.9884638108241668,0.0,2.511724944453011
大洋洲,近12月均值,地区加总,4,2018-04-01,1.0,0.003873564340509783,1.99612643565949,0.0,2.523443917850616
大洋洲,近12月均值,地区加总,5,2018-05-01,1.0,0.003873564340509783,1.99612643565949,0.0,2.523443917850616
大洋洲,近12月均值,地区加总,6,2018-06-01,1.0,0.003873564340509783,1.99612643565949,0.0,2.523443917850616
大洋洲,近12月均值,地区加总,7,2018-07-01,0.9999999999999999,0.0,3.599189392744338,0.0,4.97511714373552
大洋洲,近12月均值,地区加总,8,2018-08-01,1.0,0.0,3.599189392744338,0.0,4.97511714373552
大洋洲,近12月均值,地区加总,9,2018-09-01,1.0,0.0,3.599189392744338,0.0,4.97511714373552
大洋洲,近12月均值,地区加总,10,2018-10-01,0.9999999999999999,0.0,2.0481975335757117,0.0,2.6030797899412432
大洋洲,近12月均值,地区加总,11,2018-11-01,1.0,0.0,2.0481975335757117,0.0,2.6030797899412432
大洋洲,近12月均值,地区加总,12,2018-12-01,1.0,0.0,2.0481975335757117,0.0,2.6030797899412432
