维度,类别,年份,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率,年度事件占比
袭击类型,Armed Assault,2015,3368,1428.5002789185448,0.42413903768365346,571,3354,3250,11717.0,2974,6319.0,0.16953681710213778,0.9958432304038005,0.9649643705463183,0.22505846976277982
袭击类型,Armed Assault,2016,2733,1102.3354856437095,0.40334265848653844,428,2723,2638,8368.0,2523,5498.0,0.1566044639590194,0.9963410171972191,0.9652396633735821,0.20114815632589975
袭击类型,Armed Assault,2017,2365,973.4642922008096,0.41161280854156856,369,2360,2270,6733.0,2164,5133.0,0.15602536997885835,0.9978858350951374,0.959830866807611,0.21697247706422018
袭击类型,Assassination,2015,927,391.8129619616605,0.4226677043815108,63,923,927,1231.0,916,933.0,0.06796116504854369,0.9956850053937433,1.0,0.06194453725359171
袭击类型,Assassination,2016,821,306.7113368432508,0.37358262709287554,58,821,818,929.0,807,787.0,0.07064555420219244,1.0,0.9963459196102314,0.060425406638698755
袭击类型,Assassination,2017,816,309.9449519177776,0.37983449989923723,44,815,815,826.0,808,664.0,0.05392156862745098,0.9987745098039216,0.9987745098039216,0.07486238532110091
袭击类型,Bombing/Explosion,2015,7662,3951.5631057099954,0.5157352004320015,2817,7638,7524,17059.0,7326,31861.0,0.3676585747846515,0.9968676585747847,0.9819890368050117,0.5119946541931173
袭击类型,Bombing/Explosion,2016,7108,3666.2631343710864,0.5157939131079188,2576,7090,6969,16030.0,6837,29225.0,0.3624085537422622,0.9974676420934159,0.9804445694991559,0.523147125929197
袭击类型,Bombing/Explosion,2017,5024,2393.111742569169,0.4763359360209333,1692,5002,4931,11831.0,4811,15815.0,0.33678343949044587,0.9956210191082803,0.9814888535031847,0.46091743119266054
袭击类型,Facility/Infrastructure Attack,2015,705,471.4803316094065,0.668766427814761,161,696,700,95.0,693,230.0,0.22836879432624113,0.9872340425531915,0.9929078014184397,0.04710992315402606
袭击类型,Facility/Infrastructure Attack,2016,696,475.9001379768386,0.6837645660586762,253,691,684,191.0,671,183.0,0.3635057471264368,0.992816091954023,0.9827586206896551,0.051225436078604546
袭击类型,Facility/Infrastructure Attack,2017,751,509.39045246944556,0.6782828927689022,232,745,740,166.0,732,197.0,0.30892143808255657,0.9920106524633822,0.9853528628495339,0.06889908256880733
袭击类型,Hijacking,2015,38,25.58455828650634,0.6732778496449037,13,37,36,56.0,35,19.0,0.34210526315789475,0.9736842105263158,0.9473684210526315,0.0025392582692950216
