地区,模型,月份,实际事件数,预测事件数
北美,季节朴素,2012-01-01,9,4.0
北美,季节朴素,2012-02-01,0,1.0
北美,季节朴素,2012-03-01,3,0.0
北美,季节朴素,2012-04-01,3,1.0
北美,季节朴素,2012-05-01,10,1.0
北美,季节朴素,2012-06-01,4,1.0
北美,季节朴素,2012-07-01,2,0.0
北美,季节朴素,2012-08-01,4,0.0
北美,季节朴素,2012-09-01,1,1.0
北美,季节朴素,2012-10-01,0,1.0
北美,季节朴素,2012-11-01,3,1.0
北美,季节朴素,2012-12-01,0,1.0
北美,季节朴素,2013-01-01,3,9.0
北美,季节朴素,2013-02-01,3,0.0
北美,季节朴素,2013-03-01,5,3.0
北美,季节朴素,2013-04-01,8,3.0
北美,季节朴素,2013-05-01,5,10.0
北美,季节朴素,2013-06-01,0,4.0
北美,季节朴素,2013-07-01,2,2.0
北美,季节朴素,2013-08-01,2,4.0
北美,季节朴素,2013-09-01,1,1.0
北美,季节朴素,2013-10-01,2,0.0
北美,季节朴素,2013-11-01,1,3.0
北美,季节朴素,2013-12-01,0,0.0
北美,季节朴素,2014-01-01,1,3.0
北美,季节朴素,2014-02-01,1,3.0
北美,季节朴素,2014-03-01,2,5.0
北美,季节朴素,2014-04-01,5,8.0
北美,季节朴素,2014-05-01,4,5.0
北美,季节朴素,2014-06-01,6,0.0
北美,季节朴素,2014-07-01,0,2.0
北美,季节朴素,2014-08-01,1,2.0
北美,季节朴素,2014-09-01,3,1.0
北美,季节朴素,2014-10-01,5,2.0
北美,季节朴素,2014-11-01,6,1.0
北美,季节朴素,2014-12-01,3,0.0
北美,季节朴素,2015-01-01,2,1.0
北美,季节朴素,2015-02-01,5,1.0
北美,季节朴素,2015-03-01,2,2.0
北美,季节朴素,2015-04-01,1,5.0
北美,季节朴素,2015-05-01,3,4.0
北美,季节朴素,2015-06-01,9,6.0
北美,季节朴素,2015-07-01,7,0.0
北美,季节朴素,2015-08-01,5,1.0
北美,季节朴素,2015-09-01,3,3.0
北美,季节朴素,2015-10-01,10,5.0
北美,季节朴素,2015-11-01,10,6.0
北美,季节朴素,2015-12-01,5,3.0
北美,季节朴素,2016-01-01,5,2.0
北美,季节朴素,2016-02-01,4,5.0
北美,季节朴素,2016-03-01,2,2.0
北美,季节朴素,2016-04-01,3,1.0
北美,季节朴素,2016-05-01,3,3.0
北美,季节朴素,2016-06-01,6,9.0
北美,季节朴素,2016-07-01,14,7.0
北美,季节朴素,2016-08-01,11,5.0
北美,季节朴素,2016-09-01,11,3.0
北美,季节朴素,2016-10-01,7,10.0
北美,季节朴素,2016-11-01,4,10.0
北美,季节朴素,2016-12-01,5,5.0
北美,近12月均值,2012-01-01,9,1.0
北美,近12月均值,2012-02-01,0,1.0
北美,近12月均值,2012-03-01,3,1.0
北美,近12月均值,2012-04-01,3,1.0
北美,近12月均值,2012-05-01,10,1.0
北美,近12月均值,2012-06-01,4,1.0
北美,近12月均值,2012-07-01,2,1.0
北美,近12月均值,2012-08-01,4,1.0
北美,近12月均值,2012-09-01,1,1.0
北美,近12月均值,2012-10-01,0,1.0
北美,近12月均值,2012-11-01,3,1.0
北美,近12月均值,2012-12-01,0,1.0
北美,近12月均值,2013-01-01,3,3.25
北美,近12月均值,2013-02-01,3,3.25
北美,近12月均值,2013-03-01,5,3.25
北美,近12月均值,2013-04-01,8,3.25
北美,近12月均值,2013-05-01,5,3.25
北美,近12月均值,2013-06-01,0,3.25
北美,近12月均值,2013-07-01,2,3.25
北美,近12月均值,2013-08-01,2,3.25
北美,近12月均值,2013-09-01,1,3.25
北美,近12月均值,2013-10-01,2,3.25
北美,近12月均值,2013-11-01,1,3.25
北美,近12月均值,2013-12-01,0,3.25
北美,近12月均值,2014-01-01,1,2.6666666666666665
北美,近12月均值,2014-02-01,1,2.6666666666666665
北美,近12月均值,2014-03-01,2,2.6666666666666665
北美,近12月均值,2014-04-01,5,2.6666666666666665
北美,近12月均值,2014-05-01,4,2.6666666666666665
北美,近12月均值,2014-06-01,6,2.6666666666666665
北美,近12月均值,2014-07-01,0,2.6666666666666665
北美,近12月均值,2014-08-01,1,2.6666666666666665
北美,近12月均值,2014-09-01,3,2.6666666666666665
北美,近12月均值,2014-10-01,5,2.6666666666666665
北美,近12月均值,2014-11-01,6,2.6666666666666665
北美,近12月均值,2014-12-01,3,2.6666666666666665
北美,近12月均值,2015-01-01,2,3.0833333333333335
北美,近12月均值,2015-02-01,5,3.0833333333333335
北美,近12月均值,2015-03-01,2,3.0833333333333335
北美,近12月均值,2015-04-01,1,3.0833333333333335
北美,近12月均值,2015-05-01,3,3.0833333333333335
北美,近12月均值,2015-06-01,9,3.0833333333333335
北美,近12月均值,2015-07-01,7,3.0833333333333335
北美,近12月均值,2015-08-01,5,3.0833333333333335
北美,近12月均值,2015-09-01,3,3.0833333333333335
北美,近12月均值,2015-10-01,10,3.0833333333333335
北美,近12月均值,2015-11-01,10,3.0833333333333335
北美,近12月均值,2015-12-01,5,3.0833333333333335
北美,近12月均值,2016-01-01,5,5.166666666666667
北美,近12月均值,2016-02-01,4,5.166666666666667
北美,近12月均值,2016-03-01,2,5.166666666666667
北美,近12月均值,2016-04-01,3,5.166666666666667
北美,近12月均值,2016-05-01,3,5.166666666666667
北美,近12月均值,2016-06-01,6,5.166666666666667
北美,近12月均值,2016-07-01,14,5.166666666666667
北美,近12月均值,2016-08-01,11,5.166666666666667
北美,近12月均值,2016-09-01,11,5.166666666666667
北美,近12月均值,2016-10-01,7,5.166666666666667
北美,近12月均值,2016-11-01,4,5.166666666666667
北美,近12月均值,2016-12-01,5,5.166666666666667
北美,阻尼季节ETS,2012-01-01,9,1.158092244674467
北美,阻尼季节ETS,2012-02-01,0,2.160323996550322
北美,阻尼季节ETS,2012-03-01,3,1.562517619650919
北美,阻尼季节ETS,2012-04-01,3,0.9647134037743522
北美,阻尼季节ETS,2012-05-01,10,1.9668890624907864
北美,阻尼季节ETS,2012-06-01,4,0.9690525054534168
北美,阻尼季节ETS,2012-07-01,2,1.5712154852732445
北美,阻尼季节ETS,2012-08-01,4,1.1733664771428471
北美,阻尼季节ETS,2012-09-01,1,0.5755066405182421
北美,阻尼季节ETS,2012-10-01,0,1.7776387564703269
北美,阻尼季节ETS,2012-11-01,3,0.9797440889303229
北美,阻尼季节ETS,2012-12-01,0,0.1818096477210066
北美,阻尼季节ETS,2013-01-01,3,3.0070523920031924
北美,阻尼季节ETS,2013-02-01,3,1.8403902627401867
北美,阻尼季节ETS,2013-03-01,5,1.4679271179969278
北美,阻尼季节ETS,2013-04-01,8,1.6907321153584656
北美,阻尼季节ETS,2013-05-01,5,4.109591217880446
北美,阻尼季节ETS,2013-06-01,0,1.925160802568052
北美,阻尼季节ETS,2013-07-01,2,1.9380462168004327
北美,阻尼季节ETS,2013-08-01,2,2.148732216121341
北美,阻尼季节ETS,2013-09-01,1,0.9576135951454001
北美,阻尼季节ETS,2013-10-01,2,1.7650009470234498
北美,阻尼季节ETS,2013-11-01,1,1.9710782313551787
北美,阻尼季节ETS,2013-12-01,0,0.5759486273917194
北美,阻尼季节ETS,2014-01-01,1,4.5423047897668685
北美,阻尼季节ETS,2014-02-01,1,2.313143202641002
北美,阻尼季节ETS,2014-03-01,2,3.0848740156342376
北美,阻尼季节ETS,2014-04-01,5,3.4574900524059777
北美,阻尼季节ETS,2014-05-01,4,5.630931550383179
北美,阻尼季节ETS,2014-06-01,6,2.605189410944293
北美,阻尼季节ETS,2014-07-01,0,2.5802582303430426
北美,阻尼季节ETS,2014-08-01,1,2.3560949316099595
北美,阻尼季节ETS,2014-09-01,3,1.7326802954383211
北美,阻尼季节ETS,2014-10-01,5,2.109979445874574
北美,阻尼季节ETS,2014-11-01,6,2.488009385150918
北美,阻尼季节ETS,2014-12-01,3,1.2667110550720364
北美,阻尼季节ETS,2015-01-01,2,4.500818163470489
北美,阻尼季节ETS,2015-02-01,5,2.695302454539802
北美,阻尼季节ETS,2015-03-01,2,3.4898335206363233
北美,阻尼季节ETS,2015-04-01,1,4.684391095272514
北美,阻尼季节ETS,2015-05-01,3,6.078955303770309
北美,阻尼季节ETS,2015-06-01,9,3.4735660706239857
北美,阻尼季节ETS,2015-07-01,7,2.2681963317879505
北美,阻尼季节ETS,2015-08-01,5,2.662860593512259
北美,阻尼季节ETS,2015-09-01,3,2.4575507102475704
北美,阻尼季节ETS,2015-10-01,10,3.45226699886586
北美,阻尼季节ETS,2015-11-01,10,3.8470037785757225
北美,阻尼季节ETS,2015-12-01,5,2.0417665161911596
北美,阻尼季节ETS,2016-01-01,5,8.366422018631127
北美,阻尼季节ETS,2016-02-01,4,6.5445930103966585
北美,阻尼季节ETS,2016-03-01,2,6.922888174249379
北美,阻尼季节ETS,2016-04-01,3,8.101199024673171
北美,阻尼季节ETS,2016-05-01,3,9.079805392663832
北美,阻尼季节ETS,2016-06-01,6,8.458541747376195
北美,阻尼季节ETS,2016-07-01,14,6.636994608585562
北美,阻尼季节ETS,2016-08-01,11,6.81595760779147
北美,阻尼季节ETS,2016-09-01,11,6.1949613238741295
北美,阻尼季节ETS,2016-10-01,7,7.97351114170083
北美,阻尼季节ETS,2016-11-01,4,8.552852997205687
北美,阻尼季节ETS,2016-12-01,5,6.132177203939619
北美,低阶SARIMA,2012-01-01,9,1.1250475729801117
北美,低阶SARIMA,2012-02-01,0,2.1248712199205126
北美,低阶SARIMA,2012-03-01,3,1.524845336737101
北美,低阶SARIMA,2012-04-01,3,0.9249258559370777
北美,低阶SARIMA,2012-05-01,10,1.9249827613017105
北美,低阶SARIMA,2012-06-01,4,0.9249577758375429
北美,低阶SARIMA,2012-07-01,2,1.5248821281521785
北美,低阶SARIMA,2012-08-01,4,1.1248718471803112
北美,低阶SARIMA,2012-09-01,1,0.5249685062761005
北美,低阶SARIMA,2012-10-01,0,1.7249348814322594
北美,低阶SARIMA,2012-11-01,3,0.9249942990505817
北美,低阶SARIMA,2012-12-01,0,0.12500519390100517
北美,低阶SARIMA,2013-01-01,3,6.668309364010708
北美,低阶SARIMA,2013-02-01,3,1.5196053185127796
北美,低阶SARIMA,2013-03-01,5,2.6696335753049087
北美,低阶SARIMA,2013-04-01,8,2.815544523067638
北美,低阶SARIMA,2013-05-01,5,7.141418581698703
北美,低阶SARIMA,2013-06-01,0,3.418693975014438
北美,低阶SARIMA,2013-07-01,2,2.289690261051357
北美,低阶SARIMA,2013-08-01,2,3.1969725659166093
北美,低阶SARIMA,2013-09-01,1,1.6937695715687335
北美,低阶SARIMA,2013-10-01,2,1.5644436824435286
北美,低阶SARIMA,2013-11-01,1,3.0381069320697414
北美,低阶SARIMA,2013-12-01,0,1.1215916359527407
北美,低阶SARIMA,2014-01-01,1,4.244729376296471
北美,低阶SARIMA,2014-02-01,1,2.0071673759808024
北美,低阶SARIMA,2014-03-01,2,2.85016244884552
北美,低阶SARIMA,2014-04-01,5,3.3075334270569137
北美,低阶SARIMA,2014-05-01,4,5.440237874275404
北美,低阶SARIMA,2014-06-01,6,2.36867755703887
北美,低阶SARIMA,2014-07-01,0,2.383297636990351
北美,低阶SARIMA,2014-08-01,1,2.218882398950544
北美,低阶SARIMA,2014-09-01,3,1.5879241967515985
北美,低阶SARIMA,2014-10-01,5,1.9856258278630192
北美,低阶SARIMA,2014-11-01,6,2.3830348579908884
北美,低阶SARIMA,2014-12-01,3,1.1688310930532213
