月份,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率
2015-01-01,1534,745.9820318413508,0.4862985865980123,453,1524,1438,3470.0,1354,3466.0,0.2953063885267275,0.9934810951760105,0.9374185136897001
2015-02-01,1295,635.0107910726473,0.49035582322212146,393,1291,1231,2972.0,1162,3535.0,0.30347490347490347,0.9969111969111969,0.9505791505791505
2015-03-01,1183,559.0861040185508,0.4726002569894766,322,1173,1124,2924.0,1078,3357.0,0.27218934911242604,0.9915469146238377,0.9501267962806424
2015-04-01,1277,580.971575130787,0.4549503329136938,294,1270,1203,3737.0,1144,3205.0,0.23022709475332812,0.9945184025058731,0.9420516836335161
2015-05-01,1316,629.794472233319,0.47856722814081987,363,1304,1226,3548.0,1127,3487.0,0.27583586626139817,0.9908814589665653,0.9316109422492401
2015-06-01,1168,578.7946366416526,0.4955433532890861,342,1161,1109,3875.0,1043,4258.0,0.2928082191780822,0.9940068493150684,0.949486301369863
2015-07-01,1263,630.160487825449,0.49893942028934996,368,1252,1199,3996.0,1128,4703.0,0.2913697545526524,0.9912905779889153,0.9493269992082344
2015-08-01,1290,621.4306119321734,0.48172915653656856,337,1278,1227,3295.0,1177,3928.0,0.26124031007751936,0.9906976744186047,0.9511627906976744
2015-09-01,1107,520.4153489763856,0.4701132330409988,257,1099,1055,3326.0,1017,4227.0,0.23215898825654924,0.992773261065944,0.953026196928636
2015-10-01,1269,543.6358360368246,0.42839703391396733,244,1260,1204,3002.0,1172,3299.0,0.19227738376674547,0.9929078014184397,0.9487785657998424
2015-11-01,1172,511.16438049974045,0.4361470823376625,226,1165,1098,2330.0,1066,3507.0,0.19283276450511946,0.9940273037542662,0.9368600682593856
2015-12-01,1091,501.4527057127755,0.4596266780135431,242,1084,1046,2378.0,1013,3071.0,0.22181484876260313,0.9935838680109991,0.9587534372135655
2016-01-01,1162,559.7544100805352,0.48171635979392013,335,1158,1107,2873.0,1063,3141.0,0.2882960413080895,0.9965576592082617,0.9526678141135972
2016-02-01,1153,514.3489957087869,0.4460962668766582,275,1144,1101,3148.0,1071,3147.0,0.23850823937554205,0.9921942758022549,0.9549002601908065
2016-03-01,1145,509.53624824385207,0.44500982379375725,264,1142,1084,2532.0,1061,4870.0,0.23056768558951965,0.9973799126637555,0.9467248908296944
2016-04-01,1120,522.7508982237933,0.46674187341410117,288,1117,1053,3021.0,1019,3281.0,0.2571428571428571,0.9973214285714286,0.9401785714285714
2016-05-01,1353,596.4319593197882,0.4408218472430068,298,1352,1268,3162.0,1225,3570.0,0.22025129342202512,0.9992609016999261,0.9371766444937176
2016-06-01,1156,521.9203728321079,0.4514882117924809,253,1151,1077,3341.0,1032,3784.0,0.21885813148788927,0.995674740484429,0.9316608996539792
2016-07-01,1114,509.18372552224105,0.45707695289249645,245,1108,1065,2932.0,1043,3848.0,0.2199281867145422,0.9946140035906643,0.9560143626570916
2016-08-01,1162,540.2485470909039,0.46492990283210317,301,1154,1103,2692.0,1078,3296.0,0.25903614457831325,0.9931153184165232,0.9492254733218589
2016-09-01,1045,525.6119289264037,0.5029779224176112,364,1042,982,2329.0,961,2617.0,0.34832535885167465,0.9971291866028709,0.939712918660287
2016-10-01,1140,519.5322982523123,0.4557300861862389,271,1130,1078,3656.0,1041,3180.0,0.23771929824561402,0.9912280701754386,0.9456140350877194
2016-11-01,1114,545.8006637137942,0.4899467358292587,326,1113,1032,2474.0,1012,2990.0,0.2926391382405745,0.9991023339317774,0.926391382405745
2016-12-01,923,446.4405754280959,0.4836842637357485,285,919,859,2711.0,831,2277.0,0.3087757313109426,0.9956663055254604,0.9306608884073673
2017-01-01,879,384.34216939887403,0.43724933947539707,211,868,819,2275.0,805,2153.0,0.24004550625711035,0.987485779294653,0.931740614334471
2017-02-01,879,388.94685409556064,0.44248788861838523,198,878,822,2027.0,806,2104.0,0.22525597269624573,0.9988623435722411,0.9351535836177475
2017-03-01,961,428.7422878942095,0.44614181882852183,210,953,900,2463.0,870,1984.0,0.21852237252861603,0.991675338189386,0.9365244536940687
2017-04-01,865,391.4960109726312,0.4525965444770303,214,863,830,2142.0,806,1685.0,0.24739884393063583,0.9976878612716763,0.9595375722543352
2017-05-01,1081,497.6673443590227,0.4603768217937305,278,1078,1021,2936.0,963,2776.0,0.25716928769657726,0.9972247918593895,0.9444958371877891
2017-06-01,1077,466.47116881848234,0.43312086241270414,208,1076,1010,2506.0,991,2306.0,0.19312906220984216,0.9990714948932219,0.9377901578458682
2017-07-01,994,454.86827540453595,0.45761395915949293,237,992,945,2228.0,915,1908.0,0.23843058350100604,0.9979879275653923,0.9507042253521126
2017-08-01,968,434.55882349449587,0.4489244044364627,235,964,909,2145.0,850,2446.0,0.2427685950413223,0.9958677685950413,0.9390495867768595
2017-09-01,838,382.254160255669,0.4561505492311086,194,834,801,1764.0,778,1506.0,0.2315035799522673,0.9952267303102625,0.9558472553699284
2017-10-01,805,352.5795944375326,0.4379870738354442,165,801,751,2580.0,727,2935.0,0.20496894409937888,0.9950310559006211,0.9329192546583851
2017-11-01,804,332.9565276041809,0.41412503433355835,156,801,774,2014.0,759,1702.0,0.19402985074626866,0.996268656716418,0.9626865671641791
2017-12-01,749,339.04933857800165,0.45266934389586333,193,745,703,1365.0,671,1422.0,0.2576769025367156,0.9946595460614153,0.9385847797062751
