地区,用途,预测季度,历史完整年度数,季度合并误差数,误差RMS
全球,2017测试,1,5,15,174.26789174457602
全球,2017测试,2,5,15,206.23226208339457
全球,2017测试,3,5,15,238.4176450193854
全球,2017测试,4,5,15,279.21601178894423
全球,2018预测,1,6,18,182.5324481354616
全球,2018预测,2,6,18,201.87882291938655
全球,2018预测,3,6,18,231.764580279968
全球,2018预测,4,6,18,281.40534967215984
北美,2017测试,1,5,15,2.52487623459052
北美,2017测试,2,5,15,3.632798125718277
北美,2017测试,3,5,15,3.5897229852888524
北美,2017测试,4,5,15,3.097938382573518
北美,2018预测,1,6,18,2.74178064606035
北美,2018预测,2,6,18,3.746448935943159
北美,2018预测,3,6,18,3.3122597746576
北美,2018预测,4,6,18,2.9500078468194446
中美洲与加勒比,2017测试,1,5,15,0.8498365855987974
中美洲与加勒比,2017测试,2,5,15,0.44721359549995804
中美洲与加勒比,2017测试,3,5,15,1.3703203194062976
中美洲与加勒比,2017测试,4,5,15,1.2427567921538165
中美洲与加勒比,2018预测,1,6,18,0.800028934661926
中美洲与加勒比,2018预测,2,6,18,0.45261585380000896
中美洲与加勒比,2018预测,3,6,18,1.266100019453147
中美洲与加勒比,2018预测,4,6,18,1.1511869880612278
南美,2017测试,1,5,15,9.162878004935639
南美,2017测试,2,5,15,7.951414968419142
南美,2017测试,3,5,15,9.52205043278203
南美,2017测试,4,5,15,9.351321950517061
南美,2018预测,1,6,18,8.634756961129696
南美,2018预测,2,6,18,7.289880733668494
南美,2018预测,3,6,18,8.812015681464167
南美,2018预测,4,6,18,8.723836545584406
东亚,2017测试,1,5,15,2.295527051560152
东亚,2017测试,2,5,15,2.858224001796298
东亚,2017测试,3,5,15,1.8626444761264678
东亚,2017测试,4,5,15,1.693943459636255
东亚,2018预测,1,6,18,2.126225137028846
东亚,2018预测,2,6,18,2.619814101406038
东亚,2018预测,3,6,18,1.7166127283867085
东亚,2018预测,4,6,18,1.5935343899181629
东南亚,2017测试,1,5,15,19.4316140448804
东南亚,2017测试,2,5,15,36.8940434348459
东南亚,2017测试,3,5,15,32.09437498957939
东南亚,2017测试,4,5,15,35.642060984073076
东南亚,2018预测,1,6,18,19.848290951211197
东南亚,2018预测,2,6,18,34.52053316858487
东南亚,2018预测,3,6,18,30.036602160412208
东南亚,2018预测,4,6,18,33.956586517302874
南亚,2017测试,1,5,15,74.99800240357834
南亚,2017测试,2,5,15,100.0383720301625
南亚,2017测试,3,5,15,69.78377369968472
南亚,2017测试,4,5,15,89.5410815449626
南亚,2018预测,1,6,18,74.35147224887545
南亚,2018预测,2,6,18,93.94685286715888
南亚,2018预测,3,6,18,65.10159369653637
南亚,2018预测,4,6,18,83.2583519584817
中亚,2017测试,1,5,15,1.0048493529988574
中亚,2017测试,2,5,15,1.168451016422074
中亚,2017测试,3,5,15,1.3899440436378885
中亚,2017测试,4,5,15,1.0481465122353417
中亚,2018预测,1,6,18,0.9428090415820634
中亚,2018预测,2,6,18,1.1706281947614154
中亚,2018预测,3,6,18,1.3944333775567925
中亚,2018预测,4,6,18,1.0715167512214394
西欧,2017测试,1,5,15,7.091172133168269
西欧,2017测试,2,5,15,11.365456924871568
西欧,2017测试,3,5,15,6.574044079222131
西欧,2017测试,4,5,15,16.282446239909884
西欧,2018预测,1,6,18,6.778062380181347
西欧,2018预测,2,6,18,11.343847247312983
西欧,2018预测,3,6,18,6.244812662136887
西欧,2018预测,4,6,18,14.89772229670125
东欧,2017测试,1,5,15,18.58297152703155
东欧,2017测试,2,5,15,37.151501858077715
东欧,2017测试,3,5,15,62.433012520444755
东欧,2017测试,4,5,15,53.598792475298495
东欧,2018预测,1,6,18,17.119253857230415
东欧,2018预测,2,6,18,34.03462794523255
东欧,2018预测,3,6,18,57.34205242632515
东欧,2018预测,4,6,18,49.06893365279685
中东与北非,2017测试,1,5,15,65.1955771773872
中东与北非,2017测试,2,5,15,74.78365536756765
中东与北非,2017测试,3,5,15,150.00014706829694
中东与北非,2017测试,4,5,15,207.9190856928109
中东与北非,2018预测,1,6,18,77.94979269519482
中东与北非,2018预测,2,6,18,91.29571500230482
中东与北非,2018预测,3,6,18,156.89913651727747
中东与北非,2018预测,4,6,18,215.97592129435816
撒哈拉以南非洲,2017测试,1,5,15,58.61394602466246
撒哈拉以南非洲,2017测试,2,5,15,57.38599029360879
撒哈拉以南非洲,2017测试,3,5,15,67.58748136942344
撒哈拉以南非洲,2017测试,4,5,15,42.55649393175053
撒哈拉以南非洲,2018预测,1,6,18,55.93040526384632
撒哈拉以南非洲,2018预测,2,6,18,53.027822868875894
撒哈拉以南非洲,2018预测,3,6,18,62.1299595268353
撒哈拉以南非洲,2018预测,4,6,18,41.463912738482954
大洋洲,2017测试,1,5,15,0.7582875444051551
大洋洲,2017测试,2,5,15,0.8215838362577492
大洋洲,2017测试,3,5,15,0.6302556800396346
大洋洲,2017测试,4,5,15,0.8416254115301732
大洋洲,2018预测,1,6,18,0.7713024098286012
大洋洲,2018预测,2,6,18,0.7772815877574013
大洋洲,2018预测,3,6,18,2.0281582595857564
大洋洲,2018预测,4,6,18,0.8179128813519698
