月份,北美,中美洲与加勒比,南美,东亚,东南亚,南亚,中亚,西欧,东欧,中东与北非,撒哈拉以南非洲,大洋洲
2007-01-01,1,0,4,0,13,68,0,3,0,71,16,0
2007-02-01,3,0,0,0,34,51,0,10,7,94,35,0
2007-03-01,5,0,2,0,30,46,1,4,2,114,24,0
2007-04-01,1,1,2,0,35,76,2,7,3,76,14,0
2007-05-01,1,1,1,0,24,63,0,1,1,56,23,0
2007-06-01,1,0,6,0,72,137,0,15,4,318,35,0
2007-07-01,2,0,1,0,13,95,0,4,5,86,18,0
2007-08-01,1,0,2,0,20,71,0,4,12,51,39,0
2007-09-01,1,1,1,0,19,70,0,5,2,50,16,0
2007-10-01,2,0,7,0,33,60,0,1,2,215,12,0
2007-11-01,0,1,7,0,65,184,1,11,23,189,52,1
2007-12-01,0,0,14,0,7,61,0,7,1,65,18,0
2008-01-01,1,0,6,0,26,117,2,5,9,136,25,0
2008-02-01,6,0,3,1,11,46,1,18,10,47,14,0
2008-03-01,2,0,3,2,18,118,1,4,4,152,17,0
2008-04-01,4,0,9,2,38,159,0,17,18,225,33,2
2008-05-01,2,0,13,1,43,169,4,24,17,178,48,0
2008-06-01,1,0,21,1,50,163,3,11,25,175,57,3
2008-07-01,3,0,13,3,82,213,13,11,29,148,39,0
2008-08-01,5,0,14,11,94,128,6,24,19,126,34,1
2008-09-01,1,0,14,2,40,111,1,16,8,62,14,0
2008-10-01,4,0,20,1,27,127,1,14,18,83,31,0
2008-11-01,2,0,15,0,37,209,2,9,24,101,31,0
2008-12-01,0,0,13,1,48,199,2,10,28,103,37,2
2009-01-01,2,0,14,0,37,164,1,13,8,125,39,0
2009-02-01,0,1,13,1,35,126,3,28,13,95,24,0
2009-03-01,1,0,13,2,66,156,4,30,13,116,11,0
2009-04-01,0,0,16,1,50,187,1,12,9,119,21,0
2009-05-01,3,0,12,1,33,197,7,17,15,105,28,0
2009-06-01,3,0,11,1,55,211,6,13,17,89,25,0
2009-07-01,3,0,14,1,52,203,1,26,22,114,31,0
2009-08-01,1,0,14,0,34,202,4,10,14,100,20,0
2009-09-01,1,0,15,1,70,122,2,4,7,104,17,0
2009-10-01,0,0,13,0,59,167,2,11,16,133,18,1
2009-11-01,1,8,11,0,46,102,0,8,24,112,25,0
2009-12-01,1,0,13,0,24,108,0,10,7,149,24,0
2010-01-01,0,0,7,0,25,149,1,20,14,54,8,0
2010-02-01,3,0,15,0,43,152,0,10,20,141,26,1
2010-03-01,2,0,15,0,49,163,1,9,8,95,26,0
2010-04-01,1,0,5,0,47,154,0,12,18,97,24,0
2010-05-01,5,0,20,0,85,198,0,11,12,101,30,0
2010-06-01,1,0,20,0,34,148,1,9,17,103,43,0
2010-07-01,2,1,7,0,20,168,1,8,35,146,23,0
2010-08-01,1,0,11,1,23,148,0,10,24,170,21,0
2010-09-01,1,0,8,0,53,245,2,5,29,157,28,0
2010-10-01,4,0,7,0,44,129,1,5,22,133,28,0
2010-11-01,3,0,23,0,29,172,2,22,36,145,35,0
2010-12-01,1,0,10,0,21,155,0,12,26,121,39,0
2011-01-01,4,0,13,0,32,160,0,19,23,107,44,0
2011-02-01,1,0,13,0,35,181,1,11,29,76,29,0
2011-03-01,0,0,17,0,35,209,0,12,18,125,31,0
2011-04-01,1,0,15,0,23,195,0,7,18,148,29,0
2011-05-01,1,0,17,0,21,208,2,5,15,154,27,0
2011-06-01,1,0,4,0,33,151,0,7,18,139,47,0
