地区,年份,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率
东亚,2015,28,14.4387929127447,0.5156711754551678,1,28,26,123.0,25,84.0,0.03571428571428571,1.0,0.9285714285714286
东亚,2016,8,4.724864749788829,0.5906080937236037,2,8,8,32.0,8,44.0,0.25,1.0,1.0
东亚,2017,7,5.237581060374133,0.7482258657677333,5,7,7,16.0,7,77.0,0.7142857142857143,1.0,1.0
东南亚,2015,1072,444.9039320807238,0.4150223247021677,207,1068,1056,646.0,1046,1386.0,0.19309701492537312,0.996268656716418,0.9850746268656716
东南亚,2016,1077,453.88810163984726,0.4214374202784097,245,1076,1053,639.0,1048,1220.0,0.22748375116063138,0.9990714948932219,0.9777158774373259
东南亚,2017,1020,442.8895802327094,0.4342054708163818,213,1020,992,811.0,951,1008.0,0.2088235294117647,1.0,0.9725490196078431
东欧,2015,684,285.2491543900149,0.417030927470782,178,682,656,790.0,653,1433.0,0.260233918128655,0.9970760233918129,0.9590643274853801
东欧,2016,134,57.862916736043395,0.4318128114630104,27,134,132,112.0,132,107.0,0.20149253731343283,1.0,0.9850746268656716
东欧,2017,110,57.27157784630791,0.5206507076937082,32,110,109,101.0,109,183.0,0.2909090909090909,1.0,0.990909090909091
中东与北非,2015,6036,3004.966054807663,0.49784063200922185,1639,5977,5678,17854.0,5413,23757.0,0.2715374420145792,0.9902253147779987,0.9406891981444665
中东与北非,2016,6115,2987.9708934180635,0.48862974544857946,1649,6086,5751,19205.0,5611,23433.0,0.269664758789861,0.9952575633687654,0.9404742436631235
中东与北非,2017,3780,1639.2510850390772,0.43366430821139607,821,3763,3541,10819.0,3487,8392.0,0.2171957671957672,0.9955026455026456,0.9367724867724868
中亚,2015,10,3.3385719003347245,0.3338571900334725,2,9,10,13.0,10,12.0,0.2,0.9,1.0
中亚,2016,17,8.044691722552106,0.47321716015012383,5,17,17,21.0,17,25.0,0.29411764705882354,1.0,1.0
中亚,2017,7,3.395943801693003,0.4851348288132861,1,7,7,6.0,7,7.0,0.14285714285714285,1.0,1.0
中美洲与加勒比,2015,1,0.1482407770649046,0.1482407770649046,0,1,1,0.0,1,0.0,0.0,1.0,1.0
中美洲与加勒比,2016,3,1.2874871468126035,0.42916238227086784,0,3,3,9.0,2,0.0,0.0,1.0,1.0
中美洲与加勒比,2017,4,2.094878914598547,0.5237197286496368,0,4,4,4.0,4,1.0,0.0,1.0,1.0
北美,2015,62,30.670727049812953,0.4946891459647251,12,62,62,63.0,62,70.0,0.1935483870967742,1.0,1.0
北美,2016,75,42.54832286344237,0.5673109715125649,13,75,75,73.0,75,173.0,0.17333333333333334,1.0,1.0
北美,2017,97,49.21854782054644,0.5074077094901694,9,97,97,124.0,97,963.0,0.09278350515463918,1.0,1.0
南亚,2015,4585,2016.1871617441846,0.4397354769343914,1065,4569,4427,8300.0,4326,10233.0,0.23227917121046893,0.9965103598691385,0.9655398037077426
南亚,2016,3639,1483.375146342224,0.4076326315862116,763,3635,3509,7803.0,3448,9277.0,0.20967298708436383,0.9989007969222314,0.96427589997252
南亚,2017,3430,1456.4897522076897,0.4246325808185684,732,3423,3314,7664.0,3234,8990.0,0.21341107871720116,0.9979591836734694,0.9661807580174927
南美,2015,176,80.05259393411177,0.4548442837165441,43,173,174,128.0,173,145.0,0.24431818181818182,0.9829545454545454,0.9886363636363636
南美,2016,159,73.02696367478836,0.4592890797156501,41,153,157,87.0,157,179.0,0.2578616352201258,0.9622641509433962,0.9874213836477987
南美,2017,172,79.09359565627634,0.4598464863736996,44,163,170,101.0,168,156.0,0.2558139534883721,0.9476744186046512,0.9883720930232558
大洋洲,2015,14,8.206539548768035,0.5861813963405739,4,14,14,2.0,14,0.0,0.2857142857142857,1.0,1.0
大洋洲,2016,10,6.346193635552864,0.6346193635552864,0,10,10,0.0,10,1.0,0.0,1.0,1.0
大洋洲,2017,12,5.414924174382687,0.45124368119855723,0,12,12,4.0,11,24.0,0.0,1.0,1.0
撒哈拉以南非洲,2015,1964,1006.7839552073324,0.5126191217959941,657,1946,1723,10763.0,1427,6397.0,0.3345213849287169,0.9908350305498982,0.8772912423625254
撒哈拉以南非洲,2016,2077,1064.3701424388335,0.5124555331915424,739,2060,1821,6652.0,1657,4642.0,0.35580163697640826,0.9918151179585941,0.8767453057294174
撒哈拉以南非洲,2017,1970,977.6425349386038,0.49626524616172785,615,1956,1741,6712.0,1575,4617.0,0.31218274111675126,0.9928934010152284,0.883756345177665
西欧,2015,333,162.9532575689,0.4893491218285285,33,332,333,171.0,331,526.0,0.0990990990990991,0.996996996996997,1.0
西欧,2016,273,128.11489897466555,0.46928534422954415,21,273,273,238.0,272,900.0,0.07692307692307693,1.0,1.0
西欧,2017,291,135.93255362093737,0.46712217739153733,27,291,291,83.0,291,509.0,0.09278350515463918,1.0,1.0
