月份,地区,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率
2015-01-01,北美,2.0,0.9126446485708037,0.45632232428540187,1.0,2.0,2.0,1.0,2.0,0.0,0.5,1.0,1.0
2015-01-01,中美洲与加勒比,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-01-01,南美,5.0,2.3379158394173416,0.4675831678834683,0.0,4.0,5.0,4.0,5.0,0.0,0.0,0.8,1.0
2015-01-01,东亚,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-01-01,东南亚,74.0,33.07109559160272,0.44690669718382053,18.0,74.0,74.0,31.0,74.0,91.0,0.24324324324324326,1.0,1.0
2015-01-01,南亚,564.0,251.6140552990338,0.44612421152310955,134.0,562.0,558.0,514.0,553.0,686.0,0.2375886524822695,0.9964539007092199,0.9893617021276596
2015-01-01,中亚,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-01-01,西欧,28.0,13.858356121711525,0.4949412900611259,4.0,28.0,28.0,21.0,28.0,22.0,0.14285714285714285,1.0,1.0
2015-01-01,东欧,143.0,67.61885742144548,0.47285914280731106,55.0,143.0,122.0,227.0,120.0,377.0,0.38461538461538464,1.0,0.8531468531468531
2015-01-01,中东与北非,544.0,275.64043226664666,0.5066919710783946,154.0,537.0,494.0,1467.0,470.0,1903.0,0.28308823529411764,0.9871323529411765,0.9080882352941176
2015-01-01,撒哈拉以南非洲,173.0,100.75147147683363,0.582378447842969,87.0,173.0,154.0,1205.0,101.0,387.0,0.5028901734104047,1.0,0.8901734104046243
2015-01-01,大洋洲,1.0,0.1772031760888701,0.1772031760888701,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2015-02-01,北美,5.0,2.5316725460261935,0.5063345092052387,0.0,5.0,5.0,3.0,5.0,1.0,0.0,1.0,1.0
2015-02-01,中美洲与加勒比,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-02-01,南美,15.0,5.933052348514861,0.3955368232343241,4.0,15.0,14.0,12.0,14.0,10.0,0.26666666666666666,1.0,0.9333333333333333
2015-02-01,东亚,1.0,0.7428502647994792,0.7428502647994792,1.0,1.0,1.0,8.0,1.0,7.0,1.0,1.0,1.0
2015-02-01,东南亚,81.0,37.24190778476948,0.4597766393181417,18.0,81.0,80.0,90.0,80.0,199.0,0.2222222222222222,1.0,0.9876543209876543
2015-02-01,南亚,455.0,206.77597382685445,0.45445268972935043,123.0,455.0,444.0,364.0,440.0,721.0,0.2703296703296703,1.0,0.9758241758241758
2015-02-01,中亚,1.0,0.1561001672029985,0.1561001672029985,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
2015-02-01,西欧,23.0,9.245170243631454,0.4019639236361502,3.0,23.0,23.0,3.0,23.0,9.0,0.13043478260869565,1.0,1.0
2015-02-01,东欧,82.0,39.19147919668965,0.4779448682523128,30.0,82.0,79.0,145.0,77.0,450.0,0.36585365853658536,1.0,0.9634146341463414
2015-02-01,中东与北非,453.0,232.24285653158552,0.5126773874869437,136.0,449.0,429.0,899.0,415.0,1674.0,0.30022075055187636,0.9911699779249448,0.9470198675496688
2015-02-01,撒哈拉以南非洲,179.0,100.94972816257317,0.5639649618020848,78.0,179.0,155.0,1448.0,106.0,463.0,0.43575418994413406,1.0,0.8659217877094972
2015-02-01,大洋洲,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-03-01,北美,2.0,0.9456952499357896,0.4728476249678948,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0
2015-03-01,中美洲与加勒比,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-03-01,南美,9.0,4.538928205930817,0.5043253562145352,1.0,9.0,9.0,8.0,9.0,10.0,0.1111111111111111,1.0,1.0
2015-03-01,东亚,6.0,2.773119395208176,0.4621865658680293,0.0,6.0,5.0,16.0,5.0,24.0,0.0,1.0,0.8333333333333334
2015-03-01,东南亚,88.0,37.075370826028355,0.4213110321139586,18.0,88.0,88.0,43.0,87.0,100.0,0.20454545454545456,1.0,1.0
2015-03-01,南亚,327.0,156.35639741168433,0.47815412052502854,88.0,325.0,320.0,456.0,319.0,709.0,0.2691131498470948,0.9938837920489296,0.9785932721712538
2015-03-01,中亚,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-03-01,西欧,18.0,5.898110231970304,0.3276727906650169,0.0,18.0,18.0,0.0,18.0,5.0,0.0,1.0,1.0
2015-03-01,东欧,103.0,31.728631321995454,0.308044964291218,12.0,101.0,102.0,14.0,102.0,37.0,0.11650485436893204,0.9805825242718447,0.9902912621359223
2015-03-01,中东与北非,468.0,233.53730059718245,0.49901132606235565,139.0,464.0,439.0,1515.0,414.0,2104.0,0.297008547008547,0.9914529914529915,0.938034188034188
2015-03-01,撒哈拉以南非洲,160.0,84.7935703311918,0.5299598145699488,62.0,158.0,139.0,871.0,120.0,366.0,0.3875,0.9875,0.86875
2015-03-01,大洋洲,2.0,1.4389804474232977,0.7194902237116488,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0
2015-04-01,北美,1.0,0.2336521240088347,0.2336521240088347,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2015-04-01,中美洲与加勒比,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-04-01,南美,5.0,3.2185354522037954,0.6437070904407591,3.0,5.0,5.0,16.0,5.0,28.0,0.6,1.0,1.0
2015-04-01,东亚,2.0,0.3884845038325708,0.1942422519162854,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
2015-04-01,东南亚,99.0,33.267488474118046,0.3360352371123035,13.0,99.0,97.0,46.0,97.0,78.0,0.13131313131313133,1.0,0.9797979797979798
2015-04-01,南亚,365.0,165.77913787845512,0.4541894188450825,87.0,364.0,352.0,724.0,350.0,1005.0,0.23835616438356164,0.9972602739726028,0.9643835616438357
2015-04-01,中亚,2.0,0.3401136256794398,0.1700568128397199,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0
2015-04-01,西欧,21.0,9.74682342505575,0.4641344488121786,1.0,21.0,21.0,1.0,21.0,0.0,0.047619047619047616,1.0,1.0
2015-04-01,东欧,81.0,29.1444334643281,0.35980782054726046,16.0,81.0,80.0,20.0,80.0,16.0,0.19753086419753085,1.0,0.9876543209876543
2015-04-01,中东与北非,537.0,261.87640515281134,0.4876655589437828,144.0,533.0,503.0,2002.0,464.0,1629.0,0.2681564245810056,0.9925512104283054,0.9366852886405959
2015-04-01,撒哈拉以南非洲,161.0,74.950971128185,0.46553398216263975,30.0,159.0,138.0,927.0,120.0,449.0,0.18633540372670807,0.9875776397515528,0.8571428571428571
2015-04-01,大洋洲,3.0,2.025529902108922,0.6751766340363073,0.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0
2015-05-01,北美,3.0,1.1804993403779211,0.3934997801259737,1.0,3.0,3.0,3.0,3.0,2.0,0.3333333333333333,1.0,1.0
2015-05-01,中美洲与加勒比,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,
2015-05-01,南美,19.0,8.589030524703205,0.4520542381422739,6.0,19.0,19.0,14.0,19.0,10.0,0.3157894736842105,1.0,1.0
