地区,年份,危害等级,事件数,地区年度占比
东亚,2015,1,1,0.03571428571428571
东亚,2015,2,14,0.5
东亚,2015,3,5,0.17857142857142858
东亚,2015,4,3,0.10714285714285714
东亚,2015,5,5,0.17857142857142858
东亚,2016,1,2,0.25
东亚,2016,2,3,0.375
东亚,2016,3,1,0.125
东亚,2016,4,2,0.25
东亚,2017,1,5,0.7142857142857143
东亚,2017,2,2,0.2857142857142857
东南亚,2015,1,207,0.19309701492537312
东南亚,2015,2,146,0.13619402985074627
东南亚,2015,3,84,0.07835820895522388
东南亚,2015,4,333,0.310634328358209
东南亚,2015,5,302,0.28171641791044777
东南亚,2016,1,245,0.22748375116063138
东南亚,2016,2,120,0.11142061281337047
东南亚,2016,3,74,0.06870937790157845
东南亚,2016,4,359,0.3333333333333333
东南亚,2016,5,279,0.2590529247910863
东南亚,2017,1,213,0.2088235294117647
东南亚,2017,2,173,0.1696078431372549
东南亚,2017,3,66,0.06470588235294118
东南亚,2017,4,311,0.30490196078431375
东南亚,2017,5,257,0.2519607843137255
东欧,2015,1,178,0.260233918128655
东欧,2015,2,42,0.06140350877192982
东欧,2015,3,54,0.07894736842105263
东欧,2015,4,163,0.23830409356725146
东欧,2015,5,247,0.3611111111111111
东欧,2016,1,27,0.20149253731343283
东欧,2016,2,29,0.21641791044776118
东欧,2016,3,10,0.07462686567164178
东欧,2016,4,17,0.12686567164179105
东欧,2016,5,51,0.3805970149253731
东欧,2017,1,32,0.2909090909090909
东欧,2017,2,31,0.2818181818181818
东欧,2017,3,7,0.06363636363636363
东欧,2017,4,17,0.15454545454545454
东欧,2017,5,23,0.20909090909090908
中东与北非,2015,1,1639,0.2715374420145792
中东与北非,2015,2,876,0.14512922465208747
中东与北非,2015,3,1279,0.21189529489728298
中东与北非,2015,4,1230,0.20377733598409542
中东与北非,2015,5,1012,0.16766070245195494
中东与北非,2016,1,1649,0.269664758789861
中东与北非,2016,2,808,0.1321340964840556
中东与北非,2016,3,1199,0.19607522485690923
中东与北非,2016,4,1291,0.21112019623875716
中东与北非,2016,5,1168,0.191005723630417
中东与北非,2017,1,821,0.2171957671957672
中东与北非,2017,2,223,0.058994708994708996
中东与北非,2017,3,857,0.2267195767195767
中东与北非,2017,4,908,0.2402116402116402
中东与北非,2017,5,971,0.2568783068783069
中亚,2015,1,2,0.2
中亚,2015,3,1,0.1
中亚,2015,4,1,0.1
中亚,2015,5,6,0.6
中亚,2016,1,5,0.29411764705882354
中亚,2016,2,2,0.11764705882352941
中亚,2016,3,1,0.058823529411764705
中亚,2016,4,6,0.35294117647058826
中亚,2016,5,3,0.17647058823529413
中亚,2017,1,1,0.14285714285714285
中亚,2017,2,2,0.2857142857142857
中亚,2017,3,1,0.14285714285714285
中亚,2017,4,3,0.42857142857142855
中美洲与加勒比,2015,5,1,1.0
中美洲与加勒比,2016,2,1,0.3333333333333333
中美洲与加勒比,2016,4,1,0.3333333333333333
中美洲与加勒比,2016,5,1,0.3333333333333333
中美洲与加勒比,2017,2,2,0.5
中美洲与加勒比,2017,4,2,0.5
北美,2015,1,12,0.1935483870967742
北美,2015,2,21,0.3387096774193548
北美,2015,3,5,0.08064516129032258
北美,2015,4,8,0.12903225806451613
北美,2015,5,16,0.25806451612903225
北美,2016,1,13,0.17333333333333334
北美,2016,2,39,0.52
北美,2016,3,4,0.05333333333333334
北美,2016,4,6,0.08
北美,2016,5,13,0.17333333333333334
北美,2017,1,9,0.09278350515463918
北美,2017,2,46,0.4742268041237113
北美,2017,3,6,0.061855670103092786
北美,2017,4,15,0.15463917525773196
北美,2017,5,21,0.21649484536082475
