月份,事件数,年份,月序号,日均事件数,相对当年日均水平
2015-01-01,1534,2015,1,49.483870967741936,1.2069236821400473
2015-02-01,1295,2015,2,46.25,1.1280487804878048
2015-03-01,1183,2015,3,38.16129032258065,0.930763178599528
2015-04-01,1277,2015,4,42.56666666666667,1.0382113821138212
2015-05-01,1316,2015,5,42.45161290322581,1.035405192761605
2015-06-01,1168,2015,6,38.93333333333333,0.9495934959349592
2015-07-01,1263,2015,7,40.74193548387097,0.993705743509048
2015-08-01,1290,2015,8,41.61290322580645,1.014948859166011
2015-09-01,1107,2015,9,36.9,0.8999999999999999
2015-10-01,1269,2015,10,40.935483870967744,0.9984264358772621
2015-11-01,1172,2015,11,39.06666666666667,0.9528455284552846
2015-12-01,1091,2015,12,35.193548387096776,0.8583792289535799
2016-01-01,1162,2016,1,37.483870967741936,1.0097222914693125
2016-02-01,1153,2016,2,39.758620689655174,1.070998393494796
2016-03-01,1145,2016,3,36.935483870967744,0.9949501064822399
2016-04-01,1120,2016,4,37.333333333333336,1.005667181865018
2016-05-01,1353,2016,5,43.645161290322584,1.175692134559363
2016-06-01,1156,2016,6,38.53333333333333,1.037992198424965
2016-07-01,1114,2016,7,35.935483870967744,0.968012592682284
2016-08-01,1162,2016,8,37.483870967741936,1.0097222914693125
2016-09-01,1045,2016,9,34.833333333333336,0.9383233973651284
2016-10-01,1140,2016,10,36.774193548387096,0.9906053461919243
2016-11-01,1114,2016,11,37.13333333333333,1.0002796791050268
2016-12-01,923,2016,12,29.774193548387096,0.8020427495922334
2017-01-01,879,2017,1,28.35483870967742,0.9494968925717668
2017-02-01,879,2017,2,31.392857142857142,1.0512287024901703
2017-03-01,961,2017,3,31.0,1.0380733944954128
2017-04-01,865,2017,4,28.833333333333332,0.9655198776758409
2017-05-01,1081,2017,5,34.87096774193548,1.1676975436519679
2017-06-01,1077,2017,6,35.9,1.2021559633027523
2017-07-01,994,2017,7,32.064516129032256,1.0737200355134655
2017-08-01,968,2017,8,31.225806451612904,1.045634803196212
2017-09-01,838,2017,9,27.933333333333334,0.9353822629969419
2017-10-01,805,2017,10,25.967741935483872,0.8695620005918911
2017-11-01,804,2017,11,26.8,0.8974311926605505
2017-12-01,749,2017,12,24.161290322580644,0.8090707309854986
