年份,经度格,纬度格,事件数,累计危害,中心经度,中心纬度
2015,28,75,1,0.7240436094788805,-123.0,42.670233871257594
2015,29,72,2,1.0211709244967273,-121.0,37.669886964329635
2015,30,70,2,0.8718871161706414,-119.0,34.51810784106126
2015,30,73,1,0.6750789710340862,-119.0,39.2964802391875
2015,31,69,1,0.6747862488890367,-117.0,32.98670708247892
2015,31,70,1,0.741416964546348,-117.0,34.51810784106126
2015,31,77,1,0.6635977791581559,-117.0,46.23825730732021
2015,36,69,3,1.7465863455449955,-107.0,32.98670708247892
2015,37,73,2,1.2787786864304274,-105.0,39.2964802391875
2015,39,61,1,0.2200133808223254,-101.0,21.510188266887486
2015,40,58,2,0.807036546867038,-99.0,17.457603123722095
2015,40,60,10,4.571025760415004,-99.0,20.147886287247108
2015,41,57,2,0.4484461366456175,-97.0,16.127620213160753
2015,41,59,2,0.4350895170822646,-97.0,18.797368824406544
2015,41,64,2,0.8403178589408706,-97.0,25.679288619456855
2015,41,69,1,0.2335219981323701,-97.0,32.98670708247892
2015,41,78,1,0.6750789710340862,-97.0,48.11140308495899
2015,42,67,1,0.6747862488890367,-95.0,29.999999999999996
2015,42,68,1,0.1584457439672512,-95.0,31.48143215916898
2015,43,67,1,0.5787874307802177,-93.0,29.999999999999996
2015,43,76,1,0.3814331964793588,-93.0,44.4270040008057
2015,44,67,2,0.9342140580598592,-91.0,29.999999999999996
2015,45,70,1,0.2339882521890557,-89.0,34.51810784106126
2015,45,74,1,0.1260109064469776,-89.0,40.961788552349354
2015,47,70,2,1.2958649601917291,-85.0,34.51810784106126
2015,47,75,1,0.6750789710340862,-85.0,42.670233871257594
2015,48,69,1,0.6747862488890367,-83.0,32.98670708247892
2015,48,71,1,0.6747862488890367,-83.0,36.07819997184263
2015,49,66,1,0.6747862488890367,-81.0,28.540365484875558
2015,49,69,1,0.6747862488890367,-81.0,32.98670708247892
2015,49,70,1,0.6747862488890367,-81.0,34.51810784106126
2015,49,74,1,0.672142457392386,-81.0,40.961788552349354
2015,50,43,1,0.7446271677100924,-79.0,-1.9102131717099302
2015,50,45,1,0.764827094337958,-79.0,0.6366328722676353
2015,50,46,5,3.2230299948091354,-79.0,1.9102131717099364
2015,50,69,1,0.4492231332905605,-79.0,32.98670708247892
2015,50,71,1,0.3915970000004868,-79.0,36.07819997184263
2015,50,76,4,1.78587739988119,-79.0,44.4270040008057
2015,51,35,3,0.5438321175659317,-77.0,-12.18747413542504
2015,51,45,8,5.553620415023904,-77.0,0.6366328722676353
2015,51,46,11,4.307794015759691,-77.0,1.9102131717099364
2015,51,47,10,4.157412510168105,-77.0,3.1847385367204106
2015,51,48,4,1.770593696257088,-77.0,4.460843697873993
2015,51,49,5,1.9842508689970173,-77.0,5.739170477266791
2015,51,73,1,0.6747862488890367,-77.0,39.2964802391875
2015,52,34,2,0.5979841954083864,-75.0,-13.493398821551686
2015,52,36,1,0.3332841213157879,-75.0,-10.887948130120165
2015,52,45,7,4.199093855186898,-75.0,0.6366328722676353
2015,52,46,10,3.8755155157163355,-75.0,1.9102131717099364
2015,52,47,5,1.7997234529708912,-75.0,3.1847385367204106
2015,52,48,7,3.945498476361724,-75.0,4.460843697873993
2015,52,50,10,4.034703238577987,-75.0,7.020370749121086
2015,52,52,1,0.1711268624373388,-75.0,9.594068226860466
2015,52,53,1,0.2463801671019219,-75.0,10.887948130120165
2015,53,34,3,1.2055487666438596,-73.0,-13.493398821551686
2015,53,45,2,0.7625787012957237,-73.0,0.6366328722676353
2015,53,46,1,0.4265197963566842,-73.0,1.9102131717099364
2015,53,47,4,2.8899683252047783,-73.0,3.1847385367204106
2015,53,50,5,2.7384907294542167,-73.0,7.020370749121086
2015,53,51,24,11.46125764760057,-73.0,8.305109528050382
2015,53,52,1,0.3348940000663933,-73.0,9.594068226860466
2015,53,74,2,0.904499652578894,-73.0,40.961788552349354
2015,53,77,1,0.7321833296087682,-73.0,46.23825730732021
2015,54,20,1,0.2142892303413836,-71.0,-32.98670708247892
2015,54,34,1,0.3182521168622397,-71.0,-13.493398821551686
2015,54,50,12,4.101809662863565,-71.0,7.020370749121086
2015,56,52,1,0.2659015924307744,-67.0,9.594068226860466
2015,56,53,1,0.7352773477732811,-67.0,10.887948130120165
2015,58,52,1,0.675473581701875,-63.0,9.594068226860466
2015,59,53,1,0.1482407770649046,-61.0,10.887948130120165
2015,60,19,1,0.2068236787056439,-59.0,-34.51810784106126
2015,61,26,9,4.58615825350584,-57.0,-24.27465219458477
2015,61,27,8,3.7006715481268357,-57.0,-22.885380476158566
2015,62,26,1,0.1402809568019696,-55.0,-24.27465219458477
2015,66,26,1,0.7306252679839866,-47.0,-24.27465219458477
2015,66,27,1,0.2110103608660939,-47.0,-22.885380476158566
2015,67,30,1,0.1914560953307666,-45.0,-18.797368824406544
2015,69,42,1,0.2447123116703122,-41.0,-3.1847385367204106
2015,70,35,1,0.1759692686404266,-39.0,-12.18747413542504
2015,81,54,1,0.405907213747901,-17.0,12.187474135425033
2015,82,55,1,0.2981061688325494,-15.0,13.493398821551693
2015,83,52,2,0.6216986168534995,-13.0,9.594068226860466
2015,84,56,1,0.1541974851721918,-11.0,14.806506911897516
2015,85,54,1,0.665823610311485,-9.0,12.187474135425033
2015,85,80,9,2.4767561992392046,-9.0,52.08179734355447
2015,85,81,1,0.1511991163623757,-9.0,54.2046324563124
2015,86,48,4,1.915193041096377,-7.0,4.460843697873993
2015,86,53,2,1.4642200300104822,-7.0,10.887948130120165
2015,86,54,5,2.3217514343976133,-7.0,12.187474135425033
2015,86,56,2,0.9369470741947934,-7.0,14.806506911897516
2015,86,69,1,0.1207531337370589,-7.0,32.98670708247892
2015,86,80,2,0.872295611434132,-7.0,52.08179734355447
2015,86,81,68,23.978403856507796,-7.0,54.2046324563124
2015,87,53,1,0.5096462775420874,-5.0,10.887948130120165
2015,87,55,3,1.5578498159545153,-5.0,13.493398821551693
2015,87,56,13,5.545468649429718,-5.0,14.806506911897516
2015,87,57,1,0.7418979831229606,-5.0,16.127620213160753
2015,87,59,1,0.4123483322619944,-5.0,18.797368824406544
2015,87,60,2,1.5719081512377295,-5.0,20.147886287247108
2015,87,81,51,19.603765264723442,-5.0,54.2046324563124
2015,87,82,1,0.6623260788130056,-5.0,56.44269023807928
2015,88,55,3,1.531535141352186,-3.0,13.493398821551693
2015,88,56,2,1.224871061772788,-3.0,14.806506911897516
2015,88,57,20,9.087899191584407,-3.0,16.127620213160753
2015,88,58,3,0.7970889954420578,-3.0,17.457603123722095
2015,88,59,1,0.7491812774500858,-3.0,18.797368824406544
2015,88,74,1,0.6527510989413768,-3.0,40.961788552349354
2015,88,80,3,1.9878564028741654,-3.0,52.08179734355447
2015,88,81,1,0.2212030002610786,-3.0,54.2046324563124
2015,88,82,1,0.2533276973713688,-3.0,56.44269023807928
2015,89,54,1,0.8555990190408609,-1.0,12.187474135425033
2015,89,55,1,0.6802295067662473,-1.0,13.493398821551693
2015,89,56,1,0.3189508851488097,-1.0,14.806506911897516
2015,89,57,10,5.119391284670997,-1.0,16.127620213160753
2015,89,58,4,2.6659655117704086,-1.0,17.457603123722095
2015,89,75,1,0.1248248873861873,-1.0,42.670233871257594
2015,89,80,4,1.8163214877770022,-1.0,52.08179734355447
2015,89,81,1,0.660108608124975,-1.0,54.2046324563124
2015,90,56,2,1.0026251895097449,1.0,14.806506911897516
2015,90,57,14,7.875970147317604,1.0,16.127620213160753
2015,90,58,3,1.042275764079681,1.0,17.457603123722095
2015,90,59,17,9.897535601986819,1.0,18.797368824406544
2015,90,60,2,1.6290264411354989,1.0,20.147886287247108
2015,90,71,1,0.79103461748827,1.0,36.07819997184263
2015,90,76,1,0.6623260788130056,1.0,44.4270040008057
2015,90,77,1,0.6623260788130056,1.0,46.23825730732021
2015,90,78,2,1.3919100503231472,1.0,48.11140308495899
2015,91,50,3,1.6076483548989697,3.0,7.020370749121086
2015,91,56,3,1.4272902433165586,3.0,14.806506911897516
2015,91,57,2,0.5201052580431746,3.0,16.127620213160753
2015,91,71,5,2.0290960294756584,3.0,36.07819997184263
2015,91,75,3,1.9988273232447598,3.0,42.670233871257594
2015,91,76,1,0.6837501454903773,3.0,44.4270040008057
2015,91,78,14,8.481655608076771,3.0,48.11140308495899
2015,91,79,3,1.6601813856667385,3.0,50.05549481018511
2015,92,48,2,0.9861781788206785,5.0,4.460843697873993
2015,92,49,5,3.672109028795769,5.0,5.739170477266791
2015,92,50,4,1.737979111934672,5.0,7.020370749121086
2015,92,51,1,0.6611518121384123,5.0,8.305109528050382
2015,92,54,1,0.6358207500774558,5.0,12.187474135425033
2015,92,71,1,0.7262246108904636,5.0,36.07819997184263
2015,92,75,4,1.5345756718253551,5.0,42.670233871257594
2015,92,77,3,2.1018077311837455,5.0,46.23825730732021
2015,92,80,3,1.4000563731870705,5.0,52.08179734355447
2015,93,48,28,12.892861339393088,7.0,4.460843697873993
2015,93,49,11,5.650377645833045,7.0,5.739170477266791
2015,93,50,9,4.6283034065281825,7.0,7.020370749121086
2015,93,51,10,5.8827124366102295,7.0,8.305109528050382
2015,93,52,3,1.4300409607900966,7.0,9.594068226860466
2015,93,53,11,6.668926612691885,7.0,10.887948130120165
2015,93,54,7,4.144670736179922,7.0,12.187474135425033
2015,93,55,1,0.49319123924397,7.0,13.493398821551693
2015,93,70,1,0.4255977287587721,7.0,34.51810784106126
2015,93,71,5,2.337317490819805,7.0,36.07819997184263
2015,93,72,1,0.1598785882609792,7.0,37.669886964329635
2015,93,76,1,0.2606591961807706,7.0,44.4270040008057
2015,93,79,2,0.9716072075048454,7.0,50.05549481018511
2015,93,80,3,1.9809251408390243,7.0,52.08179734355447
2015,94,48,4,1.8528173015473195,9.0,4.460843697873993
2015,94,49,3,1.022620273013291,9.0,5.739170477266791
2015,94,50,28,17.927052977617738,9.0,7.020370749121086
2015,94,51,43,28.892321975947993,9.0,8.305109528050382
2015,94,52,39,19.530909668742666,9.0,9.594068226860466
2015,94,53,2,0.9512090448968995,9.0,10.887948130120165
