eventid,iyear,imonth,iday,地区,country_txt,latitude,longitude,坐标状态,specificity,危害等级,危害得分,数据完整率
201412030034,2015,1,3,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.7626528949999088,0.8
201412220095,2015,1,1,东欧,Bosnia-Herzegovina,45.183961,15.828342,有效,1.0,5,0.2201014180421312,0.8
201501010001,2015,1,1,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.7486966939479912,0.8
201501010002,2015,1,1,西欧,Sweden,59.857979,17.639822,有效,1.0,5,0.1245356838289659,0.8
201501010003,2015,1,1,中东与北非,Libya,32.069286,20.151144,有效,1.0,4,0.2636946555082051,0.0
201501010004,2015,1,1,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.761289338777861,0.8
201501010005,2015,1,1,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,3,0.5255796761704256,0.4
201501010006,2015,1,1,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.7612956328494898,0.8
201501010007,2015,1,1,中东与北非,Iraq,33.057991,44.354839,有效,1.0,1,0.7612904322560471,0.8
201501010008,2015,1,1,中东与北非,Iraq,36.325846,43.145785,有效,4.0,2,0.6924294728562278,0.8
201501010009,2015,1,1,中东与北非,Iraq,33.864799,42.536385,有效,1.0,5,0.1891496480923546,0.6
201501010010,2015,1,1,中东与北非,Turkey,41.106178,28.689863,有效,1.0,5,0.2106296356842004,0.8
201501010011,2015,1,1,南亚,India,9.869925,78.479669,有效,1.0,5,0.2068941580461191,0.8
201501010012,2015,1,1,南亚,Afghanistan,35.029167,69.363056,有效,2.0,2,0.6758166192242265,0.8
201501010013,2015,1,1,南亚,Pakistan,24.891115,67.143311,有效,1.0,2,0.7103619910182467,0.8
201501010014,2015,1,1,东南亚,Indonesia,-4.472451,136.834972,有效,1.0,3,0.3911475633267768,0.8
201501010017,2015,1,1,南亚,Pakistan,29.548279,67.879189,有效,1.0,1,0.7744366291001425,0.6
201501010018,2015,1,1,南亚,Pakistan,30.366281,68.599642,有效,3.0,2,0.6818725509783723,0.8
201501010020,2015,1,1,中东与北非,Iraq,30.383333,47.7,有效,3.0,1,0.7252895941008042,0.8
201501010022,2015,1,1,南亚,Afghanistan,34.417122,70.449593,有效,1.0,1,0.7431310598830567,0.8
201501010024,2015,1,1,中东与北非,West Bank and Gaza Strip,31.784838,35.224613,有效,1.0,2,0.7055399772469357,0.8
201501010025,2015,1,1,东欧,Ukraine,48.721008,39.182846,有效,1.0,4,0.3301708146116258,0.4
201501010026,2015,1,1,东欧,Ukraine,48.694492,38.50779,有效,1.0,4,0.3652396057118158,0.4
201501010027,2015,1,1,东欧,Ukraine,48.312065,38.274979,有效,1.0,4,0.2667853506909722,0.4
201501010028,2015,1,1,东欧,Ukraine,48.635265,38.380325,有效,1.0,4,0.2667853506909722,0.4
201501010030,2015,1,1,东欧,Ukraine,47.313381,37.805458,有效,1.0,4,0.2667853506909722,0.4
201501010031,2015,1,1,东欧,Ukraine,48.346134,38.424828,有效,1.0,5,0.2328952658108277,0.4
201501010032,2015,1,1,东欧,Ukraine,48.372005,37.88657,有效,1.0,5,0.2328952658108277,0.4
201501010033,2015,1,1,东欧,Ukraine,48.251964,38.323397,有效,1.0,5,0.2328952658108277,0.4
201501010034,2015,1,1,东欧,Ukraine,48.694492,38.50779,有效,1.0,5,0.2328952658108277,0.4
201501010035,2015,1,1,东欧,Ukraine,48.25189,38.41282,有效,1.0,5,0.2328952658108277,0.4
201501010036,2015,1,1,东欧,Ukraine,47.981647,37.762325,有效,1.0,5,0.2216076206392542,0.4
201501010037,2015,1,1,东欧,Ukraine,48.325562,38.511093,有效,1.0,5,0.1971984495425226,0.4
201501010038,2015,1,1,撒哈拉以南非洲,Nigeria,10.286653,11.163861,有效,1.0,3,0.5083672099964003,0.4
201501010039,2015,1,1,撒哈拉以南非洲,Cameroon,10.631559,14.658782,有效,4.0,2,0.713267155909144,0.8
201501010067,2015,1,1,东欧,Ukraine,48.325562,38.511093,有效,1.0,1,0.7354217934949291,0.8
201501010068,2015,1,1,南亚,Afghanistan,32.453788,62.031136,有效,1.0,4,0.2787685489607883,0.8
201501010069,2015,1,1,南亚,India,18.832981,80.77664,有效,1.0,4,0.2754981991258302,0.8
201501010070,2015,1,1,中东与北非,Yemen,15.914915,48.650745,有效,1.0,5,0.1927555276001213,0.8
201501010071,2015,1,1,中东与北非,Yemen,15.914915,48.650745,有效,1.0,1,0.7597224780950164,0.8
201501010074,2015,1,1,中东与北非,Yemen,15.470053,45.322776,有效,4.0,1,0.7274144997169867,0.2
201501010075,2015,1,1,中东与北非,Syria,36.201721,37.14352,有效,1.0,1,0.7819726582872663,0.8
201501010076,2015,1,1,撒哈拉以南非洲,Kenya,-1.749689,41.192947,有效,1.0,4,0.3526588370680836,0.4
201501010077,2015,1,1,中东与北非,Yemen,13.129726,45.385571,有效,1.0,2,0.7029250653859183,0.8
201501010080,2015,1,1,南亚,India,24.125443,84.182967,有效,2.0,4,0.3035622143741807,1.0
201501010081,2015,1,1,南亚,Afghanistan,31.997362,63.29867,有效,3.0,3,0.3958024301890191,0.4
201501010082,2015,1,1,南亚,Afghanistan,36.728591,68.868066,有效,4.0,5,0.2121081678749839,0.8
201501010083,2015,1,1,南亚,Afghanistan,37.184444,68.914444,有效,3.0,5,0.2053193122421252,0.8
201501010093,2015,1,1,中东与北非,Yemen,,,缺失,5.0,1,0.7273922835228497,0.6
201501010095,2015,1,1,南亚,Pakistan,28.893738,64.405846,有效,1.0,5,0.1280103947032315,1.0
201501010096,2015,1,1,中东与北非,Syria,36.2065,37.160027,有效,4.0,5,0.1403157134774496,1.0
201501020001,2015,1,2,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.7612925683461825,0.8
