地区,月份,实际事件数,协调预测事件数,误差_实际减预测
全球,2012-01-01,728,390.3112494135619,337.6887505864381
全球,2012-02-01,556,376.0090128394713,179.99098716052868
全球,2012-03-01,655,424.08539438491334,230.91460561508666
全球,2012-04-01,722,460.795041115965,261.204958884035
全球,2012-05-01,843,479.61737595719666,363.38262404280334
全球,2012-06-01,775,499.1926565625627,275.8073434374373
全球,2012-07-01,740,482.09409928424094,257.90590071575906
全球,2012-08-01,812,450.75237955555724,361.24762044444276
全球,2012-09-01,648,432.863334008835,215.136665991165
全球,2012-10-01,777,436.87962657084285,340.12037342915715
全球,2012-11-01,688,580.142117643187,107.85788235681298
全球,2012-12-01,578,449.3422448084933,128.65775519150668
全球,2013-01-01,837,684.280952000893,152.71904799910703
全球,2013-02-01,694,621.7883341675949,72.21166583240506
全球,2013-03-01,798,694.7658844471166,103.2341155528834
全球,2013-04-01,993,742.1794677373217,250.82053226267828
全球,2013-05-01,1106,774.3512551755585,331.64874482444145
全球,2013-06-01,857,750.3716134051361,106.62838659486385
全球,2013-07-01,1169,762.3231575255169,406.6768424744831
全球,2013-08-01,1037,736.5411100268796,300.45888997312045
全球,2013-09-01,955,685.2969015509254,269.70309844907456
全球,2013-10-01,1162,716.0381558877913,445.9618441122087
全球,2013-11-01,1214,767.0412373891849,446.95876261081514
全球,2013-12-01,1213,686.7063887639753,526.2936112360247
全球,2014-01-01,1358,1320.0744526114458,37.92554738855415
全球,2014-02-01,1389,1233.8274118716852,155.17258812831483
全球,2014-03-01,1522,1311.9426692799482,210.05733072005182
全球,2014-04-01,1473,1396.312811048269,76.68718895173106
全球,2014-05-01,1673,1464.959737238323,208.040262761677
全球,2014-06-01,1404,1359.1244877443648,44.87551225563516
全球,2014-07-01,1729,1463.5975385215147,265.4024614784853
全球,2014-08-01,1357,1409.2287312122144,-52.22873121221437
全球,2014-09-01,1289,1371.1720320705222,-82.17203207052216
全球,2014-10-01,1329,1450.7368596493818,-121.73685964938181
全球,2014-11-01,1232,1507.2619336882628,-275.26193368826284
全球,2014-12-01,1148,1412.9610717293058,-264.9610717293058
全球,2015-01-01,1534,1332.8622522602031,201.13774773979685
全球,2015-02-01,1295,1296.0025590918133,-1.002559091813282
全球,2015-03-01,1183,1384.088721327154,-201.08872132715396
全球,2015-04-01,1277,1400.131154565391,-123.13115456539094
全球,2015-05-01,1316,1527.8281585041714,-211.82815850417137
全球,2015-06-01,1168,1341.966024729076,-173.96602472907603
全球,2015-07-01,1263,1507.0767597429742,-244.07675974297422
全球,2015-08-01,1290,1367.7584167590194,-77.75841675901938
全球,2015-09-01,1107,1305.8540702873274,-198.85407028732743
全球,2015-10-01,1269,1375.4936732814622,-106.49367328146218
全球,2015-11-01,1172,1369.04146803505,-197.04146803505
全球,2015-12-01,1091,1293.7608222284096,-202.76082222840955
全球,2016-01-01,1162,1385.3667369166324,-223.36673691663236
全球,2016-02-01,1153,1250.5047488300218,-97.50474883002175
全球,2016-03-01,1145,1226.594389998895,-81.59438999889494
全球,2016-04-01,1120,1289.866626410022,-169.86662641002204
全球,2016-05-01,1353,1396.5604696583052,-43.56046965830524
全球,2016-06-01,1156,1227.6644507723788,-71.66445077237881
全球,2016-07-01,1114,1342.0913976520635,-228.0913976520635
全球,2016-08-01,1162,1302.4381182270392,-140.43811822703924
全球,2016-09-01,1045,1200.2877393985436,-155.28773939854364
全球,2016-10-01,1140,1278.7071995101294,-138.70719951012939
全球,2016-11-01,1114,1248.3204749094682,-134.3204749094682
全球,2016-12-01,923,1169.0963365359864,-246.09633653598644
北美,2012-01-01,9,0.9999999999999999,8.0
北美,2012-02-01,0,1.0,-1.0
北美,2012-03-01,3,1.0,2.0
北美,2012-04-01,3,0.9999999999999999,2.0
北美,2012-05-01,10,1.0,9.0
北美,2012-06-01,4,1.0,3.0
北美,2012-07-01,2,1.0,1.0
北美,2012-08-01,4,0.9999999999999999,3.0
北美,2012-09-01,1,1.0,0.0
北美,2012-10-01,0,1.0,-1.0
北美,2012-11-01,3,1.0,2.0
北美,2012-12-01,0,1.0,-1.0
北美,2013-01-01,3,3.25,-0.25
北美,2013-02-01,3,3.2499999999999996,-0.24999999999999956
北美,2013-03-01,5,3.2499999999999996,1.7500000000000004
北美,2013-04-01,8,3.2500000000000004,4.75
北美,2013-05-01,5,3.2499999999999996,1.7500000000000004
北美,2013-06-01,0,3.25,-3.25
北美,2013-07-01,2,3.2500000000000004,-1.2500000000000004
北美,2013-08-01,2,3.25,-1.25
北美,2013-09-01,1,3.25,-2.25
北美,2013-10-01,2,3.25,-1.25
北美,2013-11-01,1,3.25,-2.25
北美,2013-12-01,0,3.25,-3.25
北美,2014-01-01,1,2.6666666666666665,-1.6666666666666665
北美,2014-02-01,1,2.6666666666666665,-1.6666666666666665
北美,2014-03-01,2,2.6666666666666665,-0.6666666666666665
北美,2014-04-01,5,2.6666666666666665,2.3333333333333335
北美,2014-05-01,4,2.6666666666666665,1.3333333333333335
北美,2014-06-01,6,2.6666666666666665,3.3333333333333335
北美,2014-07-01,0,2.6666666666666665,-2.6666666666666665
北美,2014-08-01,1,2.6666666666666665,-1.6666666666666665
北美,2014-09-01,3,2.6666666666666665,0.3333333333333335
北美,2014-10-01,5,2.6666666666666665,2.3333333333333335
