时间,处理类型,原GPS车速,处理后GPS车速,说明
2017-12-01 20:08:41,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:39:23,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:39:56,新增插值记录,,1.9,相邻速度 1.9 与 1.9 km/h 的线性中点
2017-12-01 20:40:11,新增插值记录,,1.9,相邻速度 1.9 与 1.9 km/h 的线性中点
2017-12-01 20:46:45,新增插值记录,,12.7,相邻速度 18.5 与 6.9 km/h 的线性中点
2017-12-01 20:47:18,新增插值记录,,17.8,相邻速度 17.8 与 17.8 km/h 的线性中点
2017-12-01 20:48:24,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:48:40,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:48:55,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:48:57,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:49:12,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:49:16,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:49:28,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:49:30,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:49:44,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:49:49,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:54:13,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 20:58:00,新增插值记录,,0.0,相邻速度 0 与 0 km/h 的线性中点
2017-12-01 22:11:08,新增插值记录,,4.0,相邻速度 0 与 8 km/h 的线性中点
2017-12-01 23:23:36,车速限幅,88.9,75.656,"连续1秒允许范围 [32.600000, 75.656000] km/h"
2017-12-01 23:32:14,新增插值记录,,30.3,相邻速度 30.5 与 30.1 km/h 的线性中点
2017-12-01 23:33:54,车速限幅,86.4,33.656,"连续1秒允许范围 [0.000000, 33.656000] km/h"
2017-12-01 23:33:55,车速限幅,76.4,47.912,"连续1秒允许范围 [4.856000, 47.912000] km/h"
2017-12-01 23:33:57,车速限幅,55.2,33.656,"连续1秒允许范围 [0.000000, 33.656000] km/h"
