月份,年份,经度(lon),纬度(lat),土壤蒸发量(W/m2),土壤蒸发量(mm),,
01,2022,115.375,44.125,0.41,0.44,,
02,2022,115.375,44.125,0.28,0.27,,
03,2022,115.375,44.125,5.58,5.98,,
01,2021,115.375,44.125,1.05,1.13,,
02,2021,115.375,44.125,1.58,1.53,,
03,2021,115.375,44.125,7.0,7.5,,
04,2021,115.375,44.125,10.75,11.14,,
05,2021,115.375,44.125,15.29,16.38,,
06,2021,115.375,44.125,24.66,25.57,,
07,2021,115.375,44.125,28.82,30.88,,
08,2021,115.375,44.125,17.97,19.25,,
09,2021,115.375,44.125,17.3,17.94,,
10,2021,115.375,44.125,9.78,10.48,,
11,2021,115.375,44.125,1.39,1.44,,
12,2021,115.375,44.125,0.87,0.93,,
01,2020,115.375,44.125,0.33,0.36,,
02,2020,115.375,44.125,0.63,0.63,,
03,2020,115.375,44.125,2.6,2.78,,
04,2020,115.375,44.125,10.51,10.89,,
05,2020,115.375,44.125,19.89,21.31,,
06,2020,115.375,44.125,23.21,24.06,,
07,2020,115.375,44.125,30.21,32.37,,
08,2020,115.375,44.125,23.02,24.66,,
09,2020,115.375,44.125,16.95,17.58,,
10,2020,115.375,44.125,11.19,11.99,,
11,2020,115.375,44.125,2.43,2.52,,
12,2020,115.375,44.125,1.41,1.51,,
01,2019,115.375,44.125,0.74,0.79,,
02,2019,115.375,44.125,0.33,0.32,,
03,2019,115.375,44.125,1.19,1.28,,
04,2019,115.375,44.125,4.82,5.0,,
05,2019,115.375,44.125,21.17,22.68,,
06,2019,115.375,44.125,20.79,21.56,,
07,2019,115.375,44.125,18.9,20.25,,
08,2019,115.375,44.125,14.27,15.29,,
09,2019,115.375,44.125,4.68,4.85,,
10,2019,115.375,44.125,4.71,5.05,,
11,2019,115.375,44.125,2.94,3.05,,
12,2019,115.375,44.125,0.52,0.56,,
01,2018,115.375,44.125,0.42,0.45,,
02,2018,115.375,44.125,0.46,0.45,,
03,2018,115.375,44.125,1.15,1.23,,
04,2018,115.375,44.125,12.3,12.76,,
05,2018,115.375,44.125,11.82,12.66,,
06,2018,115.375,44.125,15.79,16.37,,
07,2018,115.375,44.125,25.76,27.6,,
08,2018,115.375,44.125,14.65,15.7,,
09,2018,115.375,44.125,12.7,13.17,,
10,2018,115.375,44.125,6.09,6.53,,
11,2018,115.375,44.125,1.91,1.98,,
12,2018,115.375,44.125,1.14,1.22,,
01,2017,115.375,44.125,0.62,0.67,,
02,2017,115.375,44.125,1.07,1.04,,
03,2017,115.375,44.125,2.01,2.15,,
04,2017,115.375,44.125,3.95,4.1,,
05,2017,115.375,44.125,7.98,8.55,,
06,2017,115.375,44.125,10.32,10.7,,
07,2017,115.375,44.125,13.61,14.58,,
08,2017,115.375,44.125,11.05,11.84,,
09,2017,115.375,44.125,6.61,6.85,,
10,2017,115.375,44.125,4.08,4.37,,
11,2017,115.375,44.125,1.92,1.99,,
12,2017,115.375,44.125,0.69,0.73,,
01,2016,115.375,44.125,0.59,0.63,,
02,2016,115.375,44.125,0.94,0.95,,
03,2016,115.375,44.125,2.58,2.76,,
04,2016,115.375,44.125,4.31,4.47,,
05,2016,115.375,44.125,22.17,23.75,,
06,2016,115.375,44.125,24.02,24.91,,
07,2016,115.375,44.125,20.58,22.05,,
08,2016,115.375,44.125,6.43,6.89,,
09,2016,115.375,44.125,9.48,9.83,,
10,2016,115.375,44.125,9.15,9.8,,
11,2016,115.375,44.125,5.8,6.01,,
12,2016,115.375,44.125,1.36,1.46,,
01,2015,115.375,44.125,0.43,0.46,,
02,2015,115.375,44.125,0.58,0.56,,
03,2015,115.375,44.125,1.44,1.54,,
04,2015,115.375,44.125,12.19,12.64,,
05,2015,115.375,44.125,14.99,16.06,,
06,2015,115.375,44.125,20.78,21.54,,
07,2015,115.375,44.125,17.54,18.79,,
08,2015,115.375,44.125,10.37,11.11,,
09,2015,115.375,44.125,12.06,12.5,,
10,2015,115.375,44.125,9.49,10.17,,
11,2015,115.375,44.125,1.96,2.03,,
12,2015,115.375,44.125,0.6,0.65,,
01,2014,115.375,44.125,0.63,0.67,,
02,2014,115.375,44.125,0.43,0.42,,
03,2014,115.375,44.125,13.5,14.46,,
04,2014,115.375,44.125,19.41,20.12,,
05,2014,115.375,44.125,23.61,25.29,,
06,2014,115.375,44.125,27.83,28.85,,
07,2014,115.375,44.125,21.6,23.14,,
08,2014,115.375,44.125,10.33,11.07,,
09,2014,115.375,44.125,5.13,5.32,,
10,2014,115.375,44.125,8.21,8.8,,
11,2014,115.375,44.125,3.76,3.9,,
12,2014,115.375,44.125,0.69,0.73,,
01,2013,115.375,44.125,0.37,0.4,,
02,2013,115.375,44.125,0.81,0.78,,
03,2013,115.375,44.125,3.14,3.37,,
04,2013,115.375,44.125,4.81,4.99,,
05,2013,115.375,44.125,11.62,12.45,,
06,2013,115.375,44.125,37.17,38.54,,
07,2013,115.375,44.125,36.64,39.26,,
08,2013,115.375,44.125,20.28,21.73,,
09,2013,115.375,44.125,9.18,9.51,,
10,2013,115.375,44.125,5.5,5.9,,
11,2013,115.375,44.125,1.96,2.03,,
12,2013,115.375,44.125,0.38,0.4,,
01,2012,115.375,44.125,0.57,0.61,,
02,2012,115.375,44.125,0.86,0.86,,
03,2012,115.375,44.125,1.78,1.91,,
04,2012,115.375,44.125,6.94,7.2,,
05,2012,115.375,44.125,16.89,18.1,,
06,2012,115.375,44.125,32.34,33.53,,
07,2012,115.375,44.125,29.38,31.48,,
08,2012,115.375,44.125,13.32,14.27,,
09,2012,115.375,44.125,12.88,13.36,,
10,2012,115.375,44.125,7.59,8.13,,
11,2012,115.375,44.125,0.88,0.92,,
12,2012,115.375,44.125,0.32,0.34,,
