年份,轮次,处理,日期,植物种名,植物群落功能群,放牧小区Block,重复,营养苗,生殖苗,株/丛数,丛幅1,丛幅2,鲜重(g),干重(g),备注：1、本表中放牧小区与附件14中放牧小区同义。,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G6,1,24 ,,15,11,11,59.43,25.41,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G6,1,12 ,,17,,,1.7,0.64,,
2019,牧前,轻牧（3天）,2019.5.10,苔草,PR,G6,1,11 ,,13,,,1.27,0.99,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G6,1,4 ,,16,4,4,2.6,1.25,2、植物群落功能群划分：一二年生草本（AB）、多年生丛草型禾草（PB)、多年生杂草（PF）、多年生根茎型禾草（PR),
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G6,1,4 ,,9,,,0.62,0.3,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G6,1,11 ,,4,,,1.07,0.22,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G6,2,12 ,,10,3,5,12.49,6.13,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G6,2,18 ,,47,,,5.33,1.97,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G6,2,5 ,,2,,,0.36,0.12,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G6,2,4 ,,10,3,2,7.55,4.87,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G6,2,7 ,,45,2,2,21.75,10,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G6,2,12 ,,4,,,0.85,0.28,,
2019,牧前,轻牧（3天）,2019.5.10,乳白花黄芪,PF,G6,2,5 ,,1,,,0.01,0.01,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G6,3,16 ,,11,7,7,16.14,6.89,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G6,3,11 ,,65,2,2,27.86,11.38,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G6,3,7 ,,8,,,1.15,0.27,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G6,3,11 ,,1,,,1.5,0.4,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G6,3,6 ,,8,,,0.89,0.35,,
2019,牧前,轻牧（3天）,2019.5.10,苔草,PR,G6,3,7 ,,21,1,1,3.31,1.67,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G6,3,3 ,,3,5,5,0.21,0.09,,
2019,牧前,轻牧（3天）,2019.5.10,黄花葱,PF,G6,3,17 ,,1,,,0.63,0.11,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G6,4,21 ,,9,4,4,32.69,15.71,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G6,4,15 ,,32,,,4.36,2,,
