序号,磁芯材料,励磁波形分类结果,一致性模型结果,两模型是否一致
1,材料1,2,2,True
2,材料1,2,2,True
3,材料1,2,2,True
4,材料1,2,2,True
5,材料1,2,2,True
6,材料1,3,3,True
7,材料1,3,3,True
8,材料1,3,3,True
9,材料1,3,3,True
10,材料1,3,3,True
11,材料1,1,1,True
12,材料1,1,1,True
13,材料1,1,1,True
14,材料1,1,1,True
15,材料1,1,1,True
16,材料1,2,2,True
17,材料1,2,2,True
18,材料1,2,2,True
19,材料1,2,2,True
20,材料1,2,2,True
21,材料2,2,2,True
22,材料2,2,2,True
23,材料2,2,2,True
24,材料2,2,2,True
25,材料2,2,2,True
26,材料2,1,1,True
27,材料2,1,1,True
28,材料2,1,1,True
29,材料2,1,1,True
30,材料2,1,1,True
31,材料2,3,3,True
32,材料2,3,3,True
33,材料2,3,3,True
34,材料2,3,3,True
35,材料2,3,3,True
36,材料2,2,2,True
37,材料2,2,2,True
38,材料2,2,2,True
39,材料2,2,2,True
40,材料2,2,2,True
41,材料3,3,3,True
42,材料3,2,2,True
43,材料3,3,3,True
44,材料3,3,3,True
45,材料3,3,3,True
46,材料3,1,1,True
47,材料3,1,1,True
48,材料3,1,1,True
49,材料3,1,1,True
50,材料3,1,1,True
51,材料3,2,2,True
52,材料3,2,2,True
53,材料3,2,2,True
54,材料3,2,2,True
55,材料3,2,2,True
56,材料3,2,2,True
57,材料3,2,2,True
58,材料3,2,2,True
59,材料3,2,2,True
60,材料3,2,2,True
61,材料4,2,2,True
62,材料4,2,2,True
63,材料4,2,2,True
64,材料4,2,2,True
65,材料4,2,2,True
66,材料4,2,2,True
67,材料4,2,2,True
68,材料4,2,2,True
69,材料4,2,2,True
70,材料4,2,2,True
71,材料4,2,2,True
72,材料4,3,3,True
73,材料4,3,3,True
74,材料4,2,2,True
75,材料4,2,2,True
76,材料4,1,1,True
77,材料4,1,1,True
78,材料4,1,1,True
79,材料4,1,1,True
80,材料4,1,1,True
