样本编号,温度_oC,频率_Hz,磁通密度峰值B_m_T,实际磁芯损耗_w每m3,传统模型_五折预测,温度修正模型_五折预测,传统模型_相对误差_percent,温度修正模型_相对误差_percent,传统模型_全样本拟合,温度修正模型_全样本拟合
1,25,50030.0,0.028844500000000002,1997.95525,918.7120281416841,1972.989122449374,-54.01738711907165,-1.2495839208924209,928.6310663331485,1964.7906480550043
2,25,50020.0,0.0314245,2427.74983,1160.315446475518,2420.5282933097474,-52.206136227985326,-0.2974580247526094,1150.232539246649,2425.922368965595
3,25,50020.0,0.0355225,3332.72576,1579.7271858510778,3295.516335041611,-52.59954464866986,-1.116486252933959,1563.0458848231794,3281.306172999567
4,25,50020.0,0.0400225,4502.908007,2109.051781279507,4403.2651551832605,-53.1624501766219,-2.2128555960246046,2106.5366445594113,4402.325530765797
5,25,50030.0,0.045059,6063.023248,2859.3198899686654,5890.5946695072225,-52.840030905178125,-2.843937280789029,2834.633577168068,5897.027166860883
6,25,50020.0,0.06338450000000001,14273.85421,6658.130629538434,13651.196932393974,-53.35436013579381,-4.362222483467734,6654.792782163537,13667.373372343256
7,25,50020.0,0.1117535,56401.52952,27575.345360646395,55665.125514654064,-51.10886957264489,-1.3056454525489474,27496.919856530025,55272.23979961132
8,25,50020.0,0.1252335,73651.31728,36637.46922847064,73717.20498561926,-50.25551397921903,0.08945896428270611,36561.4789620995,73176.82332538565
9,25,50020.0,0.157278,125047.8122,64594.99291069778,127780.05629603552,-48.343764057714736,2.1849595350501594,64650.95558939334,128285.39667585569
10,25,50020.0,0.1756025,161776.6059,83785.26605445007,167910.64632264903,-48.20928181282231,3.7916733315821376,85176.54897163041,168309.86292970396
11,25,50020.0,0.24597750000000002,352985.6272,194532.95154562427,385588.219907445,-44.88927124633241,9.236238020811129,197925.51534887578,386142.7737345598
12,25,50030.0,0.271071,441717.9624,252032.84592902524,487951.66877028573,-42.94258613354837,10.466793362688415,252457.57264176419,490692.51292639354
13,25,56320.0,0.0248495,1759.006565,765.9944976731766,1575.1746644872806,-56.45300518402689,-10.450893371891388,773.6847702260609,1586.0741674532414
14,25,56310.0,0.0278465,2364.873224,1016.9245782695328,2107.608269414007,-56.998769830482345,-10.87859391256709,1028.403815243978,2099.2994250260394
15,25,56320.0,0.031203500000000002,3132.233226,1353.2609568506043,2762.20049014153,-56.79565156203971,-11.81370316829881,1367.6048023916276,2779.552475181941
16,25,56320.0,0.0354755,4363.429973,1900.179761464466,3806.089482614807,-56.452154080107064,-12.77299037302995,1885.2826029622663,3813.117517923102
17,25,56320.0,0.0397945,5773.018252,2532.8846141183085,5053.2960633720895,-56.125470186400015,-12.46700005458272,2513.0713917227104,5060.796300942944
18,25,56320.0,0.049410499999999996,9988.187279,4268.780640167208,8583.38115105062,-57.26170804644153,-14.06467548824361,4318.856029977376,8626.264236550947
19,25,56310.0,0.0560445,13463.78092,5898.676976935891,11768.288529627036,-56.18855496843682,-12.592988555349748,5917.387824371716,11763.487121553197
20,25,56310.0,0.070949,23248.3141,10720.968899054895,21142.432136502848,-53.88496192480944,-9.058213659876316,10674.613791838216,21031.944664938284
21,25,56320.0,0.087934,39002.19859,18030.192264855585,35577.821912422616,-53.77134388142301,-8.779958057173165,18267.306516663495,35698.27992588102
22,25,56320.0,0.0979305,50069.23431,23992.780526282742,46431.73372839821,-52.080792013448416,-7.264941498966149,23914.628617512142,46544.18065704147
23,25,56320.0,0.11084949999999999,66762.87637,32858.27175167135,63273.58875784863,-50.78361877404631,-5.226388978230552,32606.361570244935,63163.45489741691
24,25,56310.0,0.138669,113796.1134,57083.41335923341,109283.20606032485,-49.83711512309575,-3.965783368902956,57078.407739135204,109641.90074405896
25,25,56310.0,0.155137,148257.1129,74494.87999064504,144303.89033042267,-49.752913345282714,-2.6664640179819243,75579.11004854304,144564.1671159032
26,25,56320.0,0.174637,198685.0545,101485.13767912342,195019.3122324526,-48.92160462974158,-1.8450015159783486,101665.3194608459,193579.7688373468
27,25,56320.0,0.1941,255933.2678,132373.02813154884,250070.74684507688,-48.278303454089354,-2.2906443563657426,132428.2597123242,251148.04640350645
28,25,56320.0,0.21664450000000002,331623.2171,175659.56786528364,330512.99425303406,-47.03037700393757,-0.3347844148774304,174330.76826200692,329242.3964645393
29,25,56320.0,0.23837150000000001,416358.3168,220562.23381621265,420078.2562498318,-47.02586091917531,0.893446653935518,221420.21674616382,416664.944546614
30,25,56310.0,0.26644900000000005,534557.2986,292208.74119515164,545203.8216132775,-45.336310633033484,1.9916523525468073,292470.3828263966,548080.3764395874
31,25,63010.0,0.022109499999999997,1507.127686,696.810124023503,1370.631478754993,-53.76568750635352,-9.0567115522425,691.8457470923147,1375.208764688639
32,25,63020.0,0.024778,1987.49952,912.6459666224171,1810.393416681535,-54.08069499194561,-8.911001061195984,920.3006196316171,1821.3488301162706
33,25,63020.0,0.0279755,2690.828365,1232.8802485783028,2464.995727563165,-54.18212976291772,-8.392680870109485,1246.826378358118,2456.2524750811226
34,25,63020.0,0.035504,4918.264521,2280.3792282941276,4431.334742260214,-53.634473734436874,-9.900438999583983,2263.3175593776346,4418.680409333314
35,25,63020.0,0.0395095,6538.643558,2978.2270310057033,5741.513841109465,-54.45191338864379,-12.191056292023296,2957.2753342363503,5750.168790199922
36,25,63020.0,0.049987000000000004,11504.91656,5273.511523437316,10223.900625360395,-54.162974621023096,-11.134508694251712,5326.832887448963,10265.707313088009
37,25,63020.0,0.056082999999999994,14827.08294,7080.948197885229,13631.300965250179,-52.2431470401876,-8.064849839909384,7103.897350320249,13630.876009889194
38,25,63020.0,0.06318299999999999,19682.18168,9554.453410420352,18273.95166954799,-51.456329558581984,-7.154847126947214,9572.264683116497,18284.41608568763
39,25,63020.0,0.071044,26015.31362,12696.552663171033,24334.173986841026,-51.19585007266565,-6.462115574369058,12835.906922625669,24409.79582674829
40,25,63020.0,0.0787945,33431.1089,16659.181731032782,31463.492954967976,-50.16862353903917,-5.885583846224207,16631.47494408375,31503.965407919633
41,25,63020.0,0.0882655,43311.21706,22247.02480743869,41713.029035336156,-48.63449628621752,-3.690009501348902,22093.24012080451,41670.32357031619
42,25,63020.0,0.0993115,56888.04649,29879.95583747397,55796.80639061475,-47.47586236288429,-1.9182238918628927,29673.94414704944,55718.994200704285
43,25,63020.0,0.11079900000000001,73132.61212,39291.72629635913,73094.8975442134,-46.273317529138566,-0.051570119941463405,39021.47853005895,72967.81306164378
44,25,63020.0,0.125058,96561.45489,53143.106455619716,97932.30869155478,-44.964472090692084,1.4196697876149638,52825.03713359488,98327.76706080025
45,25,63020.0,0.13987850000000002,124836.8907,69035.33605510082,129417.62878706712,-44.69957104186285,3.6693785477846084,69908.22301275925,129575.37150465947
46,25,63020.0,0.157522,164156.6808,92900.20816877046,173481.76834072647,-43.407598328602134,5.680601907446991,94102.04614825992,173635.8284497984
47,25,63020.0,0.1764085,213181.9924,123291.58886330137,229384.74431898235,-42.16603969440086,7.600431789088752,124921.01916430487,229516.13547673376
48,25,63020.0,0.196325,272698.8683,161081.74932135738,298648.4388671178,-40.93053985682514,9.515833611223618,163253.1129142297,298730.5940205998
49,25,63020.0,0.21769,345321.4402,212840.29266419937,386811.74399288493,-38.36458792106029,12.014980526217823,211398.2656893842,385319.0849374272
50,25,63030.0,0.245174,450682.3276,286643.0027613915,518777.10738046933,-36.397993618289924,15.109263356983982,284706.4589782685,516581.8082394931
