温度_oC,励磁波形,磁芯材料,中心化对数频率,中心化对数磁通密度峰值,调整预测损耗_w每m3,原始平均损耗_w每m3,原始中位损耗_w每m3,样本数,调整损耗排名
90,正弦波,材料1,0.0,0.0,21063.19851726516,83048.33998228655,18547.17624,275,1
70,正弦波,材料1,0.0,0.0,23843.477911593047,88388.41725469434,15162.63384,265,2
90,梯形波,材料1,0.0,0.0,25911.68698356868,162811.75633828877,35452.699114999996,232,3
90,正弦波,材料2,0.0,0.0,27119.478240646906,75470.76073385192,18064.28,235,4
70,梯形波,材料1,0.0,0.0,28346.367935101338,169289.49858438395,43883.33183,237,5
70,正弦波,材料2,0.0,0.0,29635.16898337259,80530.46306691802,19013.9,261,6
50,正弦波,材料1,0.0,0.0,30215.158196703364,101899.67711855665,18927.64359,256,7
90,梯形波,材料2,0.0,0.0,31517.890333671887,257622.88875771366,68573.53824,227,8
90,正弦波,材料3,0.0,0.0,32381.900106895166,97629.32757754851,24286.87445,235,9
90,正弦波,材料4,0.0,0.0,33197.01721214107,37860.12654050324,13431.454450000001,216,10
70,梯形波,材料2,0.0,0.0,33284.318314448195,249337.24083648497,64692.62638,233,11
50,梯形波,材料1,0.0,0.0,33957.05199151489,197642.72383007756,48268.40457499999,232,12
70,正弦波,材料3,0.0,0.0,33982.47972217337,74524.82807953733,15132.4619,217,13
70,正弦波,材料4,0.0,0.0,36881.3967800326,40432.67082363892,11050.4242,221,14
90,梯形波,材料3,0.0,0.0,36969.47116159811,294517.4559846237,68506.69146,279,15
70,梯形波,材料3,0.0,0.0,37493.192728889815,323474.82364322385,93961.70868,277,16
50,正弦波,材料2,0.0,0.0,39067.74088310394,104904.66632831734,28985.849524999998,248,17
90,三角波,材料2,0.0,0.0,40763.151621048026,307709.7506975278,88471.88394,252,18
90,梯形波,材料4,0.0,0.0,41366.24454388688,102800.547433107,18851.26972,157,19
50,梯形波,材料2,0.0,0.0,41478.9589964465,307549.7380856786,70665.565445,224,20
70,三角波,材料2,0.0,0.0,41865.327530095194,293533.75453597226,89229.168525,252,21
50,正弦波,材料3,0.0,0.0,43292.80864189912,103356.24723187007,31112.375679999997,264,22
70,梯形波,材料4,0.0,0.0,44413.07469814838,118329.18898064838,22728.533015,124,23
25,正弦波,材料1,0.0,0.0,45014.81941565779,133503.3573683321,36731.5784,271,24
50,梯形波,材料3,0.0,0.0,45153.395098702575,353424.0475729928,104661.2505,279,25
70,三角波,材料3,0.0,0.0,45403.33003473391,305269.92635750386,82300.497435,260,26
25,梯形波,材料1,0.0,0.0,45704.92887680336,253270.3002409,64906.708289999995,220,27
90,三角波,材料3,0.0,0.0,46033.53307181969,288299.5198406085,59794.0982,281,28
50,正弦波,材料4,0.0,0.0,46208.52105187393,46663.65082814026,14287.58212,231,29
90,三角波,材料1,0.0,0.0,47498.0653441238,201774.54717572674,50535.03255,344,30
50,三角波,材料2,0.0,0.0,48459.747297690206,328612.6627373961,99023.86313,255,31
70,三角波,材料1,0.0,0.0,50533.7891720549,197093.49184600878,59563.27602,341,32
50,三角波,材料3,0.0,0.0,50788.35695681196,336952.4822085814,98276.801025,258,33
50,梯形波,材料4,0.0,0.0,52602.070564465124,144309.80837711407,36858.6067,121,34
25,梯形波,材料2,0.0,0.0,54294.61630078978,355257.73691867135,111194.4795,216,35
50,三角波,材料1,0.0,0.0,56228.03339149812,234925.95808193277,66918.03918,357,36
25,正弦波,材料2,0.0,0.0,56603.69739841815,111256.32090298299,33052.48256,353,37
25,三角波,材料2,0.0,0.0,56796.59967723782,415553.84047096316,129175.8165,244,38
25,梯形波,材料3,0.0,0.0,61291.340494014294,419505.9936792202,132959.3702,277,39
90,三角波,材料4,0.0,0.0,61681.96592247902,134766.13538756967,38826.04699,323,40
25,三角波,材料3,0.0,0.0,61728.41750490661,387235.4595542724,106831.4018,279,41
70,三角波,材料4,0.0,0.0,64406.12410165367,142064.0964705468,38303.313015,342,42
25,正弦波,材料3,0.0,0.0,65046.218396007345,128955.30603209183,38899.84406,294,43
25,正弦波,材料4,0.0,0.0,66000.572580919,48728.83380908066,18722.192955,212,44
25,三角波,材料1,0.0,0.0,67763.87345777906,278741.21750804054,74491.23363,370,45
25,梯形波,材料4,0.0,0.0,67878.2898609386,229097.5557887143,84353.46108,63,46
50,三角波,材料4,0.0,0.0,70852.90058034251,130724.67934186377,30115.50083,345,47
25,三角波,材料4,0.0,0.0,81864.94181996654,153636.2660256562,35538.029,445,48
