因素对,因素A水平,因素B水平,调整预测损耗_w每m3
温度×励磁波形,25,三角波,67038.45811497251
温度×励磁波形,25,梯形波,57292.29388313651
温度×励磁波形,25,正弦波,58166.326947750575
温度×励磁波形,50,三角波,56582.2595565857
温度×励磁波形,50,梯形波,43297.86916278227
温度×励磁波形,50,正弦波,39696.05719339509
温度×励磁波形,70,三角波,50552.14270963442
温度×励磁波形,70,梯形波,35884.23841914693
温度×励磁波形,70,正弦波,31085.630849292902
温度×励磁波形,90,三角波,48994.178989867636
温度×励磁波形,90,梯形波,33941.32325568139
温度×励磁波形,90,正弦波,28440.398519237075
温度×磁芯材料,25,材料1,52827.873916746736
温度×磁芯材料,25,材料2,55898.304458815255
温度×磁芯材料,25,材料3,62688.658798309414
温度×磁芯材料,25,材料4,71914.60142060804
温度×磁芯材料,50,材料1,40133.41452657212
温度×磁芯材料,50,材料2,43002.14905908022
温度×磁芯材料,50,材料3,46411.52023247122
温度×磁芯材料,50,材料4,56554.49739889385
温度×磁芯材料,70,材料1,34241.211672916426
温度×磁芯材料,70,材料2,34928.271609305324
温度×磁芯材料,70,材料3,38959.6674952657
温度×磁芯材料,70,材料4,48566.865193278216
温度×磁芯材料,90,材料1,31490.98361498588
温度×磁芯材料,90,材料2,33133.50673178894
温度×磁芯材料,90,材料3,38461.63478010432
温度×磁芯材料,90,材料4,45415.07589283566
励磁波形×磁芯材料,三角波,材料1,55505.94034136397
励磁波形×磁芯材料,三角波,材料2,46971.20653151781
励磁波形×磁芯材料,三角波,材料3,50988.409392068046
励磁波形×磁芯材料,三角波,材料4,69701.48310611043
励磁波形×磁芯材料,梯形波,材料1,33480.00894674707
励磁波形×磁芯材料,梯形波,材料2,40143.94598633909
励磁波形×磁芯材料,梯形波,材料3,45226.8498708012
励磁波形×磁芯材料,梯形波,材料4,51564.91991685975
励磁波形×磁芯材料,正弦波,材料1,30034.16351030484
励磁波形×磁芯材料,正弦波,材料2,38106.5213763854
励磁波形×磁芯材料,正弦波,材料3,43675.85171674375
励磁波形×磁芯材料,正弦波,材料4,45571.876906241654
