样本编号,实际磁芯损耗_w每m3,两两交互模型_五折预测,相对误差_percent,对数残差
1,1997.95525,1209.6945014971877,-39.45337356794214,0.501756432948949
2,2427.74983,1538.6656158705016,-36.62173932185997,0.4560492748576346
3,3332.72576,2129.259734035925,-36.11056272341097,0.4480161391041433
4,4502.908007,2880.5253865113173,-36.029663896455496,0.44675070845911513
5,6063.023248,3936.948365247403,-35.06624988538387,0.4318026648654474
6,14273.85421,9741.988859896546,-31.74941598414612,0.3819841949507854
7,56401.52952,43725.88573451806,-22.4739362449154,0.2545559996499289
8,73651.31728,59246.25236706801,-19.558462013881297,0.21763950159811074
9,125047.8122,108164.46087908847,-13.50151675897256,0.1450433069898036
10,161776.6059,144865.86440290272,-10.453143953057353,0.11040816645119911
11,352985.6272,360322.55835489265,2.078535382047041,-0.02057228575905512
12,441717.9624,458855.56325766136,3.879760914531769,-0.038063899249435096
13,1759.006565,1019.427970296488,-42.045243572101846,0.54550754143599
14,2364.873224,1373.4367004163191,-41.92345338101223,0.5434082762787762
15,3132.233226,1902.3025532715285,-39.266893107418674,0.49868121827997225
16,4363.429973,2633.6329997154735,-39.64305566923617,0.5048941774460305
17,5773.018252,3507.0572141585412,-39.25088989726372,0.49841775238935426
18,9988.187279,6182.081729740461,-38.10606912889803,0.4797480584210998
19,13463.78092,8813.632077242268,-34.5382093662122,0.4237035626636487
20,23248.3141,16341.347801677508,-29.709536221047923,0.3525340467433402
21,39002.19859,28423.034566372648,-27.124532477868584,0.31641812593998253
22,50069.23431,37275.55348163528,-25.551980182388213,0.2950690246918217
23,66762.87637,51600.82160890186,-22.71030786191715,0.2576095880822802
24,113796.1134,94492.81949351613,-16.963052014467017,0.1858845207920261
25,148257.1129,124640.48128953826,-15.929509990115113,0.17351457226402367
26,198685.0545,171585.30201568487,-13.639552583616767,0.14664039952601193
27,255933.2678,223929.30420463716,-12.504807940940474,0.13358634203067687
28,331623.2171,301845.89125566825,-8.979264511312095,0.0940828429149061
29,416358.3168,383776.8307907276,-7.825347710040603,0.08148501415642606
30,534557.2986,513765.67327610496,-3.889503590793366,0.03967165215524382
31,1507.127686,948.2693232707943,-37.08102292330962,0.4633223654525729
32,1987.49952,1289.0532553293433,-35.141958910795445,0.43296928770493714
33,2690.828365,1722.3270780687028,-35.99268164141331,0.4461727598128915
34,4918.264521,3239.702152315857,-34.12916002213829,0.417474331361813
35,6538.643558,4319.973832674031,-33.931651200216244,0.41448039193736363
36,11504.91656,7763.505882152216,-32.52010267380665,0.39334044985574046
37,14827.08294,10468.004103694502,-29.399436517251303,0.34813206017869724
38,19682.18168,14587.926687211677,-25.88257275343027,0.29951949582406456
39,26015.31362,19344.41842791665,-25.642186327344184,0.29628142549479897
40,33431.1089,25854.517069293102,-22.66329798802126,0.25700154343889814
41,43311.21706,33911.72182777877,-21.702219125359377,0.24465092471299954
42,56888.04649,46047.922857303296,-19.05518698836358,0.21140258436416914
43,73132.61212,61293.126298397794,-16.189064602499542,0.17660669301007026
44,96561.45489,83919.06209109235,-13.092587319970992,0.14032685608853512
45,124836.8907,114469.2305371114,-8.304965066619204,0.08670195286569538
46,164156.6808,152463.0291721155,-7.123469828274274,0.07389920748184231
47,213181.9924,208875.61156523952,-2.020049060560551,0.020407310497940756
48,272698.8683,271097.9159454953,-0.5870770071342716,0.005888070787539945
49,345321.4402,352989.4952771538,2.2205557444428212,-0.02196260408587314
50,450682.3276,482908.77035383356,7.150589401951411,-0.06906503663453023
51,568872.0099,639716.0576283991,12.453424759086424,-0.11736894779238227
52,2225.097322,1562.660443136261,-29.77114179744355,0.3534108739223214
53,3024.184603,2155.7133831380634,-28.717533281546725,0.3385197973854064
54,4089.657062,2913.071571534093,-28.769783691606442,0.3392530712427382
55,5561.224672,3839.5370450260793,-30.958785672558438,0.37046655061554823
56,7428.611375,5254.793706930354,-29.262772789344442,0.3461981998880006
57,9781.334899,7049.350315142769,-27.930590375108576,0.32754050877543506
58,13030.14014,9680.64701549825,-25.70573369521526,0.2971364067604725
59,17428.60715,13178.025524934745,-24.38853310813914,0.27956223584085116
60,38034.45168,30600.37384782586,-19.545642184407424,0.21748014601682542
61,64866.78904,55280.845967028465,-14.777890527401292,0.15990928496524504
62,84929.72944,76335.77148239106,-10.118904197946696,0.10668254691113255
63,109923.077,99319.34241115142,-9.646504517744338,0.10144048146075058
64,144795.5963,135366.20551964323,-6.5122082586131596,0.06733932782923979
65,398991.6659,423733.5382849366,6.2011000478234815,-0.060164281031859446
66,677349.1971,764710.3692200741,12.897508773037883,-0.12131021914052731
67,1351.668508,1070.687399928848,-20.787723203443313,0.2330388891229953
68,2547.825849,1985.0937403629043,-22.086757179968288,0.24957424986960675
69,3427.227242,2739.284365459713,-20.07287022318454,0.22405484420528143
70,4655.897506,3525.0375385849993,-24.28876421694582,0.2782436114191871
71,6205.058112,4836.759760968305,-22.051338220113266,0.24911975830471
72,8367.055189,6416.239984921561,-23.315433686192694,0.26546971932538277
73,11089.48772,8607.665783350303,-22.37995116919338,0.25334443094669545
74,14658.56285,11512.19491085672,-21.46436844689232,0.24161775904837235
75,19233.50271,15899.954922351604,-17.331984911490917,0.19033741706970453
76,32688.69228,27949.94366446084,-14.496598930751597,0.15661403224882342
77,55945.83678,49013.26979104402,-12.3915690388499,0.1322929488281428
78,74362.24612,66760.92369541898,-10.22201832407616,0.10783043366307865
79,128576.4162,123578.18929545785,-3.8873590136214697,0.03964933874176957
80,166639.6736,160924.60300120484,-3.4295978114512855,0.03489788728200871
81,218449.8965,214885.4743090179,-1.631688660920053,0.016451473032645936
82,273541.545,275767.54307283624,0.813769649811789,-0.008104763988512786
83,360199.2721,377516.0606755793,4.807557903884863,-0.04695570070199828
84,461810.5667,502863.0506196478,8.889463966361806,-0.08516308965009323
85,613904.3362,689703.4299694836,12.347053001559107,-0.11642258178350318
86,1129.391913,1013.3654524765167,-10.273356767296354,0.10840243502121716
87,1532.851361,1370.1520621250731,-10.614160186333086,0.11220790769986522
88,2119.668152,1870.1564184181962,-11.771263975749163,0.12523747077474123
89,5166.874084,4313.279657282731,-16.52051923155147,0.18056932363014866
90,7061.093869,5848.390852251673,-17.174435565463902,0.18843342304073296
91,9430.12443,7921.307346544072,-15.999970039164454,0.17435303046822703
92,12766.46246,10636.500085651563,-16.68404525546568,0.18253012160767135
93,21893.48022,18913.17575304137,-13.612748804715299,0.14633007667561237
94,28291.14184,24695.808521895928,-12.70833584037509,0.13591521270008755
95,49708.07326,44754.98278787417,-9.964358196340655,0.10496457401240633
96,65196.27638,59788.4264188011,-8.294722124433854,0.08659025248700836
97,85243.35886,79553.81197885217,-6.674475240343456,0.06907653827631322
98,112150.6467,106546.89743261591,-4.996626798215413,0.051257787630717644
99,147631.7533,144688.26883515716,-1.99380173915665,0.02013946175793535
100,193355.8322,193876.3786021735,0.26921680936681625,-0.0026885507001139786
101,245886.8962,251388.13810331293,2.237305846033507,-0.022126453022741188
102,321281.5746,328664.3791052114,2.297923407031079,-0.02271918771195658
103,415631.7819,436019.9485172169,4.905343504776118,-0.04788826715185479
104,542772.7158,590750.7606659807,8.839435636565714,-0.08470354265593727
