样本编号,温度_oC,频率_Hz,磁芯损耗_w每m3,励磁波形,磁芯材料,磁通密度峰值B_m_T
1,25,50030.0,1997.95525,正弦波,材料1,0.028844394
2,25,50020.0,2427.74983,正弦波,材料1,0.031423238
3,25,50020.0,3332.72576,正弦波,材料1,0.0355236345
4,25,50020.0,4502.908007,正弦波,材料1,0.0400203025
5,25,50030.0,6063.023248,正弦波,材料1,0.0450563825
6,25,50020.0,14273.85421,正弦波,材料1,0.063383048
7,25,50020.0,56401.52952,正弦波,材料1,0.1117555585
8,25,50020.0,73651.31728,正弦波,材料1,0.12523340649999998
9,25,50020.0,125047.8122,正弦波,材料1,0.1572761085
10,25,50020.0,161776.6059,正弦波,材料1,0.1756022325
11,25,50020.0,352985.6272,正弦波,材料1,0.245980046
12,25,50030.0,441717.9624,正弦波,材料1,0.2710715185
13,25,56320.0,1759.006565,正弦波,材料1,0.024847051000000002
14,25,56310.0,2364.873224,正弦波,材料1,0.027844137
15,25,56320.0,3132.233226,正弦波,材料1,0.0312015205
16,25,56320.0,4363.429973,正弦波,材料1,0.0354729705
17,25,56320.0,5773.018252,正弦波,材料1,0.0397930445
18,25,56320.0,9988.187279,正弦波,材料1,0.049408238
19,25,56310.0,13463.78092,正弦波,材料1,0.056044354000000005
20,25,56310.0,23248.3141,正弦波,材料1,0.07094689
21,25,56320.0,39002.19859,正弦波,材料1,0.0879342835
22,25,56320.0,50069.23431,正弦波,材料1,0.09793172950000001
23,25,56320.0,66762.87637,正弦波,材料1,0.11085025949999999
24,25,56310.0,113796.1134,正弦波,材料1,0.138671702
25,25,56310.0,148257.1129,正弦波,材料1,0.155136467
26,25,56320.0,198685.0545,正弦波,材料1,0.174635794
27,25,56320.0,255933.2678,正弦波,材料1,0.19410156
28,25,56320.0,331623.2171,正弦波,材料1,0.21664436650000002
29,25,56320.0,416358.3168,正弦波,材料1,0.2383736835
30,25,56310.0,534557.2986,正弦波,材料1,0.266448117
31,25,63010.0,1507.127686,正弦波,材料1,0.022109243
32,25,63020.0,1987.49952,正弦波,材料1,0.0247796775
33,25,63020.0,2690.828365,正弦波,材料1,0.027974751
34,25,63020.0,4918.264521,正弦波,材料1,0.035501703999999995
35,25,63020.0,6538.643558,正弦波,材料1,0.039510366000000005
36,25,63020.0,11504.91656,正弦波,材料1,0.049988672
37,25,63020.0,14827.08294,正弦波,材料1,0.056085237499999996
38,25,63020.0,19682.18168,正弦波,材料1,0.0631830195
39,25,63020.0,26015.31362,正弦波,材料1,0.071045913
40,25,63020.0,33431.1089,正弦波,材料1,0.0787921845
41,25,63020.0,43311.21706,正弦波,材料1,0.08826564749999999
42,25,63020.0,56888.04649,正弦波,材料1,0.099308841
43,25,63020.0,73132.61212,正弦波,材料1,0.110799353
44,25,63020.0,96561.45489,正弦波,材料1,0.1250592855
45,25,63020.0,124836.8907,正弦波,材料1,0.13987997000000002
46,25,63020.0,164156.6808,正弦波,材料1,0.15752395149999998
47,25,63020.0,213181.9924,正弦波,材料1,0.176409011
48,25,63020.0,272698.8683,正弦波,材料1,0.196323624
49,25,63020.0,345321.4402,正弦波,材料1,0.2176908065
50,25,63030.0,450682.3276,正弦波,材料1,0.2451738675
51,25,63030.0,568872.0099,正弦波,材料1,0.2716515845
52,25,70840.0,2225.097322,正弦波,材料1,0.0247207635
53,25,70840.0,3024.184603,正弦波,材料1,0.028021543500000003
54,25,70840.0,4089.657062,正弦波,材料1,0.0315271295
55,25,70840.0,5561.224672,正弦波,材料1,0.035104791499999996
56,25,70840.0,7428.611375,正弦波,材料1,0.039446401500000006
57,25,70840.0,9781.334899,正弦波,材料1,0.044232072
58,25,70830.0,13030.14014,正弦波,材料1,0.0498639255
59,25,70840.0,17428.60715,正弦波,材料1,0.056230097500000006
60,25,70840.0,38034.45168,正弦波,材料1,0.0787509475
61,25,70840.0,64866.78904,正弦波,材料1,0.099234443
62,25,70840.0,84929.72944,正弦波,材料1,0.11153375500000001
63,25,70840.0,109923.077,正弦波,材料1,0.12467812149999999
64,25,70840.0,144795.5963,正弦波,材料1,0.14048423850000002
65,25,70840.0,398991.6659,正弦波,材料1,0.218316009
66,25,70840.0,677349.1971,正弦波,材料1,0.27563801050000003
67,25,79470.0,1351.668508,正弦波,材料1,0.019551719500000002
68,25,79460.0,2547.825849,正弦波,材料1,0.0249306015
69,25,79460.0,3427.227242,正弦波,材料1,0.028132811
70,25,79470.0,4655.897506,正弦波,材料1,0.0312507965
71,25,79460.0,6205.058112,正弦波,材料1,0.0350564605
72,25,79460.0,8367.055189,正弦波,材料1,0.039542682999999995
73,25,79470.0,11089.48772,正弦波,材料1,0.044416859
74,25,79470.0,14658.56285,正弦波,材料1,0.0498052
75,25,79470.0,19233.50271,正弦波,材料1,0.056242186
76,25,79460.0,32688.69228,正弦波,材料1,0.0699736255
77,25,79460.0,55945.83678,正弦波,材料1,0.08806048899999999
78,25,79460.0,74362.24612,正弦波,材料1,0.09945552099999999
79,25,79460.0,128576.4162,正弦波,材料1,0.12568719849999999
80,25,79460.0,166639.6736,正弦波,材料1,0.14063381749999998
81,25,79470.0,218449.8965,正弦波,材料1,0.1575832555
82,25,79460.0,273541.545,正弦波,材料1,0.1737466715
83,25,79460.0,360199.2721,正弦波,材料1,0.195883865
84,25,79460.0,461810.5667,正弦波,材料1,0.21849551150000002
85,25,79460.0,613904.3362,正弦波,材料1,0.24746028850000001
86,25,89080.0,1129.391913,正弦波,材料1,0.0174854175
87,25,89080.0,1532.851361,正弦波,材料1,0.019720906
88,25,89080.0,2119.668152,正弦波,材料1,0.022185117999999997
89,25,89090.0,5166.874084,正弦波,材料1,0.0311189425
90,25,89080.0,7061.093869,正弦波,材料1,0.0351156995
91,25,89080.0,9430.12443,正弦波,材料1,0.0394200725
92,25,89080.0,12766.46246,正弦波,材料1,0.0445558805
93,25,89090.0,21893.48022,正弦波,材料1,0.055524410999999996
94,25,89080.0,28291.14184,正弦波,材料1,0.062305866
95,25,89090.0,49708.07326,正弦波,材料1,0.0789289465
96,25,89080.0,65196.27638,正弦波,材料1,0.08857377250000001
97,25,89080.0,85243.35886,正弦波,材料1,0.09925759
98,25,89090.0,112150.6467,正弦波,材料1,0.1114912375
99,25,89080.0,147631.7533,正弦波,材料1,0.125352897
100,25,89090.0,193355.8322,正弦波,材料1,0.1402714895
101,25,89080.0,245886.8962,正弦波,材料1,0.1555689885
102,25,89090.0,321281.5746,正弦波,材料1,0.17470185700000002
103,25,89090.0,415631.7819,正弦波,材料1,0.1952358525
104,25,89090.0,542772.7158,正弦波,材料1,0.219488703
105,25,89080.0,711545.3171,正弦波,材料1,0.247224368
106,25,89090.0,896343.4213,正弦波,材料1,0.27154540299999996
107,25,99950.0,1299.233133,正弦波,材料1,0.017502333000000002
108,25,99950.0,1755.831126,正弦波,材料1,0.0197247485
109,25,99950.0,2390.408185,正弦波,材料1,0.022224283
110,25,99950.0,3242.978165,正弦波,材料1,0.0247029495
111,25,99960.0,5892.742949,正弦波,材料1,0.0312536615
112,25,99950.0,7874.71143,正弦波,材料1,0.0349985965
113,25,99950.0,10735.42591,正弦波,材料1,0.039503328000000004
114,25,99950.0,14477.24774,正弦波,材料1,0.0445624025
115,25,99950.0,18907.91771,正弦波,材料1,0.049517116
116,25,99950.0,42837.66482,正弦波,材料1,0.07012062299999999
117,25,99950.0,74230.01899,正弦波,材料1,0.08818013599999999
118,25,99950.0,99316.153,正弦波,材料1,0.0997217975
119,25,99950.0,281919.8367,正弦波,材料1,0.154722392
120,25,99950.0,371891.5855,正弦波,材料1,0.1742349495
121,25,99950.0,486551.2281,正弦波,材料1,0.19553039700000002
122,25,99950.0,642255.3272,正弦波,材料1,0.2209737635
123,25,99950.0,808495.9048,正弦波,材料1,0.2424289075
124,25,99950.0,1026883.575,正弦波,材料1,0.269807837
125,25,112170.0,1114.703914,正弦波,材料1,0.0159862825
126,25,112160.0,1964.803519,正弦波,材料1,0.019764219
127,25,112160.0,3628.229323,正弦波,材料1,0.024637775
128,25,112160.0,4949.221631,正弦波,材料1,0.027823195000000002
129,25,112160.0,6603.373697,正弦波,材料1,0.031160381
130,25,112170.0,9111.892514,正弦波,材料1,0.035213722
131,25,112160.0,21305.04772,正弦波,材料1,0.049445893000000005
132,25,112160.0,28708.38837,正弦波,材料1,0.055753354500000005
133,25,112160.0,36731.5784,正弦波,材料1,0.0621540015
134,25,112160.0,49122.63239,正弦波,材料1,0.0700271965
135,25,112160.0,64903.79723,正弦波,材料1,0.07853979050000001
136,25,112160.0,114103.3322,正弦波,材料1,0.099347042
137,25,112160.0,194634.2954,正弦波,材料1,0.12369484250000001
138,25,112160.0,329555.1343,正弦波,材料1,0.1550021295
139,25,112160.0,432205.1043,正弦波,材料1,0.17382442199999998
140,25,112160.0,579176.7738,正弦波,材料1,0.1972514825
141,25,112160.0,737413.5818,正弦波,材料1,0.2173333295
142,25,112160.0,1223675.078,正弦波,材料1,0.272334886
143,25,125860.0,1472.545902,正弦波,材料1,0.016810691500000002
144,25,125850.0,2256.015194,正弦波,材料1,0.0195156215
145,25,125860.0,3084.707485,正弦波,材料1,0.022027956
146,25,125860.0,4200.974078,正弦波,材料1,0.024779816
147,25,125850.0,5525.178254,正弦波,材料1,0.027626064999999998
148,25,125860.0,13775.45003,正弦波,材料1,0.039246581
149,25,125850.0,18310.96022,正弦波,材料1,0.043961569000000006
150,25,125860.0,24421.93184,正弦波,材料1,0.0494092225
151,25,125860.0,32684.68129,正弦波,材料1,0.055529896499999995
152,25,125860.0,56884.91087,正弦波,材料1,0.0701128375
153,25,125850.0,76878.8708,正弦波,材料1,0.079174438
154,25,125860.0,172790.731,正弦波,材料1,0.11010018099999999
155,25,125860.0,516365.5506,正弦波,材料1,0.17524859599999998
156,25,125860.0,679260.437,正弦波,材料1,0.1954342495
157,25,141250.0,1402.690272,正弦波,材料1,0.015724658000000002
158,25,141260.0,3564.3754,正弦波,材料1,0.022040972
159,25,141270.0,4792.365224,正弦波,材料1,0.0246616365
160,25,141270.0,8888.402923,正弦波,材料1,0.0313891005
161,25,141260.0,20972.82318,正弦波,材料1,0.043889361
162,25,141260.0,37837.05515,正弦波,材料1,0.055511165
163,25,141260.0,49742.16541,正弦波,材料1,0.062464949500000005
164,25,141260.0,67223.83993,正弦波,材料1,0.070411753
165,25,141270.0,89782.66539,正弦波,材料1,0.07915565799999999
166,25,141260.0,266704.6966,正弦波,材料1,0.1235246755
167,25,141260.0,357572.7731,正弦波,材料1,0.139823091
168,25,141260.0,619011.8338,正弦波,材料1,0.175058288
169,25,141260.0,1026071.684,正弦波,材料1,0.218276942
170,25,158500.0,1187.754171,正弦波,材料1,0.013948554
171,25,158500.0,1192.605834,正弦波,材料1,0.013964945999999999
172,25,158500.0,1641.045747,正弦波,材料1,0.015524442
173,25,158500.0,3044.949531,正弦波,材料1,0.0196700925
174,25,158500.0,4080.613099,正弦波,材料1,0.0220096895
175,25,158510.0,5648.015608,正弦波,材料1,0.024808252
176,25,158500.0,13587.381,正弦波,材料1,0.034858277
177,25,158500.0,18242.28949,正弦波,材料1,0.039103953999999996
178,25,158510.0,24635.10959,正弦波,材料1,0.043934542
179,25,158510.0,33238.5309,正弦波,材料1,0.0495075985
180,25,158500.0,44430.17965,正弦波,材料1,0.055606653000000006
181,25,158500.0,59069.01523,正弦波,材料1,0.0626846665
182,25,158500.0,79066.42767,正弦波,材料1,0.0704552175
183,25,158500.0,107275.1057,正弦波,材料1,0.07882331100000001
184,25,158500.0,139304.1316,正弦波,材料1,0.0878222295
185,25,158500.0,183014.8648,正弦波,材料1,0.09836272900000001
186,25,158510.0,237859.9575,正弦波,材料1,0.10966351599999999
187,25,158500.0,320931.3637,正弦波,材料1,0.1243688595
188,25,158500.0,556312.9256,正弦波,材料1,0.155684436
189,25,177820.0,1455.296582,正弦波,材料1,0.0138180935
190,25,177820.0,1947.216719,正弦波,材料1,0.0154921505
191,25,177820.0,2619.028052,正弦波,材料1,0.0174531405
192,25,177830.0,3573.989819,正弦波,材料1,0.019648801
193,25,177820.0,4896.646627,正弦波,材料1,0.022132149
194,25,177820.0,8757.571039,正弦波,材料1,0.0277168005
195,25,177820.0,15704.90259,正弦波,材料1,0.034675380500000005
196,25,177820.0,21387.24118,正弦波,材料1,0.039066398
197,25,177820.0,29039.82633,正弦波,材料1,0.04409337
198,25,177820.0,38777.3922,正弦波,材料1,0.049417408999999995
199,25,177820.0,51692.85659,正弦波,材料1,0.055675260000000004
200,25,177820.0,69575.88416,正弦波,材料1,0.062634304
201,25,177820.0,94829.7604,正弦波,材料1,0.0700570325
202,25,177820.0,123936.1788,正弦波,材料1,0.07807135
203,25,177820.0,216240.5996,正弦波,材料1,0.09819692399999999
204,25,177820.0,290107.5928,正弦波,材料1,0.1108415995
205,25,177820.0,381807.5464,正弦波,材料1,0.12442679100000001
206,25,177820.0,508254.8668,正弦波,材料1,0.139227434
207,25,199500.0,1359.728946,正弦波,材料1,0.012815212
208,25,199500.0,1295.823376,正弦波,材料1,0.0123097255
209,25,199500.0,1713.519808,正弦波,材料1,0.013815623999999999
210,25,199510.0,3131.491897,正弦波,材料1,0.017499987
211,25,199500.0,4293.7631,正弦波,材料1,0.019716653
212,25,199500.0,5780.063046,正弦波,材料1,0.022100548999999997
213,25,199500.0,7703.877937,正弦波,材料1,0.0246384215
214,25,199500.0,13727.56106,正弦波,材料1,0.030924014
215,25,199500.0,18846.99738,正弦波,材料1,0.034857702500000004
216,25,199500.0,34431.32807,正弦波,材料1,0.0440802045
217,25,199500.0,46554.40586,正弦波,材料1,0.049580641999999994
218,25,199500.0,61598.99788,正弦波,材料1,0.0557953465
219,25,199510.0,84808.51689,正弦波,材料1,0.062398487
220,25,199500.0,109976.8533,正弦波,材料1,0.06926370500000001
221,25,199500.0,147898.0434,正弦波,材料1,0.0781414615
222,25,199500.0,195279.9663,正弦波,材料1,0.087605485
223,25,199500.0,263199.8984,正弦波,材料1,0.0989592105
224,25,199500.0,584646.126,正弦波,材料1,0.137121147
225,25,199500.0,778826.1991,正弦波,材料1,0.1550460585
226,25,223850.0,1741.014541,正弦波,材料1,0.012880902
227,25,223850.0,1568.169639,正弦波,材料1,0.0123379605
228,25,223850.0,2071.805286,正弦波,材料1,0.0138385435
229,25,223850.0,3794.890527,正弦波,材料1,0.0175145485
230,25,223850.0,12211.32658,正弦波,材料1,0.027604383
231,25,223850.0,16267.93111,正弦波,材料1,0.0308131455
232,25,223850.0,22632.85134,正弦波,材料1,0.034950774000000004
233,25,223850.0,41569.50494,正弦波,材料1,0.044258588
234,25,223850.0,56012.09577,正弦波,材料1,0.049714866999999996
235,25,223850.0,98906.6499,正弦波,材料1,0.061837243
236,25,223850.0,237281.9938,正弦波,材料1,0.08798057249999999
237,25,223850.0,314961.8538,正弦波,材料1,0.0988434775
238,25,223850.0,544722.457,正弦波,材料1,0.1232301235
239,25,223850.0,709348.3739,正弦波,材料1,0.1380034805
240,25,251170.0,2262.910587,正弦波,材料1,0.013060222
241,25,251170.0,1948.042054,正弦波,材料1,0.012352814
242,25,251170.0,2592.256897,正弦波,材料1,0.0138988745
243,25,251170.0,4704.915331,正弦波,材料1,0.0175922765
244,25,251170.0,6166.926736,正弦波,材料1,0.019594025
245,25,251170.0,10941.64448,正弦波,材料1,0.024487473500000002
