分组类型,分组值,样本数,R2,RMSE,MAE,MAPE_percent,RMSLE
温度,25,3244,0.9951632033466593,30438.356013835502,9129.484752080687,3.7126102996418693,0.052211677216559116
温度,50,3070,0.9983547767737259,15279.274416211172,5365.943489800336,3.3941779154591747,0.04713594519430595
温度,70,3030,0.9962656602698974,20504.453433249193,5868.3917469846965,3.5015463570127214,0.04866595504764061
温度,90,3056,0.9955706535651733,22533.627012154455,6198.653479449534,3.746959332127712,0.05171507912618333
磁芯材料,材料1,3400,0.993058525374132,28283.593492807922,7537.95663948013,4.059930198389213,0.05484882422227868
磁芯材料,材料2,3000,0.9972372762034174,21499.14716028268,6714.574768451084,2.925361321280387,0.04104678633089809
磁芯材料,材料3,3200,0.997300427556008,24180.29422942053,7749.722882580478,2.9982131504503933,0.04204416272823364
磁芯材料,材料4,2800,0.9955456253368233,14272.693600304712,4372.113204341056,4.41074945479392,0.059981595421574614
励磁波形,三角波,4948,0.9946096406239088,31873.389574986024,9450.829043852966,3.5022241802301504,0.04811055997359549
励磁波形,梯形波,3398,0.9979740358566477,19805.643036656904,7472.286838784286,3.3294553910143145,0.0445264939260707
励磁波形,正弦波,4054,0.9979162527141193,6814.287790153566,2629.5693855019013,3.917546258209989,0.056242906859338346
