样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,预测磁芯损耗_w每m3,附件四填写值_保留1位小数,超出训练集关键特征范围数,预测范围标记
16,50,199500.0,材料1,正弦波,0.0122960845,1076.0649548072447,1076.1,0,范围内
76,25,158750.0,材料1,梯形波,0.243382524,1629344.4330466345,1629344.4,0,范围内
98,90,112180.0,材料1,梯形波,0.0550980015,10885.123579840278,10885.1,0,范围内
126,70,158510.0,材料2,正弦波,0.0193898289999999,1769.7969060524954,1769.8,0,范围内
168,25,396820.0,材料2,三角波,0.0389268265,91873.11353898676,91873.1,0,范围内
230,25,50020.0,材料3,正弦波,0.100805,68725.25341282194,68725.3,0,范围内
271,90,125890.0,材料3,三角波,0.307732973,1762267.5482058579,1762267.5,0,范围内
338,25,70780.0,材料4,三角波,0.038930323,12605.475603053328,12605.5,0,范围内
348,50,89200.0,材料4,三角波,0.242066141,898107.9487297554,898107.9,0,范围内
379,50,89210.0,材料4,梯形波,0.0192220765,1277.3132022382067,1277.3,0,范围内
