样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁芯损耗_w每m3,五折预测磁芯损耗_w每m3,相对误差_percent,绝对百分比误差
1,25,50030.0,材料1,正弦波,1997.95525,2587.8860582198463,29.526727799326153,29.526727799326153
2,25,50020.0,材料1,正弦波,2427.74983,3596.834615985503,48.155076422577814,48.155076422577814
3,25,50020.0,材料1,正弦波,3332.72576,3992.611474288169,19.80018044713554,19.80018044713554
4,25,50020.0,材料1,正弦波,4502.908007,5234.877345071881,16.255480612395306,16.255480612395306
5,25,50030.0,材料1,正弦波,6063.023248,6785.740026444803,11.920072691180993,11.920072691180993
6,25,50020.0,材料1,正弦波,14273.85421,14971.249488704361,4.885823187235438,4.885823187235438
7,25,50020.0,材料1,正弦波,56401.52952,53898.42889165469,-4.438001326644359,4.438001326644359
8,25,50020.0,材料1,正弦波,73651.31728,69426.76546484018,-5.735880865646104,5.735880865646104
9,25,50020.0,材料1,正弦波,125047.8122,117076.16720082615,-6.374877623947625,6.374877623947625
10,25,50020.0,材料1,正弦波,161776.6059,160237.52788617942,-0.9513600592980259,0.9513600592980259
11,25,50020.0,材料1,正弦波,352985.6272,344902.99314670806,-2.2897912635724245,2.2897912635724245
12,25,50030.0,材料1,正弦波,441717.9624,444722.2237616931,0.6801311283267593,0.6801311283267593
13,25,56320.0,材料1,正弦波,1759.006565,1769.389160636126,0.5902533761223397,0.5902533761223397
14,25,56310.0,材料1,正弦波,2364.873224,2127.4528396797377,-10.039455050308533,10.039455050308533
15,25,56320.0,材料1,正弦波,3132.233226,2908.675327085355,-7.137332464866867,7.137332464866867
16,25,56320.0,材料1,正弦波,4363.429973,4965.518952701441,13.798525092118869,13.798525092118869
17,25,56320.0,材料1,正弦波,5773.018252,5840.398534845329,1.1671586664737437,1.1671586664737437
18,25,56320.0,材料1,正弦波,9988.187279,9919.372287084872,-0.6889637728340335,0.6889637728340335
19,25,56310.0,材料1,正弦波,13463.78092,13677.056600192613,1.584069745785892,1.584069745785892
20,25,56310.0,材料1,正弦波,23248.3141,22441.240887890388,-3.4715343600317734,3.4715343600317734
21,25,56320.0,材料1,正弦波,39002.19859,36725.327780665786,-5.837801179541693,5.837801179541693
22,25,56320.0,材料1,正弦波,50069.23431,46501.36937656208,-7.125862783017108,7.125862783017108
23,25,56320.0,材料1,正弦波,66762.87637,61007.297764603696,-8.620926656153749,8.620926656153749
24,25,56310.0,材料1,正弦波,113796.1134,88318.98581453093,-22.388398710872913,22.388398710872913
25,25,56310.0,材料1,正弦波,148257.1129,135992.3025833509,-8.272662320708877,8.272662320708877
26,25,56320.0,材料1,正弦波,198685.0545,191154.97472361996,-3.789957828146574,3.789957828146574
27,25,56320.0,材料1,正弦波,255933.2678,218822.8889566446,-14.500021494804436,14.500021494804436
28,25,56320.0,材料1,正弦波,331623.2171,300680.48393946694,-9.330689639622662,9.330689639622662
29,25,56320.0,材料1,正弦波,416358.3168,357970.2650248702,-14.023510380165355,14.023510380165355
30,25,56310.0,材料1,正弦波,534557.2986,511397.33985290735,-4.332549346486958,4.332549346486958
31,25,63010.0,材料1,正弦波,1507.127686,1638.2577062674623,8.700657647361552,8.700657647361552
32,25,63020.0,材料1,正弦波,1987.49952,1955.954224981419,-1.5871850383431085,1.5871850383431085
