特征,归一化重要性,排名
频率×B_m,0.41704660107114977,1
磁通密度_最大绝对值_T,0.31412598078741516,2
对数频率,0.12387930439368613,3
频率_Hz,0.034390538479864,4
磁通密度_标准差_T,0.01331753731934542,5
磁通密度_峰峰值_T,0.009955546688107476,6
温度_oC,0.008632586224410358,7
斜率RMS归一化,0.007973638258608967,8
H3_ratio,0.006695521907614033,9
磁通密度_RMS_T,0.006293046205659515,10
磁通密度峰值B_m_T,0.006169536535740265,11
H7_ratio,0.006031044214098385,12
磁芯材料_材料1,0.005265790900072984,13
波峰因子,0.004203592371945159,14
超额峰度,0.004168777671917474,15
磁芯材料_材料4,0.003945621144434102,16
THD_2_10,0.003941180598456572,17
对数磁通密度峰值,0.0030641909286845174,18
最大斜率归一化,0.00268369094674306,19
磁通密度_绝对均值_T,0.002568785067485914,20
波形因子,0.0024474602802980576,21
H8_ratio,0.0019574837968076133,22
H2_ratio,0.0016266439129538365,23
对数频率×对数B_m,0.0014289953791320718,24
励磁波形_梯形波,0.0012308594143642106,25
频谱质心归一化,0.0012013563961558618,26
磁芯材料_材料3,0.0010801388274780022,27
偏度,0.0010581289977760933,28
近峰值点比例,0.0010291936206695282,29
磁芯材料_材料2,0.0009513362186059855,30
H6_ratio,0.0006770120728447054,31
H4_ratio,0.0003241724583180559,32
H5_ratio,0.0002455313483182526,33
H9_ratio,0.00016083141752534262,34
H10_ratio,9.765198646333225e-05,35
励磁波形_三角波,4.8992729074166024e-05,36
励磁波形_正弦波,4.5161988372241584e-05,37
总变差归一化,1.8767344708407917e-05,38
磁通密度_均值_T,1.7770094694929172e-05,39
过零数,0.0,40
