样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,对数磁通密度峰值,磁通密度_RMS_T,磁通密度_绝对均值_T,磁通密度_标准差_T,磁通密度_均值_T,磁通密度_最大绝对值_T,磁通密度_峰峰值_T,波峰因子,波形因子,偏度,超额峰度,斜率RMS归一化,最大斜率归一化,总变差归一化,THD_2_10,频谱质心归一化,近峰值点比例,过零数,H2_ratio,H3_ratio,H4_ratio,H5_ratio,H6_ratio,H7_ratio,H8_ratio,H9_ratio,H10_ratio,对数频率,对数频率×对数B_m,频率×B_m
1,25,56320.0,材料1,正弦波,0.062604294,-2.770921408979361,0.04423170896820041,0.039799053049804675,0.04423170896820044,2.929709458210616e-12,0.062770702,0.125208588,1.419133546142833,1.1113759142170718,-0.005736733365229795,-1.4967619104461658,0.002167732132883195,0.0030501581888296688,2.0,0.004378787212996954,0.0020706662499813365,0.283203125,2.0,0.0029326646926371718,0.003228219142152254,0.000221281311092257,0.0002610814683994707,6.260133669945984e-05,5.861953088065999e-05,5.919038742444182e-05,0.00015261626001186927,2.4022368444666878e-05,10.938804990831924,-30.310568937746464,3525.8738380800005
2,25,79460.0,材料1,正弦波,0.0624142795,-2.7739611916451827,0.04417200481300538,0.03975051255957032,0.044172004813005386,-3.222655002508853e-11,0.062586738,0.124828559,1.4168869686796024,1.1112310752423378,-0.005753566873160192,-1.4978422362784567,0.002171379185307239,0.0030813141085767066,2.0000000000000004,0.003933528116638214,0.002097373526967735,0.2861328125,2.0,0.003312008971902229,0.0019031825059481918,6.193694518013648e-05,0.000827300362463856,8.094880900031197e-05,0.00042532636507573534,2.902424733076833e-05,5.966257254907571e-05,3.189094794458732e-05,11.28300902936859,-31.29862917245065,4959.43864907
3,25,89080.0,材料1,正弦波,0.070264728,-2.6554853414964814,0.04972266952122066,0.044758699594726635,0.04972266952122062,-4.0039036667290204e-11,0.070508669,0.140529456,1.4180386869596429,1.1109051418258558,-0.007507406785909539,-1.499074263815867,0.002171134361535803,0.0030838161075639548,1.999999999999999,0.004538434671946746,0.002062470626873267,0.28515625,2.0,0.004279580124672908,0.0014151425501933036,6.077683837687486e-05,0.00028537681154496854,4.886340328355248e-05,0.0003690422597523547,3.4157815259626916e-05,0.00023298461498929028,2.815374195573684e-05,11.397290121371304,-30.26533685008415,6259.18197024
4,25,99950.0,材料1,正弦波,0.0621677125,-2.777919505651582,0.04401203773486777,0.03962200937597655,0.044012037734867795,1.0742222050748936e-11,0.062309724,0.124335425,1.4157427650898382,1.110797721469244,-0.005260900129691817,-1.4997314259001993,0.0021720645575753323,0.003095167768960456,2.000000000000001,0.004060121755186433,0.002065362920052053,0.2861328125,2.0,0.003910591938087638,0.0009227231559717374,0.00011312085765598085,0.0003474324649515471,4.907280996588414e-05,0.00039779526296432837,2.8205606162885187e-05,0.0002108486190758841,3.215250684671923e-05,11.512425339928546,-31.980590909145054,6213.662864375
5,25,99950.0,材料1,正弦波,0.0787659355,-2.541274666191963,0.05573600266098619,0.05017334685449213,0.0557360026609862,1.2695279994781144e-11,0.078981397,0.157531871,1.4170624592582237,1.1108687411789835,-0.006198719161226518,-1.4993407115918616,0.0021710344821849275,0.0030933613427342596,2.000000000000001,0.0048377852943274685,0.0020461619437327347,0.28515625,2.0,0.0046496075604398925,0.0012748983299822579,0.0001298496453443368,0.0002684682691648697,4.05777634431691e-05,0.0002196193513882482,3.252281172803781e-05,0.0001407148241537176,1.6630837795113088e-05,11.512425339928546,-29.256234862786812,7872.655253225
6,25,112160.0,材料1,正弦波,0.044040051499999996,-3.122655797736879,0.031199268535910922,0.02808408000488279,0.03119926853591092,-2.9297086039778886e-12,0.044106851,0.08808010299999999,1.4137142654236339,1.1109236453708478,-0.0029252066833003643,-1.4997225560621765,0.002173513725862841,0.0030941153645108704,2.0000000000000013,0.0031835659979714873,0.002078778581947623,0.2890625,2.0,0.0029774974846092416,0.00032503075609948497,9.047428385525702e-05,0.000996305826835312,7.143815589840693e-05,0.0003944057327278939,3.632374586851047e-05,2.6790957189940386e-05,2.1185880256526532e-05,11.627681702268417,-36.30924768182749,4939.53217624
7,25,158500.0,材料1,正弦波,0.017457063000000002,-4.048010955778503,0.012369720979076257,0.01113875589160157,0.012369720979076251,3.613280267911602e-11,0.017464453,0.034914126000000004,1.4118712159750113,1.110511900920893,-0.0007645266771603121,-1.5015668437047776,0.002173922737337363,0.00308786191583315,2.0000000000000004,0.0012950095839610709,0.0020401759008919786,0.2900390625,2.0,0.0008708293029758863,0.0007887065944673603,3.8533770656495615e-05,0.00045040168420931004,1.0000380387704427e-05,0.00019508202249149056,4.083579975847728e-06,0.0002320554946944912,1.667619570144114e-05,11.973509872299472,-48.468899142190324,2766.9444855
8,25,177820.0,材料1,正弦波,0.0141795745,-4.255952765380562,0.010032658176290184,0.009033078096679695,0.010032658176290172,4.1992182540912694e-11,0.014183858,0.028359149,1.4137686892911587,1.110657747991563,-0.0006226426104851079,-1.5002622844495808,0.0021707194850828005,0.0030775958756731384,1.9999999999999984,0.0007366295303874865,0.00200032397731039,0.2880859375,2.0,0.0006489813196834995,0.00026213860302266287,2.9782399356658603e-05,2.476223820044826e-05,2.1923246190819836e-05,0.0001980073191942972,1.9643461264479015e-06,0.00010644415985856145,1.4413874988655936e-05,12.08852708167513,-51.44820026263309,2521.41193759
9,25,223850.0,材料1,正弦波,0.110438025,-2.203300775093487,0.07824847267088339,0.07046252932128903,0.07824847267088347,2.8320251575589476e-11,0.110722719,0.22087605,1.4150144433579521,1.1104976421452695,-0.005548707464495582,-1.5014162172917787,0.0021738547980512156,0.00311114763234855,2.0000000000000027,0.0053634110244151255,0.002039952302205743,0.2880859375,2.0,0.005279024417866127,0.00077275839820307,4.906130132312841e-05,0.0003378538722387361,5.432864049648909e-06,0.0003673854148429608,2.674463683545937e-05,0.00021990026622968734,1.727015879567702e-05,12.318731463669112,-27.14187058207068,24721.55189625
10,25,281850.0,材料1,正弦波,0.019504699,-3.937099868083119,0.013828844227197937,0.012454332716796874,0.01382884422719794,-6.445313037406245e-11,0.019514062,0.039009398,1.4111130098363995,1.110364123205677,-0.0009393010482753437,-1.5022529680372014,0.002175228560845704,0.003096689674626612,1.9999999999999964,0.0017697370648317513,0.00202696400601277,0.291015625,2.0,0.001159364187675028,0.0011350542574263731,2.312178658614603e-05,0.0005460863412713632,4.484506292012566e-05,0.00043298557725749527,2.0550279072491913e-05,0.00010231427358181346,1.9307206070849207e-05,12.549130293509721,-49.407179223134996,5497.39941315
11,50,56320.0,材料1,正弦波,0.07900845349999999,-2.5382004259107704,0.05583045906802385,0.05024272495117194,0.05583045906802388,-1.3671867139961275e-11,0.079223667,0.15801690699999998,1.4190043987185177,1.1112147902463951,-0.005766899346416919,-1.4972562688477633,0.002168030395393439,0.003068310911819075,2.0000000000000027,0.0039810444962796775,0.0020503436557123365,0.2841796875,2.0,0.0032444056146070962,0.0022827213862937567,7.664723371558194e-05,0.00012589942960168228,2.173885247345918e-05,0.00028887198867735755,3.0212580935218826e-05,7.121559109602953e-05,1.005151731324518e-05,10.938804990831924,-27.764879486684453,4449.75610112
