样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,预测磁芯损耗_w每m3,附件四填写值_保留1位小数,超出训练集关键特征范围数,预测范围标记
1,25,56320.0,材料1,正弦波,0.062604294,15096.19947553456,15096.2,0,范围内
2,25,79460.0,材料1,正弦波,0.0624142795,27361.936443506453,27361.9,0,范围内
3,25,89080.0,材料1,正弦波,0.070264728,38384.328385074456,38384.3,0,范围内
4,25,99950.0,材料1,正弦波,0.0621677125,33414.1725171718,33414.2,0,范围内
5,25,99950.0,材料1,正弦波,0.0787659355,59027.695652122784,59027.7,0,范围内
6,25,112160.0,材料1,正弦波,0.0440400514999999,15561.914301283952,15561.9,0,范围内
7,25,158500.0,材料1,正弦波,0.017457063,2339.2073391449894,2339.2,0,范围内
8,25,177820.0,材料1,正弦波,0.0141795745,1636.7812459749869,1636.8,0,范围内
9,25,223850.0,材料1,正弦波,0.110438025,392734.7558116307,392734.8,0,范围内
10,25,281850.0,材料1,正弦波,0.019504699,7835.76631673737,7835.8,0,范围内
11,50,56320.0,材料1,正弦波,0.0790084534999999,17548.86060950721,17548.9,0,范围内
12,50,70840.0,材料1,正弦波,0.176041024,171507.07240071063,171507.1,0,范围内
13,50,112160.0,材料1,正弦波,0.0312007295,3876.417544947328,3876.4,0,范围内
14,50,125850.0,材料1,正弦波,0.02462102,2311.6436582647875,2311.6,0,范围内
15,50,141260.0,材料1,正弦波,0.0553123975,22425.04320000132,22425.0,0,范围内
16,50,199500.0,材料1,正弦波,0.0122960845,1076.0649548072447,1076.1,0,范围内
17,50,199500.0,材料1,正弦波,0.0780128304999999,100304.90823149442,100304.9,0,范围内
18,50,199500.0,材料1,正弦波,0.111054918,253096.20126662022,253096.2,0,范围内
19,50,251170.0,材料1,正弦波,0.0123724725,1750.8703811993696,1750.9,0,范围内
20,50,251170.0,材料1,正弦波,0.1232398425,543554.2879213325,543554.3,0,范围内
21,70,63020.0,材料1,正弦波,0.0311415344999999,1253.133656876641,1253.1,0,范围内
22,70,70840.0,材料1,正弦波,0.1107040075,40293.82245070871,40293.8,0,范围内
23,70,79460.0,材料1,正弦波,0.2171642635,273765.5239297586,273765.5,0,范围内
24,70,89080.0,材料1,正弦波,0.0550173999999999,7839.1325361513545,7839.1,0,范围内
25,70,89080.0,材料1,正弦波,0.0782774335,20290.31779043838,20290.3,0,范围内
26,70,99950.0,材料1,正弦波,0.0693877325,18096.900048080537,18096.9,0,范围内
27,70,281850.0,材料1,正弦波,0.0698713475,132875.83762915558,132875.8,0,范围内
28,70,281860.0,材料1,正弦波,0.097074699,303201.21219687804,303201.2,0,范围内
29,90,56320.0,材料1,正弦波,0.0488987919999999,2452.375836314952,2452.4,0,范围内
30,90,125860.0,材料1,正弦波,0.2167981414999999,525041.4852689172,525041.5,0,范围内
31,90,141270.0,材料1,正弦波,0.0346697569999999,4774.814847323003,4774.8,0,范围内
32,90,158500.0,材料1,正弦波,0.0219591365,2034.818910788822,2034.8,0,范围内
33,90,251170.0,材料1,正弦波,0.039236748,23706.60080897732,23706.6,0,范围内
34,90,251170.0,材料1,正弦波,0.0494448605,42342.728016422545,42342.7,0,范围内
35,90,316230.0,材料1,正弦波,0.013355523,4520.310537746134,4520.3,0,范围内
36,90,316230.0,材料1,正弦波,0.0155751709999999,5735.462485494469,5735.5,0,范围内
37,25,56180.0,材料1,三角波,0.087412284,46155.38962288647,46155.4,0,范围内
38,25,158750.0,材料1,三角波,0.069327457,137512.89000215568,137512.9,0,范围内
39,25,158750.0,材料1,三角波,0.0779224454999999,181440.46906284225,181440.5,0,范围内
40,25,251230.0,材料1,三角波,0.0865260665,530861.9836802308,530862.0,0,范围内
41,25,56180.0,材料1,三角波,0.1220785935,80409.65214588866,80409.7,0,范围内
42,25,99910.0,材料1,三角波,0.2448322785,878629.4358661947,878629.4,0,范围内
43,50,70790.0,材料1,三角波,0.275242573,737628.327538713,737628.3,0,范围内
44,50,125890.0,材料1,三角波,0.195057676,884500.58588197,884500.6,0,范围内
45,50,199160.0,材料1,三角波,0.0108141135,3178.7536045331167,3178.8,0,范围内
46,50,224180.0,材料1,三角波,0.030461448,37834.390396619405,37834.4,0,范围内
47,50,251220.0,材料1,三角波,0.0218732175,23795.55355287626,23795.6,0,范围内
48,50,282490.0,材料1,三角波,0.0871054725,613597.2235188076,613597.2,0,范围内
49,50,89200.0,材料1,三角波,0.0487923365,10200.524892088257,10200.5,0,范围内
50,70,141290.0,材料1,三角波,0.0760954935,98030.21822722744,98030.2,0,范围内
51,70,158750.0,材料1,三角波,0.0196785005,6530.319610825263,6530.3,0,范围内
52,70,224170.0,材料1,三角波,0.0428292715,75907.34081623696,75907.3,0,范围内
53,70,282490.0,材料1,三角波,0.0123930995,9614.858448881387,9614.9,0,范围内
54,70,396800.0,材料1,三角波,0.0249676075,79367.97326463007,79368.0,0,范围内
55,70,446410.0,材料1,三角波,0.0106599735,19429.711371033496,19429.7,0,范围内
56,70,70800.0,材料1,三角波,0.216971363,247647.9021875651,247647.9,0,范围内
57,70,89200.0,材料1,三角波,0.154739061,140396.14152201856,140396.1,0,范围内
58,90,224180.0,材料1,三角波,0.0670604145,199288.86359084307,199288.9,0,范围内
59,90,251220.0,材料1,三角波,0.03429943,58623.40029334192,58623.4,0,范围内
60,90,282490.0,材料1,三角波,0.034767681,74350.28397845308,74350.3,0,范围内
61,90,282480.0,材料1,三角波,0.0491054784999999,148556.33015947585,148556.3,0,范围内
62,90,282490.0,材料1,三角波,0.0544351535,194700.6691660198,194700.7,0,范围内
63,90,316470.0,材料1,三角波,0.030891526,77140.2100506669,77140.2,0,范围内
64,90,354590.0,材料1,三角波,0.0423584445,197135.15462980088,197135.2,0,范围内
65,90,396800.0,材料1,三角波,0.014117247,25707.3666634482,25707.4,0,范围内
66,90,446410.0,材料1,三角波,0.041920654,321091.98549672525,321092.0,0,范围内
67,25,396820.0,材料1,三角波,0.024880164,26839.67978789349,26839.7,0,范围内
68,25,70770.0,材料1,梯形波,0.2161457869999999,406074.91387118504,406074.9,0,范围内
69,25,70760.0,材料1,梯形波,0.272820525,674550.5472770889,674550.5,0,范围内
70,25,89210.0,材料1,梯形波,0.192315436,408997.07807577704,408997.1,0,范围内
71,25,141270.0,材料1,梯形波,0.024135106,4921.832818676755,4921.8,0,范围内
72,25,141270.0,材料1,梯形波,0.027301359,6456.709428024485,6456.7,0,范围内
73,25,141270.0,材料1,梯形波,0.1531104885,450683.5655112281,450683.6,0,范围内
74,25,158740.0,材料1,梯形波,0.0192538665,3341.0755511083057,3341.1,0,范围内
75,25,158750.0,材料1,梯形波,0.1090570969999999,244562.48722375854,244562.5,0,范围内
76,25,158750.0,材料1,梯形波,0.243382524,1629344.4330466345,1629344.4,0,范围内
77,25,199190.0,材料1,梯形波,0.0243480655,8461.113621744202,8461.1,0,范围内
78,25,282480.0,材料1,梯形波,0.015297315,5882.318025360524,5882.3,0,范围内
79,50,50060.0,材料1,梯形波,0.0859656219999999,17571.436004985335,17571.4,0,范围内
80,50,79410.0,材料1,梯形波,0.108656192,60145.84950796412,60145.8,0,范围内
81,50,79410.0,材料1,梯形波,0.2162800755,326273.0769418964,326273.1,0,范围内
82,50,89210.0,材料1,梯形波,0.1924350415,291532.3126007607,291532.3,0,范围内
83,50,125920.0,材料1,梯形波,0.0385649205,8385.317115625905,8385.3,0,范围内
84,50,141270.0,材料1,梯形波,0.095757954,102089.87777962246,102089.9,0,范围内
85,50,199190.0,材料1,梯形波,0.054716755,49323.13417160914,49323.1,0,范围内
86,50,224200.0,材料1,梯形波,0.027517796,12308.20486672273,12308.2,0,范围内
87,50,282480.0,材料1,梯形波,0.0219998275,12421.231109957616,12421.2,0,范围内
88,70,354610.0,材料1,三角波,0.1545824105,1265763.0540065165,1265763.1,0,范围内
89,70,354610.0,材料1,三角波,0.1943308875,2179508.2501583067,2179508.3,0,范围内
90,70,70770.0,材料1,梯形波,0.068647037,10747.615882578677,10747.6,0,范围内
91,70,79410.0,材料1,梯形波,0.0857237525,22883.11487559679,22883.1,0,范围内
92,70,89210.0,材料1,梯形波,0.2159118165,335825.9207415595,335825.9,0,范围内
93,70,112170.0,材料1,梯形波,0.087021337,39330.520615085596,39330.5,0,范围内
94,70,125920.0,材料1,梯形波,0.108083451,90831.68513004643,90831.7,0,范围内
