模型1,模型2,模型1权重,偏差修正因子,R2,RMSE,MAE,MAPE_percent,RMSLE
HistGradientBoosting,XGBoost,0.0,0.9996470290413698,0.9958747692532979,24169.932474460104,7192.504681144264,3.9899427302174493,0.057123775447736974
HistGradientBoosting,XGBoost,0.05,0.9996478282410775,0.9959624297593218,23911.749888515922,7075.857399884198,3.9055036852531715,0.0558700468626523
HistGradientBoosting,XGBoost,0.1,0.9996486274414228,0.9960394242642066,23682.659739553732,6972.819988727346,3.8302159653101664,0.05472061109507231
HistGradientBoosting,XGBoost,0.15000000000000002,0.9996494266424083,0.9961057530189734,23483.51270780768,6881.560674132593,3.7643970365580683,0.05368216787680093
HistGradientBoosting,XGBoost,0.2,0.9996502258440317,0.9961614148180045,23315.07974974025,6804.460629086033,3.707781354561669,0.05276127125496151
HistGradientBoosting,XGBoost,0.25,0.9996510250462953,0.9962064070018579,23178.038589741514,6744.253893890384,3.662556950548119,0.0519641710034704
HistGradientBoosting,XGBoost,0.30000000000000004,0.9996518242491973,0.9962407254598077,23072.961201842754,6702.115905145942,3.6272449006911143,0.05129663847532217
HistGradientBoosting,XGBoost,0.35000000000000003,0.9996526234527388,0.9962643646321082,23000.302787804456,6672.6731186148645,3.602249297425931,0.050763785288427725
HistGradientBoosting,XGBoost,0.4,0.999653422656918,0.9962773175119839,22960.392728430445,6658.957340828129,3.5883580479523216,0.050369885863509524
HistGradientBoosting,XGBoost,0.45,0.9996542218617362,0.9962795756473428,22953.427920153583,6661.723071379936,3.5845030353602403,0.05011821658985943
HistGradientBoosting,XGBoost,0.5,0.9996550210671945,0.9962711291422152,22979.468811372913,6678.532828709531,3.5906634833248963,0.05001092474194864
HistGradientBoosting,XGBoost,0.55,0.9996558202732913,0.9962519666579144,23038.438329210865,6709.190007317881,3.6065045117051553,0.050048938850822185
HistGradientBoosting,XGBoost,0.6000000000000001,0.9996566194800269,0.9962220754139224,23130.12374716406,6752.116585011478,3.6317017860722367,0.05023192902719869
HistGradientBoosting,XGBoost,0.65,0.9996574186874014,0.9961814411884962,23254.181399590158,6808.076541915917,3.6664199144021072,0.050558321121704705
HistGradientBoosting,XGBoost,0.7000000000000001,0.9996582178954151,0.9961300483189971,23410.144012742876,6878.161747209163,3.7110976391801964,0.05102536332696711
HistGradientBoosting,XGBoost,0.75,0.9996590171040676,0.9960678797019396,23597.430305632963,6961.403027121897,3.7655835615676243,0.05162923878776719
HistGradientBoosting,XGBoost,0.8,0.999659816313359,0.99599491679276,23815.35642624002,7056.021466434472,3.8286228420050943,0.05236521383620306
HistGradientBoosting,XGBoost,0.8500000000000001,0.9996606155232893,0.9959111396053044,24063.14873478376,7160.395859210063,3.8996847900544167,0.053227809174997594
HistGradientBoosting,XGBoost,0.9,0.9996614147338587,0.9958165267110319,24339.957427162848,7277.160509508194,3.979790601402375,0.054210980863477684
HistGradientBoosting,XGBoost,0.9500000000000001,0.999662213945067,0.9957110552379355,24644.870505848674,7404.081819937468,4.068473475093839,0.05530829910549076
HistGradientBoosting,XGBoost,1.0,0.9996630131569143,0.9955947008691748,24976.927647149114,7542.184830592011,4.164535125678906,0.056513115122564406
