样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,实际磁芯损耗_w每m3,第四问OOF预测损耗_w每m3,第四问预测相对误差_percent,传输磁能指标_f×B_m,Pareto最优,Pareto序号,对数损耗归一化代价,对数传输磁能归一化代价,等权理想点距离
3688,90,79470.0,材料2,正弦波,0.0190214345,415.6131139,454.367069920484,9.324526759232285,1511.633399715,True,1,0.0,1.0,0.7071067811865476
3604,70,99950.0,材料2,正弦波,0.0156442705,466.5996296,489.136602706921,4.830045220190415,1563.6448364750001,True,2,0.008568024587010014,0.9914037138738387,0.7010544682576968
10340,90,158510.0,材料4,正弦波,0.0116661605,615.8035297,687.0170834337341,11.56433022857584,1849.203100855,True,3,0.048042509690957975,0.94878018686345,0.6717484371853979
4182,90,79470.0,材料2,正弦波,0.024433962,743.7463851,708.4624152673902,-4.744086228784259,1941.76696014,True,4,0.05161418716799496,0.9363684534067566,0.66311760075132
668,70,141250.0,材料1,正弦波,0.01565415,684.4961366,715.1564398928259,4.479251474686251,2211.1486874999996,True,5,0.05270694897579333,0.9033558134276898,0.6398553540152414
681,70,158510.0,材料1,正弦波,0.0139552795,684.0462375,728.6114948343258,6.514948097251364,2212.051353545,True,6,0.05487280403391272,0.903252097479102,0.6398731812722507
940,90,141270.0,材料1,正弦波,0.0160249385,763.220977,771.3319298504313,1.0627266669625772,2263.8430618949997,True,7,0.0614935510518291,0.8973710484495508,0.6360252571307251
956,90,158500.0,材料1,正弦波,0.014441913,824.0751503,776.3983955323939,-5.785486281226857,2289.0432105,True,8,0.06225429778737442,0.8945580094882087,0.634077924995227
3622,70,158500.0,材料2,正弦波,0.0144905575,819.0847142,831.715646868105,1.5420789143210392,2296.75336375,True,9,0.07025160659331865,0.8937035260559236,0.6338932405041614
3631,70,199500.0,材料2,正弦波,0.011781823,845.8285981,845.4431003572801,-0.0455763429595444,2350.4736885,True,10,0.07215379811125683,0.8878283742085592,0.6298592670714996
7169,90,199500.0,材料3,正弦波,0.011879122,892.1198138,885.0215917990821,-0.795657925215546,2369.8848390000003,True,11,0.07746999396342928,0.8857384345302202,0.6287027017473119
957,90,158500.0,材料1,正弦波,0.015506596,1007.106866,943.6646809413112,-6.2994491647809685,2457.795466,True,12,0.08492512545540085,0.8764828064040691,0.622669409420267
924,90,125860.0,材料1,正弦波,0.019543829,941.8760287,956.0071221329424,1.5003135234736236,2459.7863179399997,True,13,0.08643505726351725,0.8762770551895191,0.622628499418298
941,90,141260.0,材料1,正弦波,0.0174502245,966.768255,962.4874638569688,-0.4427939292474118,2465.01871287,True,14,0.08722005375293794,0.8757370888963428,0.6223032968920004
994,90,199500.0,材料1,正弦波,0.0123632439999999,1150.367179,1091.4577689144166,-5.120922359484617,2466.46717799998,True,15,0.10183177414861676,0.8755878145168334,0.6233072000051899
718,70,199500.0,材料1,正弦波,0.0131203925,1126.803697,1212.5465174713247,7.60938402133452,2617.51830375,True,16,0.11405679410704893,0.8604834479243991,0.6137754949628731
925,90,125850.0,材料1,正弦波,0.021809472,1224.052589,1249.9987918014572,2.1196967380833076,2744.7220512,True,17,0.11759152362929161,0.8484250356998382,0.6056619550672346
701,70,177820.0,材料1,正弦波,0.0155208095,1240.280021,1289.951498223253,4.004859901170098,2759.91034529,True,18,0.12124734983853071,0.8470227490785097,0.6050406834665678
976,90,177820.0,材料1,正弦波,0.015533743,1367.287888,1322.384853673535,-3.2840950849163892,2762.21018026,True,19,0.12413280172323395,0.8468110856484783,0.6051850821198479
737,70,223850.0,材料1,正弦波,0.012342394,1429.962384,1381.7531646995835,-3.3713627602959666,2762.8448969,True,20,0.12923578757924215,0.8467527010514788,0.6056781428816802
485,50,223850.0,材料1,正弦波,0.013016064,1404.881552,1514.0523342635736,7.770817554558758,2913.6459264,True,21,0.13986054191874672,0.8332481056463009,0.5974376020761308
736,70,223850.0,材料1,正弦波,0.013129951,1627.797108,1521.674081416382,-6.51942591997884,2939.13953135,True,22,0.14044401597862569,0.8310343666977291,0.5959625157075318
958,90,158500.0,材料1,正弦波,0.0195796345,1670.793911,1562.250617388539,-6.496510006221884,3103.3720682499998,True,23,0.1435019280929352,0.8172176867697631,0.5867016068393338
926,90,125860.0,材料1,正弦波,0.0247504965,1610.815256,1678.8712452163036,4.224940691541568,3115.09748949,True,24,0.15186751231673776,0.8162593890197751,0.5870873578353613
6891,70,251170.0,材料3,正弦波,0.01241,1819.36,1887.2796990971567,3.733164359838449,3117.0197,True,25,0.1654643995049534,0.8161026343951071,0.5888132035587215
500,50,251170.0,材料1,正弦波,0.0131671239999999,1909.545944,2097.7730000605575,9.85716298955714,3307.186535079975,True,26,0.17775115821688356,0.8010539956851725,0.5802081429326135
739,70,223850.0,材料1,正弦波,0.015469663,2341.428255,2155.7579479164215,-7.92978843947445,3462.88406255,True,27,0.18091942184481608,0.7893638448397169,0.5726373707420793
942,90,141260.0,材料1,正弦波,0.0246207635,2077.609685,2157.1641792508135,3.829135704612082,3477.92905201,True,28,0.18099519474367287,0.7882622110974538,0.5718901004408744
927,90,125860.0,材料1,正弦波,0.02764971,2095.126964,2167.520227233022,3.455316287601462,3479.9925006000003,True,29,0.1815516999050825,0.7881114916996134,0.571874436868538
978,90,177820.0,材料1,正弦波,0.0196200404999999,2247.717152,2272.827506638126,1.117149220300382,3488.8356017099823,True,30,0.18706423778092804,0.7874665802546861,0.5723183747157562
472,50,199500.0,材料1,正弦波,0.0174952205,2220.87404,2333.784987903262,5.084077073694003,3490.2964897499996,True,31,0.1901396222446569,0.7873601976708485,0.572751759850469
908,90,112160.0,材料1,正弦波,0.0311427479999999,2138.530562,2339.033017228501,9.37571147175877,3492.970615679989,True,32,0.19040062572712582,0.7871655818084333,0.5726613534459482
516,50,281860.0,材料1,正弦波,0.0124418285,2268.111524,2356.838975657985,3.91195277300593,3506.85378101,True,33,0.19128183674735577,0.7861575901632466,0.5721155904363756
774,70,281860.0,材料1,正弦波,0.0124583905,2799.945547,2639.247388896285,-5.739331547925809,3511.52194633,True,34,0.20443225657186184,0.785819552811981,0.5741536889669374
943,90,141260.0,材料1,正弦波,0.0277811,2745.415547,2686.4306514394693,-2.1484869795024415,3924.358186,True,35,0.2064912414432968,0.7575741828185152,0.5552284553523599
959,90,158500.0,材料1,正弦波,0.024829772,2832.921144,2749.6012530053663,-2.941129906531335,3935.518862,True,36,0.20919197225340108,0.7568525271081364,0.5552418522793648
891,90,99950.0,材料1,正弦波,0.039422697,2992.093566,2880.7910984136665,-3.719885930409887,3940.29856515,True,37,0.21460785066328208,0.7565440944542001,0.5560645180281868
