因素,水平,Pareto解数量,Pareto解占比_percent,中位预测损耗_w每m3,中位传输磁能指标
温度,25,3,2.142857142857143,10637.81104556673,6240.298314299999
温度,50,10,7.142857142857142,11834.179709154538,6604.9709653125
温度,70,42,30.0,29337.68192447093,10461.636787264999
温度,90,85,60.71428571428571,18876.549378399217,8757.25909093
磁芯材料,材料1,114,81.42857142857143,25307.73866581085,9898.087734019999
磁芯材料,材料2,16,11.428571428571429,9510.552104731498,6230.7424128375
磁芯材料,材料3,7,5.0,5655.646878399416,4938.67746225
磁芯材料,材料4,3,2.142857142857143,10637.81104556673,6240.298314299999
励磁波形,三角波,46,32.857142857142854,460361.3751586924,34368.85102965
励磁波形,梯形波,3,2.142857142857143,10676.826421422062,6250.952890125
励磁波形,正弦波,91,65.0,5543.617101827794,4938.6224999999995
