样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,实际磁芯损耗_w每m3,第四问OOF预测损耗_w每m3,第四问预测相对误差_percent,传输磁能指标_f×B_m,Pareto最优,Pareto序号,对数损耗归一化代价,对数传输磁能归一化代价,等权理想点距离
1,25,50030.0,材料1,正弦波,0.028844394,1997.95525,2587.8860582198463,29.526727799326153,1443.08503182,False,,,,
2,25,50020.0,材料1,正弦波,0.031423238,2427.74983,3596.834615985503,48.155076422577814,1571.7903647599999,False,,,,
3,25,50020.0,材料1,正弦波,0.0355236345,3332.72576,3992.611474288169,19.80018044713554,1776.8921976899999,False,,,,
4,25,50020.0,材料1,正弦波,0.0400203025,4502.908007,5234.877345071881,16.255480612395306,2001.8155310500001,False,,,,
5,25,50030.0,材料1,正弦波,0.0450563825,6063.023248,6785.740026444803,11.920072691180993,2254.170816475,False,,,,
6,25,50020.0,材料1,正弦波,0.063383048,14273.85421,14971.24948870436,4.885823187235426,3170.42006096,False,,,,
7,25,50020.0,材料1,正弦波,0.1117555585,56401.52952,53898.42889165469,-4.438001326644359,5590.01303617,False,,,,
8,25,50020.0,材料1,正弦波,0.1252334064999999,73651.31728,69426.76546484018,-5.735880865646104,6264.174993129995,False,,,,
9,25,50020.0,材料1,正弦波,0.1572761085,125047.8122,117076.16720082617,-6.374877623947612,7866.95094717,False,,,,
10,25,50020.0,材料1,正弦波,0.1756022325,161776.6059,160237.52788617942,-0.951360059298026,8783.62366965,False,,,,
11,25,50020.0,材料1,正弦波,0.245980046,352985.6272,344902.99314670806,-2.2897912635724245,12303.92190092,False,,,,
12,25,50030.0,材料1,正弦波,0.2710715185,441717.9624,444722.2237616931,0.6801311283267593,13561.708070555,False,,,,
13,25,56320.0,材料1,正弦波,0.024847051,1759.006565,1769.389160636126,0.5902533761223397,1399.38591232,False,,,,
14,25,56310.0,材料1,正弦波,0.027844137,2364.873224,2127.4528396797377,-10.039455050308533,1567.90335447,False,,,,
15,25,56320.0,材料1,正弦波,0.0312015205,3132.233226,2908.675327085355,-7.137332464866867,1757.26963456,False,,,,
16,25,56320.0,材料1,正弦波,0.0354729705,4363.429973,4965.518952701441,13.798525092118869,1997.83769856,False,,,,
17,25,56320.0,材料1,正弦波,0.0397930445,5773.018252,5840.398534845329,1.1671586664737437,2241.14426624,False,,,,
18,25,56320.0,材料1,正弦波,0.049408238,9988.187279,9919.372287084872,-0.6889637728340335,2782.67196416,False,,,,
19,25,56310.0,材料1,正弦波,0.056044354,13463.78092,13677.056600192613,1.584069745785892,3155.8575737399997,False,,,,
20,25,56310.0,材料1,正弦波,0.07094689,23248.3141,22441.240887890388,-3.4715343600317734,3995.0193759,False,,,,
21,25,56320.0,材料1,正弦波,0.0879342835,39002.19859,36725.327780665786,-5.837801179541693,4952.45884672,False,,,,
22,25,56320.0,材料1,正弦波,0.0979317295,50069.23431,46501.36937656208,-7.125862783017108,5515.51500544,False,,,,
23,25,56320.0,材料1,正弦波,0.1108502594999999,66762.87637,61007.297764603696,-8.620926656153749,6243.086615039994,False,,,,
24,25,56310.0,材料1,正弦波,0.138671702,113796.1134,88318.98581453093,-22.388398710872913,7808.60353962,False,,,,
25,25,56310.0,材料1,正弦波,0.155136467,148257.1129,135992.3025833509,-8.272662320708877,8735.73445677,False,,,,
26,25,56320.0,材料1,正弦波,0.174635794,198685.0545,191154.97472361996,-3.789957828146574,9835.48791808,False,,,,
27,25,56320.0,材料1,正弦波,0.19410156,255933.2678,218822.8889566446,-14.500021494804436,10931.7998592,False,,,,
28,25,56320.0,材料1,正弦波,0.2166443665,331623.2171,300680.48393946694,-9.330689639622662,12201.410721279999,False,,,,
29,25,56320.0,材料1,正弦波,0.2383736835,416358.3168,357970.2650248702,-14.023510380165355,13425.20585472,False,,,,
30,25,56310.0,材料1,正弦波,0.266448117,534557.2986,511397.33985290735,-4.332549346486958,15003.69346827,False,,,,
31,25,63010.0,材料1,正弦波,0.022109243,1507.127686,1638.2577062674625,8.700657647361568,1393.10340143,False,,,,
32,25,63020.0,材料1,正弦波,0.0247796775,1987.49952,1955.954224981419,-1.5871850383431083,1561.61527605,False,,,,
33,25,63020.0,材料1,正弦波,0.027974751,2690.828365,2478.6425626298665,-7.885519757784083,1762.9688080199999,False,,,,
34,25,63020.0,材料1,正弦波,0.0355017039999999,4918.264521,5073.7400026640325,3.1611858410661617,2237.3173860799934,False,,,,
35,25,63020.0,材料1,正弦波,0.039510366,6538.643558,6170.162524586279,-5.6354353948975575,2489.9432653199997,False,,,,
36,25,63020.0,材料1,正弦波,0.049988672,11504.91656,11847.214435502909,2.9752312736713056,3150.28610944,False,,,,
37,25,63020.0,材料1,正弦波,0.0560852374999999,14827.08294,14629.927501145216,-1.3296980913413892,3534.4916672499935,False,,,,
