损耗权重,传输磁能权重,加权理想点距离,样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,第四问OOF预测损耗_w每m3,传输磁能指标_f×B_m,方案切换
0.1,0.9,0.2962163443961975,3166,90,396820.0,材料1,三角波,0.15373298,1237071.390117377,61004.3211236,是
0.15,0.85,0.35238359500411087,3148,90,396820.0,材料1,三角波,0.109153521,623778.2685364682,43314.30020322,是
0.2,0.8,0.39513572034531336,3146,90,396820.0,材料1,三角波,0.086600399,378392.82857970655,34364.77033118,是
0.25,0.75,0.4294681683431151,3162,90,396820.0,材料1,三角波,0.077459315,306172.7605404039,30737.4053783,是
0.3,0.7,0.4548990857254228,3144,90,396820.0,材料1,三角波,0.061705786,188247.0623968625,24486.09000052,是
0.35,0.65,0.4728698775446369,3143,90,396820.0,材料1,三角波,0.048930156,112145.47209128094,19416.46450392,是
0.4,0.6,0.4857533928165517,3160,90,396820.0,材料1,三角波,0.0346687819999999,51060.3732489886,13757.26607323996,是
0.45,0.55,0.4913043360979178,3160,90,396820.0,材料1,三角波,0.0346687819999999,51060.3732489886,13757.26607323996,否
0.5,0.5,0.49335599794555085,1017,90,223850.0,材料1,正弦波,0.044189563,24263.174056898108,9891.833677550001,是
0.55,0.44999999999999996,0.48778467353677585,1016,90,223850.0,材料1,正弦波,0.0390992665,17811.000024718654,8752.370806025,是
0.6,0.4,0.47924185898726196,1030,90,251170.0,材料1,正弦波,0.0310796809999999,13652.748177947757,7806.283476769975,是
0.65,0.35,0.4651803249219085,963,90,158500.0,材料1,正弦波,0.03889932,7934.120243320757,6165.54222,是
0.7,0.30000000000000004,0.44567111002143134,962,90,158500.0,材料1,正弦波,0.034789098,6067.621008303904,5514.0720329999995,是
0.75,0.25,0.41887782850478095,943,90,141260.0,材料1,正弦波,0.0277811,2686.4306514394693,3924.358186,是
0.8,0.19999999999999996,0.38586867549577447,943,90,141260.0,材料1,正弦波,0.0277811,2686.4306514394693,3924.358186,否
0.85,0.15000000000000002,0.34304605375492936,958,90,158500.0,材料1,正弦波,0.0195796345,1562.250617388539,3103.3720682499998,是
0.9,0.09999999999999998,0.2886403648702816,957,90,158500.0,材料1,正弦波,0.015506596,943.6646809413112,2457.795466,是
