样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,实际磁芯损耗_w每m3,第四问OOF预测损耗_w每m3,第四问预测相对误差_percent
1,25,50030.0,材料1,正弦波,0.028844394,1997.95525,2587.8860582198463,29.526727799326153
2,25,50020.0,材料1,正弦波,0.031423238,2427.74983,3596.834615985503,48.155076422577814
3,25,50020.0,材料1,正弦波,0.0355236345,3332.72576,3992.611474288169,19.80018044713554
4,25,50020.0,材料1,正弦波,0.0400203025,4502.908007,5234.877345071881,16.255480612395306
5,25,50030.0,材料1,正弦波,0.0450563825,6063.023248,6785.740026444803,11.920072691180993
6,25,50020.0,材料1,正弦波,0.063383048,14273.85421,14971.24948870436,4.885823187235426
7,25,50020.0,材料1,正弦波,0.1117555585,56401.52952,53898.42889165469,-4.438001326644359
8,25,50020.0,材料1,正弦波,0.1252334064999999,73651.31728,69426.76546484018,-5.735880865646104
9,25,50020.0,材料1,正弦波,0.1572761085,125047.8122,117076.16720082617,-6.374877623947612
10,25,50020.0,材料1,正弦波,0.1756022325,161776.6059,160237.52788617942,-0.9513600592980259
11,25,50020.0,材料1,正弦波,0.245980046,352985.6272,344902.99314670806,-2.2897912635724245
12,25,50030.0,材料1,正弦波,0.2710715185,441717.9624,444722.2237616931,0.6801311283267593
13,25,56320.0,材料1,正弦波,0.024847051,1759.006565,1769.389160636126,0.5902533761223397
14,25,56310.0,材料1,正弦波,0.027844137,2364.873224,2127.4528396797377,-10.039455050308533
15,25,56320.0,材料1,正弦波,0.0312015205,3132.233226,2908.675327085355,-7.137332464866867
16,25,56320.0,材料1,正弦波,0.0354729705,4363.429973,4965.518952701441,13.798525092118869
17,25,56320.0,材料1,正弦波,0.0397930445,5773.018252,5840.398534845329,1.1671586664737437
18,25,56320.0,材料1,正弦波,0.049408238,9988.187279,9919.372287084872,-0.6889637728340335
19,25,56310.0,材料1,正弦波,0.056044354,13463.78092,13677.056600192613,1.584069745785892
20,25,56310.0,材料1,正弦波,0.07094689,23248.3141,22441.240887890388,-3.4715343600317734
21,25,56320.0,材料1,正弦波,0.0879342835,39002.19859,36725.327780665786,-5.837801179541693
22,25,56320.0,材料1,正弦波,0.0979317295,50069.23431,46501.36937656208,-7.125862783017108
23,25,56320.0,材料1,正弦波,0.1108502594999999,66762.87637,61007.297764603696,-8.620926656153749
24,25,56310.0,材料1,正弦波,0.138671702,113796.1134,88318.98581453093,-22.388398710872913
25,25,56310.0,材料1,正弦波,0.155136467,148257.1129,135992.3025833509,-8.272662320708877
26,25,56320.0,材料1,正弦波,0.174635794,198685.0545,191154.97472361996,-3.789957828146574
27,25,56320.0,材料1,正弦波,0.19410156,255933.2678,218822.8889566446,-14.500021494804436
28,25,56320.0,材料1,正弦波,0.2166443665,331623.2171,300680.48393946694,-9.330689639622662
29,25,56320.0,材料1,正弦波,0.2383736835,416358.3168,357970.2650248702,-14.023510380165355
30,25,56310.0,材料1,正弦波,0.266448117,534557.2986,511397.33985290735,-4.332549346486958
31,25,63010.0,材料1,正弦波,0.022109243,1507.127686,1638.2577062674625,8.700657647361568
32,25,63020.0,材料1,正弦波,0.0247796775,1987.49952,1955.954224981419,-1.5871850383431085
33,25,63020.0,材料1,正弦波,0.027974751,2690.828365,2478.6425626298665,-7.885519757784083
34,25,63020.0,材料1,正弦波,0.0355017039999999,4918.264521,5073.7400026640325,3.1611858410661617
35,25,63020.0,材料1,正弦波,0.039510366,6538.643558,6170.162524586279,-5.6354353948975575
36,25,63020.0,材料1,正弦波,0.049988672,11504.91656,11847.214435502909,2.9752312736713056
37,25,63020.0,材料1,正弦波,0.0560852374999999,14827.08294,14629.927501145216,-1.3296980913413892
38,25,63020.0,材料1,正弦波,0.0631830195,19682.18168,22211.92188245321,12.852946099079038
39,25,63020.0,材料1,正弦波,0.071045913,26015.31362,24645.316271396256,-5.266118904484478
40,25,63020.0,材料1,正弦波,0.0787921845,33431.1089,36117.67821242338,8.036135805304921
41,25,63020.0,材料1,正弦波,0.0882656474999999,43311.21706,42268.17631901116,-2.408246204543029
42,25,63020.0,材料1,正弦波,0.099308841,56888.04649,58257.01518241131,2.406425913485981
43,25,63020.0,材料1,正弦波,0.110799353,73132.61212,69312.47947965082,-5.2235692526350626
44,25,63020.0,材料1,正弦波,0.1250592855,96561.45489,112681.47337412483,16.69405095696652
45,25,63020.0,材料1,正弦波,0.13987997,124836.8907,134091.1618552915,7.413090075697859
