118°50'50"E	32°22'07"N	6.5																																																																																											
Record	DateTime	10	SurTem(¡æ)	SurHum(%)	SurPre(hPa)	Tir(¡æ)	Rain	CloudBase(km)	Vint(mm)	Lqint(mm)	0.000(km)	0.025(km)	0.050(km)	0.075(km)	0.100(km)	0.125(km)	0.150(km)	0.175(km)	0.200(km)	0.225(km)	0.250(km)	0.275(km)	0.300(km)	0.325(km)	0.350(km)	0.375(km)	0.400(km)	0.425(km)	0.450(km)	0.475(km)	0.500(km)	0.550(km)	0.600(km)	0.650(km)	0.700(km)	0.750(km)	0.800(km)	0.850(km)	0.900(km)	0.950(km)	1.000(km)	1.050(km)	1.100(km)	1.150(km)	1.200(km)	1.250(km)	1.300(km)	1.350(km)	1.400(km)	1.450(km)	1.500(km)	1.550(km)	1.600(km)	1.650(km)	1.700(km)	1.750(km)	1.800(km)	1.850(km)	1.900(km)	1.950(km)	2.000(km)	2.250(km)	2.500(km)	2.750(km)	3.000(km)	3.250(km)	3.500(km)	3.750(km)	4.000(km)	4.250(km)	4.500(km)	4.750(km)	5.000(km)	5.250(km)	5.500(km)	5.750(km)	6.000(km)	6.250(km)	6.500(km)	6.750(km)	7.000(km)	7.250(km)	7.500(km)	7.750(km)	8.000(km)	8.250(km)	8.500(km)	8.750(km)	9.000(km)	9.250(km)	9.500(km)	9.750(km)	10.000(km)	QCflag
1	2025/8/2 0:00	11	25.6	94.5	997.3	-7.6	0	6.72	0	0	25.6	25.543	25.486	25.429	25.371	25.353	25.335	25.317	25.299	25.283	25.267	25.251	25.235	25.216	25.197	25.178	25.158	25.115	25.071	25.027	24.983	24.83	24.677	24.481	24.286	23.983	23.681	23.411	23.14	22.843	22.545	22.237	21.929	21.668	21.408	21.121	20.834	20.574	20.314	20.007	19.7	19.425	19.149	18.9	18.651	18.409	18.166	17.915	17.664	17.423	17.181	15.839	14.514	13.169	11.844	10.673	9.202	7.904	6.592	5.217	3.775	2.456	1.282	0.062	-1.128	-2.213	-3.659	-4.983	-6.369	-7.759	-9.043	-10.339	-11.671	-13.125	-14.666	-16.296	-17.86	-19.435	-21.102	-22.791	-24.488	-26.125	-27.954	9
2	2025/8/2 0:00	12	25.6	94.5	997.3	-7.6	0	6.72	0	0	22.498	21.772	21.047	20.321	19.596	19.082	18.567	18.053	17.539	16.644	15.75	14.855	13.961	13.247	12.533	11.819	11.105	10.454	9.803	9.151	8.5	7.802	7.104	6.719	6.333	5.799	5.265	4.227	3.189	3.045	2.901	2.932	2.962	2.457	1.951	1.372	0.792	0.721	0.651	0.535	0.419	0.493	0.568	0.689	0.809	0.994	1.179	1.183	1.187	1.139	1.091	0.871	0.205	0.211	2.159	2.301	2.628	1.972	1.339	1.516	1.925	2.115	0.403	1.241	1.075	0.648	0.192	0.285	0.759	0.542	0.521	0.663	0.47	0.169	0.56	0.178	0.012	0.018	0.016	0.339	0.009	0.262	0.161	9
3	2025/8/2 0:00	13	25.6	94.5	997.3	-7.6	0	6.72	0	0	94.5	92.1	89.7	87.301	84.901	84.014	83.126	82.239	81.352	78.214	75.077	71.94	68.802	64.406	60.011	55.615	51.219	48.698	46.176	43.655	41.133	41.394	41.655	40.746	39.837	36.985	34.134	30.233	26.332	22.874	19.415	18.033	16.652	15.455	14.258	8.96	3.662	3.606	3.55	2.951	2.352	2.831	3.31	4.077	4.845	5.454	6.063	6.477	6.891	6.701	6.511	5.566	5.909	16.455	40.262	41.531	31.604	37.022	32.436	22.181	9.816	22.43	10.949	8.297	1.004	1.002	1.001	1.005	1.002	1.009	1.009	1.002	1.002	1.008	9.418	1.006	1.003	1.552	1.007	17.047	35.044	29.922	28.445	9
4	2025/8/2 0:00	14	25.6	94.5	997.3	-7.6	0	6.72	0	0	2.023	1.792	1.561	1.329	1.098	1.156	1.213	1.27	1.327	1.198	1.068	0.939	0.809	0.78	0.751	0.722	0.693	0.58	0.467	0.354	0.241	0.177	0.113	0.063	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.025	0	0.033	0	0.017	0.073	0.069	0.058	0.026	0.018	0.017	0.018	0.014	0.014	0.014	0.02	0	0	0	0	0	0	0	0	0	9
5	2025/8/2 0:02	11	25.6	94.5	997.3	-7.6	0	6.73	0	0	25.6	25.54	25.48	25.42	25.36	25.34	25.32	25.3	25.28	25.261	25.243	25.224	25.205	25.185	25.165	25.144	25.124	25.079	25.034	24.99	24.945	24.791	24.637	24.443	24.249	23.948	23.647	23.38	23.112	22.816	22.521	22.215	21.908	21.648	21.388	21.103	20.818	20.56	20.302	19.998	19.693	19.418	19.143	18.895	18.648	18.406	18.164	17.914	17.664	17.424	17.184	15.849	14.528	13.188	11.869	10.701	9.232	7.936	6.626	5.253	3.812	2.493	1.317	0.095	-1.092	-2.175	-3.615	-4.937	-6.322	-7.71	-8.995	-10.291	-11.621	-13.073	-14.611	-16.239	-17.803	-19.378	-21.045	-22.733	-24.429	-26.068	-27.896	9
6	2025/8/2 0:02	12	25.6	94.5	997.3	-7.6	0	6.73	0	0	22.498	21.774	21.05	20.327	19.603	19.086	18.569	18.052	17.535	16.636	15.736	14.837	13.937	13.221	12.505	11.789	11.073	10.42	9.766	9.113	8.459	7.76	7.062	6.698	6.335	5.8	5.265	4.202	3.14	3.02	2.901	2.934	2.967	2.458	1.95	1.371	0.792	0.724	0.656	0.534	0.413	0.488	0.563	0.683	0.803	0.992	1.181	1.186	1.19	1.143	1.096	0.873	0.208	0.229	2.201	2.341	2.671	2.006	1.371	1.545	1.952	2.135	0.403	1.25	1.081	0.645	0.188	0.277	0.757	0.539	0.516	0.659	0.465	0.159	0.558	0.171	0.013	0.017	0.011	0.338	0.009	0.261	0.161	9
7	2025/8/2 0:02	13	25.6	94.5	997.3	-7.6	0	6.73	0	0	94.5	92.102	89.704	87.306	84.908	84.023	83.138	82.253	81.368	78.234	75.1	71.966	68.832	64.438	60.043	55.649	51.254	48.732	46.21	43.688	41.166	41.425	41.685	40.774	39.863	37.01	34.157	30.261	26.365	22.907	19.449	18.067	16.684	15.47	14.257	8.958	3.659	3.603	3.548	2.947	2.345	2.826	3.307	4.075	4.844	5.454	6.064	6.479	6.893	6.704	6.515	5.558	5.913	16.446	40.225	41.497	31.558	36.973	32.386	22.137	9.784	22.401	10.936	8.273	1.007	1.007	1.001	1.007	1.007	1.006	1.004	1.004	1.007	1	9.403	1.001	1.005	1.533	1.004	17.005	34.993	29.872	28.398	9
8	2025/8/2 0:02	14	25.6	94.5	997.3	-7.6	0	6.73	0	0	2.023	1.792	1.561	1.33	1.099	1.156	1.213	1.271	1.328	1.198	1.069	0.939	0.81	0.78	0.751	0.722	0.693	0.58	0.467	0.354	0.241	0.177	0.113	0.063	0.013	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.025	0	0.033	0	0.017	0.073	0.069	0.058	0.026	0.018	0.017	0.018	0.014	0.014	0.014	0.02	0	0	0	0	0	0	0	0	0	9
9	2025/8/2 0:04	11	25.6	94.5	997.3	-7.6	0	6.73	0	0	25.6	25.543	25.486	25.429	25.372	25.352	25.332	25.312	25.292	25.275	25.259	25.242	25.225	25.205	25.185	25.165	25.145	25.101	25.056	25.012	24.967	24.812	24.657	24.46	24.263	23.961	23.658	23.388	23.117	22.819	22.521	22.213	21.905	21.645	21.384	21.098	20.812	20.552	20.292	19.987	19.682	19.406	19.129	18.879	18.629	18.388	18.147	17.896	17.644	17.402	17.16	15.824	14.501	13.161	11.843	10.675	9.208	7.914	6.605	5.232	3.795	2.476	1.301	0.084	-1.107	-2.188	-3.633	-4.957	-6.342	-7.733	-9.017	-10.314	-11.644	-13.098	-14.637	-16.261	-17.828	-19.405	-21.071	-22.758	-24.452	-26.088	-27.917	9
10	2025/8/2 0:04	12	25.6	94.5	997.3	-7.6	0	6.73	0	0	22.498	21.771	21.044	20.318	19.591	19.074	18.557	18.041	17.524	16.625	15.726	14.828	13.929	13.214	12.499	11.785	11.07	10.417	9.765	9.112	8.46	7.762	7.065	6.703	6.341	5.8	5.26	4.198	3.136	3.018	2.899	2.932	2.966	2.459	1.952	1.373	0.794	0.725	0.656	0.537	0.417	0.493	0.569	0.685	0.801	0.989	1.178	1.184	1.19	1.14	1.09	0.87	0.208	0.234	2.209	2.346	2.667	1.998	1.367	1.538	1.94	2.127	0.393	1.242	1.069	0.634	0.179	0.259	0.75	0.534	0.514	0.66	0.465	0.148	0.558	0.163	0.018	0.01	0.008	0.34	0.006	0.261	0.162	9
11	2025/8/2 0:04	13	25.6	94.5	997.3	-7.6	0	6.73	0	0	94.5	92.102	89.704	87.306	84.908	84.022	83.136	82.249	81.363	78.228	75.092	71.956	68.82	64.425	60.031	55.637	51.242	48.723	46.204	43.684	41.165	41.43	41.695	40.788	39.881	37.032	34.182	30.283	26.383	22.922	19.46	18.078	16.697	15.48	14.263	8.962	3.66	3.602	3.544	2.949	2.353	2.831	3.309	4.073	4.837	5.452	6.067	6.481	6.896	6.705	6.515	5.563	5.937	16.489	40.266	41.503	31.561	36.959	32.365	22.094	9.739	22.303	10.847	8.206	1.004	1.005	1.003	1.008	1.002	1.008	1.01	1.004	1	1.003	9.368	1.009	1.005	1.53	1.005	17.016	35.023	29.898	28.445	9
12	2025/8/2 0:04	14	25.6	94.5	997.3	-7.6	0	6.73	0	0	2.022	1.791	1.56	1.329	1.098	1.155	1.212	1.269	1.326	1.197	1.067	0.937	0.808	0.779	0.75	0.72	0.691	0.579	0.466	0.353	0.24	0.176	0.112	0.062	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.025	0	0.033	0	0.017	0.073	0.069	0.058	0.026	0.018	0.017	0.018	0.014	0.014	0.014	0.02	0	0	0	0	0	0	0	0	0	9
13	2025/8/2 0:06	11	25.6	94.5	997.3	-7.6	0	6.73	0	0	25.6	25.539	25.478	25.416	25.355	25.333	25.31	25.288	25.265	25.244	25.223	25.202	25.18	25.157	25.134	25.111	25.088	25.041	24.995	24.948	24.901	24.746	24.592	24.397	24.202	23.903	23.604	23.337	23.07	22.776	22.481	22.177	21.872	21.613	21.355	21.07	20.785	20.527	20.269	19.965	19.662	19.389	19.115	18.867	18.619	18.377	18.135	17.885	17.634	17.395	17.155	15.825	14.509	13.172	11.858	10.693	9.229	7.931	6.623	5.25	3.815	2.5	1.322	0.101	-1.088	-2.178	-3.614	-4.94	-6.322	-7.709	-8.995	-10.296	-11.63	-13.083	-14.622	-16.248	-17.813	-19.391	-21.06	-22.751	-24.449	-26.09	-27.92	9
14	2025/8/2 0:06	12	25.6	94.5	997.3	-7.6	0	6.73	0	0	22.498	21.777	21.056	20.335	19.614	19.1	18.586	18.072	17.558	16.662	15.766	14.87	13.974	13.259	12.544	11.829	11.114	10.46	9.806	9.152	8.498	7.796	7.093	6.715	6.337	5.801	5.266	4.207	3.149	3.025	2.902	2.932	2.963	2.46	1.957	1.372	0.787	0.719	0.65	0.533	0.416	0.492	0.568	0.687	0.806	0.992	1.178	1.184	1.19	1.141	1.091	0.879	0.213	0.229	2.2	2.342	2.666	1.997	1.372	1.54	1.944	2.131	0.402	1.25	1.078	0.643	0.188	0.267	0.757	0.537	0.516	0.66	0.464	0.148	0.556	0.16	0.014	0.012	0.011	0.338	0.012	0.261	0.162	9
15	2025/8/2 0:06	13	25.6	94.5	997.3	-7.6	0	6.73	0	0	94.5	92.098	89.696	87.293	84.891	84.003	83.115	82.227	81.339	78.201	75.062	71.924	68.786	64.392	59.998	55.604	51.209	48.692	46.174	43.657	41.139	41.407	41.674	40.772	39.869	37.022	34.174	30.27	26.366	22.903	19.44	18.061	16.682	15.471	14.26	8.96	3.66	3.601	3.542	2.948	2.353	2.832	3.311	4.077	4.843	5.452	6.06	6.475	6.891	6.702	6.513	5.56	5.948	16.521	40.338	41.578	31.647	37.036	32.43	22.143	9.775	22.332	10.853	8.214	1.002	1.003	1.003	1.008	1.004	1.007	1.005	1.01	1	1.009	9.307	1.006	1.005	1.501	1.005	16.976	34.977	29.852	28.394	9
16	2025/8/2 0:06	14	25.6	94.5	997.3	-7.6	0	6.73	0	0	2.023	1.791	1.56	1.329	1.098	1.155	1.212	1.269	1.326	1.197	1.067	0.937	0.808	0.779	0.75	0.72	0.691	0.579	0.466	0.353	0.24	0.176	0.112	0.062	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.025	0	0.033	0	0.017	0.073	0.069	0.058	0.026	0.018	0.017	0.018	0.014	0.014	0.014	0.02	0	0	0	0	0	0	0	0	0	9
17	2025/8/2 0:08	11	25.6	94.5	997.3	-7.6	0	6.73	0	0	25.6	25.54	25.48	25.42	25.36	25.339	25.319	25.298	25.277	25.259	25.24	25.221	25.203	25.182	25.161	25.14	25.12	25.075	25.03	24.985	24.94	24.786	24.632	24.438	24.244	23.943	23.642	23.374	23.106	22.81	22.514	22.208	21.902	21.642	21.382	21.097	20.812	20.554	20.296	19.991	19.687	19.412	19.138	18.89	18.642	18.401	18.16	17.91	17.66	17.42	17.18	15.847	14.526	13.186	11.868	10.699	9.23	7.934	6.624	5.251	3.81	2.49	1.313	0.092	-1.095	-2.181	-3.622	-4.945	-6.331	-7.719	-9.003	-10.298	-11.627	-13.079	-14.617	-16.245	-17.809	-19.385	-21.052	-22.74	-24.437	-26.075	-27.904	9
