WNDROBS 01.20
58235 0118.8472 032.3686 00016.2 LC 20250802000000
ROBS
00100 152.4 002.6 -000.2 100 100 2.1E-016
00160 158.9 002.9 -000.1 100 100 2.0E-016
00220 171.0 002.8 0000.0 100 100 1.2E-016
00280 185.4 002.7 0000.2 100 100 1.6E-016
00340 206.1 003.0 0000.2 100 100 1.4E-016
00400 217.7 001.3 0000.0 100 100 1.6E-016
00460 236.2 001.2 0000.1 100 100 1.6E-016
00520 231.5 001.5 -000.0 100 100 1.5E-016
00580 239.0 001.6 -000.0 100 100 1.6E-016
00640 266.1 001.5 0000.0 100 100 1.5E-016
00700 283.4 002.4 0000.1 100 100 1.6E-016
00760 277.7 002.6 0000.0 100 100 9.7E-017
00820 265.5 002.9 -000.1 100 100 7.5E-017
00940 251.6 002.3 -000.0 100 100 2.5E-017
01060 246.3 001.6 0000.0 100 100 3.3E-017
01180 232.9 001.2 0000.1 100 100 1.4E-016
01300 224.9 001.1 -000.1 100 100 1.5E-016
01420 242.8 000.9 -000.0 100 100 5.0E-017
01540 264.6 001.1 0000.0 100 100 4.6E-017
01660 274.0 001.3 0000.1 100 100 5.3E-017
01780 288.5 001.6 0000.1 100 100 6.5E-017
01900 281.7 001.6 0000.0 100 100 5.3E-017
02020 292.8 002.1 -000.1 100 100 6.6E-017
02260 261.0 002.1 -000.1 100 100 2.4E-017
02500 236.9 002.4 0000.0 100 100 2.7E-017
02740 233.1 002.7 0000.0 100 100 3.5E-017
02980 225.0 003.0 0000.0 100 100 3.1E-017
03220 219.0 002.9 0000.1 100 100 2.1E-017
03460 221.6 003.0 0000.1 100 100 1.6E-017
03700 248.0 003.2 0000.1 100 100 2.1E-017
03940 266.6 003.2 0000.1 100 100 2.6E-017
04180 274.5 003.6 0000.0 100 100 2.9E-017
04420 272.2 004.4 0000.2 100 100 2.8E-017
04660 ///// ///// ////// /// /// ////////
04900 ///// ///// ////// /// /// ////////
05140 ///// ///// ////// /// /// ////////
05380 ///// ///// ////// /// /// ////////
05620 ///// ///// ////// /// /// ////////
05860 ///// ///// ////// /// /// ////////
06100 ///// ///// ////// /// /// ////////
06340 ///// ///// ////// /// /// ////////
06580 ///// ///// ////// /// /// ////////
06820 ///// ///// ////// /// /// ////////
07060 ///// ///// ////// /// /// ////////
07300 ///// ///// ////// /// /// ////////
07540 ///// ///// ////// /// /// ////////
07780 ///// ///// ////// /// /// ////////
08020 ///// ///// ////// /// /// ////////
08260 ///// ///// ////// /// /// ////////
08500 ///// ///// ////// /// /// ////////
08740 ///// ///// ////// /// /// ////////
08980 ///// ///// ////// /// /// ////////
09220 ///// ///// ////// /// /// ////////
09460 ///// ///// ////// /// /// ////////
09700 ///// ///// ////// /// /// ////////
09940 ///// ///// ////// /// /// ////////
10180 ///// ///// ////// /// /// ////////
10420 ///// ///// ////// /// /// ////////
10660 ///// ///// ////// /// /// ////////
10900 ///// ///// ////// /// /// ////////
11140 ///// ///// ////// /// /// ////////
11380 ///// ///// ////// /// /// ////////
NNNN
