WNDROBS 01.20
58235 0118.8472 032.3686 00016.2 LC 20250802003000
ROBS
00100 123.0 002.2 0000.1 100 100 2.3E-016
00160 147.2 002.6 0000.1 100 100 4.2E-016
00220 166.9 003.0 0000.1 100 100 1.2E-016
00280 180.6 003.7 0000.1 100 100 2.0E-016
00340 189.1 003.4 0000.1 100 100 2.2E-016
00400 180.9 002.8 -000.1 100 100 2.1E-016
00460 191.0 002.4 -000.1 100 100 2.1E-016
00520 210.1 001.3 0000.1 100 100 1.2E-016
00580 211.1 001.1 0000.1 100 100 1.4E-016
00640 203.0 001.2 0000.1 100 100 2.2E-016
00700 231.7 001.6 0000.2 100 100 1.3E-016
00760 236.1 001.5 0000.2 100 100 1.1E-016
00820 239.3 001.0 0000.1 100 100 1.1E-016
00940 273.1 002.3 0000.1 100 100 5.5E-017
01060 261.0 002.0 0000.2 100 100 1.6E-016
01180 264.6 002.1 0000.1 100 100 1.9E-016
01300 258.9 002.0 -000.0 100 100 2.0E-016
01420 249.0 002.0 -000.1 100 100 1.7E-016
01540 243.8 002.0 -000.1 100 100 2.0E-016
01660 248.1 002.1 -000.3 100 100 1.9E-016
01780 258.1 001.7 -000.2 100 100 1.8E-016
01900 248.5 001.4 -000.1 100 100 1.2E-016
02020 262.8 002.5 -000.1 100 100 1.4E-016
02260 261.9 002.4 -000.1 100 100 7.8E-017
02500 257.6 002.7 -000.1 100 100 5.4E-017
02740 246.6 003.1 -000.1 100 100 8.0E-017
02980 242.1 003.1 -000.0 100 100 8.8E-017
03220 244.1 003.2 -000.0 100 100 4.8E-017
03460 249.1 004.2 -000.2 100 100 7.3E-017
03700 269.1 004.4 -000.1 100 100 3.7E-017
03940 287.8 004.4 0000.1 100 100 2.4E-017
04180 291.6 004.8 0000.1 100 100 4.8E-017
04420 298.9 005.0 0000.2 100 100 3.6E-017
04660 292.8 003.9 0000.1 100 100 4.8E-017
04900 283.9 003.7 0000.0 100 100 3.5E-017
05140 291.2 005.0 0000.1 100 100 4.5E-017
05380 289.1 005.5 0000.1 100 100 2.4E-017
05620 ///// ///// ////// /// /// ////////
05860 ///// ///// ////// /// /// ////////
06100 ///// ///// ////// /// /// ////////
06340 ///// ///// ////// /// /// ////////
06580 ///// ///// ////// /// /// ////////
06820 ///// ///// ////// /// /// ////////
07060 ///// ///// ////// /// /// ////////
07300 ///// ///// ////// /// /// ////////
07540 ///// ///// ////// /// /// ////////
07780 ///// ///// ////// /// /// ////////
08020 ///// ///// ////// /// /// ////////
08260 ///// ///// ////// /// /// ////////
08500 ///// ///// ////// /// /// ////////
08740 ///// ///// ////// /// /// ////////
08980 ///// ///// ////// /// /// ////////
09220 ///// ///// ////// /// /// ////////
09460 ///// ///// ////// /// /// ////////
09700 ///// ///// ////// /// /// ////////
09940 ///// ///// ////// /// /// ////////
10180 ///// ///// ////// /// /// ////////
10420 ///// ///// ////// /// /// ////////
10660 ///// ///// ////// /// /// ////////
10900 ///// ///// ////// /// /// ////////
11140 ///// ///// ////// /// /// ////////
11380 ///// ///// ////// /// /// ////////
NNNN
