118°35'24"E,32°03'55"N	9.4																																																																																											
Record	DateTime	10	SurTem(??)	SurHum(%)	SurPre(hPa)	Tir(??)	Rain	CloudBase(km)	Vint(mm)	Lqint(mm)	0.000(km)	0.025(km)	0.050(km)	0.075(km)	0.100(km)	0.125(km)	0.150(km)	0.175(km)	0.200(km)	0.225(km)	0.250(km)	0.275(km)	0.300(km)	0.325(km)	0.350(km)	0.375(km)	0.400(km)	0.425(km)	0.450(km)	0.475(km)	0.500(km)	0.550(km)	0.600(km)	0.650(km)	0.700(km)	0.750(km)	0.800(km)	0.850(km)	0.900(km)	0.950(km)	1.000(km)	1.050(km)	1.100(km)	1.150(km)	1.200(km)	1.250(km)	1.300(km)	1.350(km)	1.400(km)	1.450(km)	1.500(km)	1.550(km)	1.600(km)	1.650(km)	1.700(km)	1.750(km)	1.800(km)	1.850(km)	1.900(km)	1.950(km)	2.000(km)	2.250(km)	2.500(km)	2.750(km)	3.000(km)	3.250(km)	3.500(km)	3.750(km)	4.000(km)	4.250(km)	4.500(km)	4.750(km)	5.000(km)	5.250(km)	5.500(km)	5.750(km)	6.000(km)	6.250(km)	6.500(km)	6.750(km)	7.000(km)	7.250(km)	7.500(km)	7.750(km)	8.000(km)	8.250(km)	8.500(km)	8.750(km)	9.000(km)	9.250(km)	9.500(km)	9.750(km)	10.000(km)	QCflag
1	2025/8/2 0:02	11	25.3	99.2	991.3	24.1	0	0.52	65.12	0.24	25.3	25.25	25.199	25.149	25.098	25.038	24.978	24.918	24.858	24.833	24.808	24.783	24.758	24.699	24.639	24.58	24.52	24.44	24.359	24.279	24.198	23.988	23.778	23.505	23.233	22.924	22.615	22.306	21.997	21.678	21.358	21.008	20.659	20.426	20.193	19.895	19.598	19.326	19.055	18.775	18.496	18.265	18.035	17.809	17.583	17.432	17.281	17.083	16.885	16.69	16.495	15.417	14.37	13.126	12.043	10.915	9.685	8.503	7.384	6.128	4.805	3.439	2.306	1.323	0.168	-1.132	-2.641	-4.028	-5.265	-6.566	-7.654	-8.929	-10.103	-11.552	-13.134	-14.691	-16.281	-17.87	-19.617	-21.256	-22.988	-24.579	-26.609	9
2	2025/8/2 0:02	12	25.3	99.2	991.3	24.1	0	0.52	65.12	0.24	23.175	22.958	22.74	22.522	22.305	22.219	22.134	22.048	21.963	21.914	21.866	21.817	21.769	21.609	21.45	21.291	21.131	20.864	20.598	20.331	20.064	19.505	18.946	18.383	17.819	17.563	17.306	16.673	16.04	15.799	15.557	15.052	14.547	14.033	13.519	13.191	12.862	12.902	12.941	12.717	12.493	12.36	12.227	12.112	11.997	12.161	12.324	12.313	12.302	11.89	11.478	11.257	11.521	9.797	9.485	8.6	7.624	6.826	7.103	6.553	6.531	5.967	5.471	5.037	4.648	4.354	4.363	3.191	3.168	2.574	2.372	2.142	1.782	0.996	1.288	0.657	0.361	0.249	0.165	0.488	0.009	0.377	0.345	9
3	2025/8/2 0:02	13	25.3	99.2	991.3	24.1	0	0.52	65.12	0.24	98.998	97.439	95.88	94.322	92.763	91.09	89.417	87.743	86.07	84.286	82.503	80.719	78.935	78.187	77.439	76.691	75.943	75.98	76.017	76.054	76.091	76.849	77.607	78.443	79.279	78.449	77.619	71.244	64.869	59.004	53.14	50.103	47.066	41.24	35.414	32.616	29.817	27.527	25.237	26.589	27.941	29.585	31.228	30.645	30.062	32.716	35.37	41.15	46.93	49.533	52.137	64.569	72.003	83.569	95.991	96.662	95.369	94.758	94.453	94.147	93.842	93.542	93.236	92.999	92.999	92.307	91.9	91.9	91.59	74.381	77.512	49.439	33.61	24.316	27.186	26.161	28.048	32.279	25.482	29.451	51.979	66.002	75.902	9
4	2025/8/2 0:02	14	25.3	99.2	991.3	24.1	0	0.52	65.12	0.24	0	0.062	0.124	0.186	0.248	0.264	0.281	0.297	0.314	0.235	0.157	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0.127	0.083	0.039	0.02	0	0	0	0	0	0.236	0.473	0.475	0.478	0.288	0.099	0.05	0	0	0	0.33	0	0	0.115	0.138	0	0.152	0.082	0.079	0.219	0.246	0.313	0.205	0.136	0.11	0.147	0.11	0.065	0.06	0.055	0.054	0.045	0	0	0	0	0	0	0	0	0	0	9
5	2025/8/2 0:04	11	25.3	99.2	991.3	23.7	0	0.59	65.12	0.13	25.3	25.243	25.187	25.13	25.073	25.008	24.943	24.878	24.813	24.78	24.748	24.715	24.683	24.618	24.554	24.489	24.424	24.34	24.255	24.17	24.086	23.872	23.658	23.386	23.115	22.806	22.498	22.192	21.886	21.571	21.255	20.909	20.562	20.331	20.1	19.802	19.504	19.237	18.971	18.693	18.415	18.187	17.959	17.738	17.517	17.368	17.22	17.024	16.829	16.636	16.444	15.374	14.34	13.11	12.038	10.922	9.692	8.507	7.391	6.14	4.819	3.454	2.32	1.335	0.187	-1.127	-2.636	-4.022	-5.259	-6.556	-7.647	-8.917	-10.086	-11.536	-13.114	-14.679	-16.266	-17.854	-19.608	-21.248	-22.984	-24.578	-26.607	9
6	2025/8/2 0:04	12	25.3	99.2	991.3	23.7	0	0.59	65.12	0.13	23.174	22.935	22.696	22.457	22.218	22.13	22.043	21.955	21.867	21.814	21.76	21.707	21.653	21.49	21.327	21.164	21.001	20.721	20.44	20.16	19.879	19.304	18.728	18.155	17.582	17.347	17.111	16.423	15.736	15.496	15.257	14.704	14.151	13.602	13.054	12.699	12.343	12.409	12.475	12.242	12.008	11.901	11.793	11.711	11.629	11.888	12.148	12.203	12.258	11.845	11.433	11.407	11.84	10.024	9.815	8.865	7.832	6.939	7.295	6.664	6.565	5.967	5.467	5.042	4.647	4.352	4.329	3.032	3.11	2.508	2.314	2.099	1.724	0.856	1.255	0.553	0.246	0.139	0.069	0.474	0.01	0.369	0.347	9
7	2025/8/2 0:04	13	25.3	99.2	991.3	23.7	0	0.59	65.12	0.13	98.993	96.6	94.207	91.815	89.422	86.612	83.802	80.992	78.182	74.671	71.159	67.648	64.137	62.629	61.12	59.612	58.103	57.928	57.754	57.579	57.405	58.884	60.364	62.491	64.619	63.754	62.889	52.786	42.684	35.191	27.698	25.228	22.758	18.507	14.256	10.033	5.81	4.681	3.552	3.58	3.609	5.449	7.289	7.891	8.493	12.554	16.615	24.557	32.499	37.381	42.263	67.153	78.625	93.299	95.993	96.659	95.366	94.76	94.46	94.149	93.845	93.544	93.241	92.994	92.995	92.309	91.894	91.901	89.88	71.096	71.631	28.748	14.274	4.894	12.656	11.054	12.15	18.857	13.885	23.904	48.162	60.836	67.007	9
8	2025/8/2 0:04	14	25.3	99.2	991.3	23.7	0	0.59	65.12	0.13	0	0.056	0.113	0.169	0.226	0.234	0.242	0.25	0.258	0.194	0.129	0.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.165	0.129	0.093	0.046	0	0	0	0	0	0.276	0.551	0.556	0.56	0.341	0.122	0.061	0	0	0	0.396	0	0	0.115	0.139	0	0.141	0.042	0.027	0.179	0.21	0.286	0.176	0.112	0.085	0.144	0.115	0.064	0.06	0.055	0.054	0.046	0	0	0	0	0	0	0	0	0	0	9
9	2025/8/2 0:02	11	25.3	99.2	991.3	23.7	0	0.58	65.08	0.13	25.3	25.24	25.18	25.121	25.061	24.994	24.928	24.861	24.795	24.76	24.726	24.692	24.657	24.592	24.527	24.461	24.396	24.312	24.227	24.142	24.058	23.845	23.632	23.362	23.092	22.785	22.478	22.175	21.872	21.558	21.245	20.9	20.554	20.324	20.093	19.797	19.5	19.236	18.972	18.695	18.418	18.192	17.966	17.748	17.529	17.382	17.234	17.041	16.848	16.657	16.467	15.405	14.372	13.144	12.074	10.957	9.725	8.539	7.424	6.173	4.848	3.479	2.343	1.355	0.21	-1.107	-2.613	-3.998	-5.237	-6.532	-7.621	-8.886	-10.051	-11.497	-13.073	-14.641	-16.226	-17.814	-19.567	-21.208	-22.945	-24.541	-26.571	9
10	2025/8/2 0:02	12	25.3	99.2	991.3	23.7	0	0.58	65.08	0.13	23.176	22.936	22.696	22.456	22.215	22.124	22.033	21.942	21.851	21.794	21.738	21.681	21.624	21.461	21.297	21.133	20.97	20.69	20.411	20.132	19.852	19.28	18.708	18.139	17.571	17.334	17.097	16.41	15.722	15.484	15.246	14.693	14.139	13.597	13.055	12.699	12.342	12.407	12.471	12.235	11.999	11.889	11.779	11.698	11.616	11.877	12.138	12.19	12.243	11.83	11.418	11.39	11.812	10.008	9.816	8.881	7.858	6.964	7.319	6.68	6.561	5.969	5.465	5.04	4.638	4.356	4.313	3.015	3.097	2.498	2.303	2.086	1.712	0.844	1.246	0.545	0.24	0.133	0.065	0.468	0.01	0.366	0.344	9
