WNDROBS 01.20
58238 0118.8994 031.9317 00040.6 LC 20250802000600
ROBS
00100 156.9 004.9 -000.2 100 100 2.0E-015
00160 171.6 005.0 -000.1 100 100 2.5E-015
00220 185.3 005.1 -000.1 100 100 2.2E-015
00280 198.1 005.3 0000.0 100 100 7.0E-016
00340 208.2 006.0 0000.1 100 100 8.8E-016
00400 214.3 006.6 0000.1 100 100 1.3E-015
00460 216.1 007.3 0000.1 100 100 7.7E-016
00520 220.6 007.4 0000.1 100 100 1.1E-015
00580 225.5 007.5 0000.1 100 100 1.4E-015
00640 228.3 007.7 0000.1 100 100 2.1E-015
00700 230.3 007.7 0000.2 100 100 1.3E-015
00760 231.3 007.7 0000.1 100 100 6.6E-016
00820 232.7 007.6 0000.0 100 100 1.2E-015
00940 238.1 007.4 0000.0 100 100 1.8E-016
01060 244.9 006.9 -000.0 100 100 1.1E-016
01180 252.5 006.4 -000.0 100 100 2.0E-016
01300 255.3 006.2 -000.0 100 100 3.6E-016
01420 257.4 006.2 -000.0 100 100 3.0E-016
01540 258.4 006.2 -000.0 100 100 1.8E-016
01660 261.0 005.9 -000.1 100 100 6.0E-017
01780 261.3 006.3 -000.1 100 100 1.7E-016
01900 262.4 006.3 -000.1 100 100 1.9E-016
02020 251.8 006.2 -000.0 100 100 2.0E-016
02260 252.5 006.1 -000.0 100 100 4.0E-017
02500 253.5 005.7 -000.0 100 100 7.2E-017
02740 256.3 005.6 -000.0 100 100 3.6E-017
02980 257.0 005.5 -000.0 100 100 5.0E-017
03220 252.4 005.5 -000.0 100 100 6.8E-017
03460 258.1 005.0 -000.1 100 100 9.2E-017
03700 258.3 005.1 -000.1 100 100 7.6E-017
03940 257.7 005.5 -000.1 100 100 2.9E-017
04180 260.7 005.5 -000.0 100 100 2.2E-017
04420 269.2 005.3 0000.1 100 100 3.1E-017
04660 273.5 005.3 0000.2 100 100 4.9E-017
04900 277.1 005.1 0000.3 100 100 6.5E-017
05140 284.4 005.3 0000.1 100 100 6.2E-017
05380 285.4 005.9 0000.1 100 100 5.1E-017
05620 288.6 007.1 0000.1 100 100 4.9E-017
05860 289.3 007.4 0000.0 100 100 1.0E-016
06100 292.1 007.7 0000.1 100 100 4.9E-017
06340 293.1 007.8 0000.2 100 100 2.8E-017
06580 ///// ///// ////// /// /// ////////
06820 ///// ///// ////// /// /// ////////
07060 ///// ///// ////// /// /// ////////
07300 ///// ///// ////// /// /// ////////
07540 ///// ///// ////// /// /// ////////
07780 ///// ///// ////// /// /// ////////
08020 ///// ///// ////// /// /// ////////
08260 ///// ///// ////// /// /// ////////
08500 ///// ///// ////// /// /// ////////
08740 ///// ///// ////// /// /// ////////
08980 ///// ///// ////// /// /// ////////
09220 ///// ///// ////// /// /// ////////
09460 ///// ///// ////// /// /// ////////
09700 ///// ///// ////// /// /// ////////
09940 ///// ///// ////// /// /// ////////
10180 ///// ///// ////// /// /// ////////
10420 ///// ///// ////// /// /// ////////
10660 ///// ///// ////// /// /// ////////
10900 ///// ///// ////// /// /// ////////
11140 ///// ///// ////// /// /// ////////
11380 ///// ///// ////// /// /// ////////
NNNN
