height_agl_m,finite_cells,coverage_fraction,mean_observation_coverage,p10_observation_coverage,mean_turbulence_index,p90_turbulence_index,mean_uncertainty,radar_mean_contribution,wpr_mean_contribution,surface_mean_contribution
0.0,1570360,1.0,0.9703460335731506,0.9462050199508667,0.4211074113845825,0.7407686114311218,0.3914332091808319,0.10665793716907501,0.0,0.8933423161506653
50.0,1570360,1.0,0.8546992540359497,0.8028579950332642,0.4345259666442871,0.7450422048568726,0.4399419128894806,0.163626566529274,0.0,0.8363732099533081
100.0,1570360,1.0,0.8512481451034546,0.764934778213501,0.4953559339046478,0.6815184354782104,0.4266866445541382,0.1770029217004776,0.28514721989631653,0.5378495454788208
150.0,1570360,1.0,0.8124802708625793,0.6822797656059265,0.4981048107147217,0.6830765604972839,0.4428597092628479,0.22810794413089752,0.30515506863594055,0.46673688292503357
200.0,1570360,1.0,0.7849127650260925,0.6100711226463318,0.5046823024749756,0.6934223175048828,0.4546964168548584,0.2825632393360138,0.31913596391677856,0.39830079674720764
250.0,1570360,1.0,0.7659108638763428,0.5465390086174011,0.5162757039070129,0.7142568826675415,0.4610186815261841,0.33494290709495544,0.329417884349823,0.3356391191482544
300.0,1570360,1.0,0.7603579759597778,0.4994155168533325,0.524090588092804,0.7290587425231934,0.4606035053730011,0.38035959005355835,0.3408513069152832,0.27878913283348083
350.0,1570360,1.0,0.757864773273468,0.4590938985347748,0.5198612213134766,0.7339534759521484,0.4618690609931946,0.42460814118385315,0.33867478370666504,0.23671725392341614
400.0,1570360,1.0,0.7594310641288757,0.423808753490448,0.5088976621627808,0.7288732528686523,0.46068063378334045,0.45811301469802856,0.3442085385322571,0.1976783722639084
450.0,1570360,1.0,0.763827383518219,0.392071008682251,0.4904625713825226,0.7085372805595398,0.4546619951725006,0.4741112291812897,0.3652842342853546,0.1606045514345169
500.0,1570360,1.0,0.7640131115913391,0.3627679944038391,0.48372048139572144,0.7054752707481384,0.45376649498939514,0.5231971144676208,0.34226492047309875,0.13453799486160278
550.0,1570360,1.0,0.7638278007507324,0.33512023091316223,0.47705721855163574,0.702841579914093,0.45121046900749207,0.5629281401634216,0.3248322904109955,0.11223933845758438
600.0,1570360,1.0,0.7702323794364929,0.3223058581352234,0.4695667028427124,0.6975688934326172,0.44212520122528076,0.5830509662628174,0.3268076181411743,0.09014151990413666
650.0,1570360,1.0,0.7745875716209412,0.31009945273399353,0.46084341406822205,0.6914223432540894,0.43549996614456177,0.5970814228057861,0.3297180235385895,0.07320062816143036
700.0,1570360,1.0,0.776577353477478,0.29801294207572937,0.4512777626514435,0.68919837474823,0.4352583587169647,0.6191067099571228,0.319661408662796,0.06123201921582222
750.0,1570360,1.0,0.7765814065933228,0.2856687307357788,0.44467705488204956,0.68150794506073,0.43598151206970215,0.6320980787277222,0.31618353724479675,0.05171870440244675
800.0,1570360,1.0,0.7753371000289917,0.27228671312332153,0.43258699774742126,0.6635800004005432,0.43650972843170166,0.6341636180877686,0.32208961248397827,0.04374676197767258
