point_key,latitude_deg,longitude_deg,height_agl_m,radar_turbulence_index,radar_uncertainty,radar_coverage,contributing_radars
32.2086_118.7511,32.2086,118.7511,0.0,0.4235733437782118,0.40848181899357,0.6847172122216284,1
32.2086_118.7511,32.2086,118.7511,50.0,0.4821513097591106,0.40110329145051643,0.8034873441020769,2
32.2086_118.7511,32.2086,118.7511,100.0,0.5237650955333771,0.39956803330377244,0.8830588752860483,2
32.2086_118.7511,32.2086,118.7511,150.0,0.6169207194485881,0.4021119988636364,0.9353030467295667,3
32.2086_118.7511,32.2086,118.7511,200.0,0.6498558015983049,0.3951224796023026,0.9634855895327552,3
32.2086_118.7511,32.2086,118.7511,250.0,0.7102947257090618,0.3812345035622513,0.9785233403016593,3
32.2086_118.7511,32.2086,118.7511,300.0,0.7614007303509684,0.3607910013070538,0.9865150602884805,3
32.2086_118.7511,32.2086,118.7511,350.0,0.8003207261590201,0.3384420658580075,0.990749967656718,3
32.2086_118.7511,32.2086,118.7511,400.0,0.8277099067982685,0.3180836447543045,0.9929348074703557,3
32.2086_118.7511,32.2086,118.7511,450.0,0.8456937115178133,0.3018934029208679,0.9938830350188568,3
32.2086_118.7511,32.2086,118.7511,500.0,0.8565842674757262,0.29056946556698804,0.9939850613872665,3
32.2086_118.7511,32.2086,118.7511,550.0,0.8623483386369101,0.2839785928160061,0.9931462872509003,3
32.2086_118.7511,32.2086,118.7511,600.0,0.8571529867337244,0.27669185351751774,0.9915211765987475,4
32.2086_118.7511,32.2086,118.7511,650.0,0.8502908841414113,0.27445318331960933,0.9880829403085049,4
32.2086_118.7511,32.2086,118.7511,700.0,0.8391947753059872,0.2729174621513858,0.9824767596158803,4
32.2086_118.7511,32.2086,118.7511,750.0,0.8257460824206505,0.2706440161665755,0.9745974181238781,4
32.2086_118.7511,32.2086,118.7511,800.0,0.8130113854203087,0.26681236202416553,0.9658151450733938,4
32.2086_118.7511,32.2086,118.7511,850.0,0.8026510507214527,0.26237179941611366,0.9592398405378149,4
32.2086_118.7511,32.2086,118.7511,900.0,0.7976701909357344,0.25750897072291806,0.9562066026348317,4
32.2086_118.7511,32.2086,118.7511,950.0,0.796141005076377,0.25454724961836234,0.9558338833458345,4
32.2086_118.7511,32.2086,118.7511,1000.0,0.7977577907165568,0.25273282445219003,0.955437706241954,4
32.2086_118.7511,32.2086,118.7511,1050.0,0.8015547427022435,0.2519706088882938,0.9525735061291333,4
32.2086_118.7511,32.2086,118.7511,1100.0,0.807305192142692,0.25191910437978965,0.9460451201112603,4
32.2086_118.7511,32.2086,118.7511,1150.0,0.8148770332637623,0.2526982310215024,0.9343148255831709,4
32.2086_118.7511,32.2086,118.7511,1200.0,0.8252411648676086,0.2528038625197762,0.9192418975872834,4
32.2086_118.7511,32.2086,118.7511,1250.0,0.8408078876979096,0.25051924710775675,0.9045128245391805,4
32.2086_118.7511,32.2086,118.7511,1300.0,0.8599431877233203,0.24398989665630696,0.897835978522245,4
32.2086_118.7511,32.2086,118.7511,1350.0,0.8791293182590805,0.23258560832401284,0.9009027611371656,4
32.2086_118.7511,32.2086,118.7511,1400.0,0.8929465701049947,0.22053019842876057,0.9093354252669094,4
32.2086_118.7511,32.2086,118.7511,1450.0,0.8959077569669074,0.21390292865465557,0.9177392392533443,4
32.2086_118.7511,32.2086,118.7511,1500.0,0.8880601567250644,0.21445027728714067,0.9225313714199874,4
32.2086_118.7511,32.2086,118.7511,1550.0,0.8750329780285037,0.21944293090410252,0.9220878799565732,4
32.2086_118.7511,32.2086,118.7511,1600.0,0.8621032120478677,0.22744402207153477,0.9156456300951967,4
32.2086_118.7511,32.2086,118.7511,1650.0,0.8475050610165826,0.23902429621571716,0.9050840736440573,4
32.2086_118.7511,32.2086,118.7511,1700.0,0.8295994448680293,0.2559757991271844,0.8929312988594402,4
32.2086_118.7511,32.2086,118.7511,1750.0,0.8033231587537252,0.27936055598785003,0.8797225095441109,4
32.2086_118.7511,32.2086,118.7511,1800.0,0.7635499920947009,0.3080781655475075,0.8659911356925175,4
32.2086_118.7511,32.2086,118.7511,1850.0,0.7079579683273806,0.33688508712831267,0.8496899980610424,4
32.2086_118.7511,32.2086,118.7511,1900.0,0.6420639822949658,0.3584109091605125,0.8264358415036315,4
32.2086_118.7511,32.2086,118.7511,1950.0,0.5779438142717811,0.3706249780427825,0.7903992977341419,4
32.2086_118.7511,32.2086,118.7511,2000.0,0.5242845231619448,0.379779257524437,0.7338515496625415,4
32.0439_118.7361,32.0439,118.7361,0.0,0.743400550035818,0.34204216712635843,0.22540373305918682,2
32.0439_118.7361,32.0439,118.7361,50.0,0.7473326749015607,0.2850356215564464,0.33300331695280727,2
32.0439_118.7361,32.0439,118.7361,100.0,0.7604431573271582,0.2897424211600685,0.4983388195785632,4
32.0439_118.7361,32.0439,118.7361,150.0,0.7721757493583431,0.274787929981771,0.6348402546392551,4
32.0439_118.7361,32.0439,118.7361,200.0,0.7863447936174509,0.26761418085060323,0.7534707314297782,4
32.0439_118.7361,32.0439,118.7361,250.0,0.8008073721144794,0.26402035516008554,0.8441958687118715,4
32.0439_118.7361,32.0439,118.7361,300.0,0.8112858699542145,0.26204346652193306,0.9078291318681863,4
32.0439_118.7361,32.0439,118.7361,350.0,0.8174681111946756,0.2619826872808432,0.946811069883842,4
32.0439_118.7361,32.0439,118.7361,400.0,0.8168112572184454,0.26513136925056985,0.9691736944180257,4
32.0439_118.7361,32.0439,118.7361,450.0,0.8099313648608627,0.271682849424901,0.9810811365738532,4
32.0439_118.7361,32.0439,118.7361,500.0,0.7990920657869354,0.2797260859649746,0.9872373147777783,4
32.0439_118.7361,32.0439,118.7361,550.0,0.7882732616859576,0.28605975816942786,0.9902265402346416,4
32.0439_118.7361,32.0439,118.7361,600.0,0.7817143325487661,0.2874752957434446,0.9914971369028099,4
32.0439_118.7361,32.0439,118.7361,650.0,0.7817969739947681,0.2839091434503113,0.9915429796042107,4
32.0439_118.7361,32.0439,118.7361,700.0,0.7885074988433902,0.2765822144060542,0.9908378432060062,4
32.0439_118.7361,32.0439,118.7361,750.0,0.7997140981784399,0.2679344219203082,0.9892407897183926,4
32.0439_118.7361,32.0439,118.7361,800.0,0.813546760822438,0.25974353218638524,0.9867636705999946,4
32.0439_118.7361,32.0439,118.7361,850.0,0.8271924986891614,0.2535920919246009,0.9833268399731137,4
32.0439_118.7361,32.0439,118.7361,900.0,0.8374363211310883,0.2498598068834782,0.979056498395557,4
32.0439_118.7361,32.0439,118.7361,950.0,0.8413243153239954,0.2495928340489006,0.9740139948096561,4
32.0439_118.7361,32.0439,118.7361,1000.0,0.8375458371102593,0.2526254309887067,0.9689552532597054,4
32.0439_118.7361,32.0439,118.7361,1050.0,0.8293444852293396,0.2574792710906085,0.9649473551707266,4
32.0439_118.7361,32.0439,118.7361,1100.0,0.8198617554562934,0.26396820308194935,0.9619616856297477,4
32.0439_118.7361,32.0439,118.7361,1150.0,0.8119848914109352,0.26941106045149954,0.9605943339821427,4
32.0439_118.7361,32.0439,118.7361,1200.0,0.8095246828304864,0.2750469605120269,0.9600107780718421,4
32.0439_118.7361,32.0439,118.7361,1250.0,0.8104585452541954,0.2784296823770255,0.9595795118577378,4
32.0439_118.7361,32.0439,118.7361,1300.0,0.81241426430849,0.27862745116318766,0.9589102336185135,4
32.0439_118.7361,32.0439,118.7361,1350.0,0.8146282626835144,0.27633148505552774,0.957463984704628,4
32.0439_118.7361,32.0439,118.7361,1400.0,0.7868604644818131,0.2809626600247079,0.9558629731509575,4
32.0439_118.7361,32.0439,118.7361,1450.0,0.7714565655407412,0.2812668688324472,0.9537599637891796,4
32.0439_118.7361,32.0439,118.7361,1500.0,0.7583340167303827,0.2833552143130598,0.9512648964818368,4
32.0439_118.7361,32.0439,118.7361,1550.0,0.7539743103582647,0.28993016120856246,0.947795778221816,4
32.0439_118.7361,32.0439,118.7361,1600.0,0.7579510958667023,0.30347171302470627,0.9437233537573612,4
32.0439_118.7361,32.0439,118.7361,1650.0,0.758621919780821,0.32752291344683515,0.9396806379859087,4
32.0439_118.7361,32.0439,118.7361,1700.0,0.7362096162348014,0.3687773340291249,0.9358665510167964,4
32.0439_118.7361,32.0439,118.7361,1750.0,0.6770104800345417,0.42161756851679516,0.932394758418916,4
32.0439_118.7361,32.0439,118.7361,1800.0,0.5969716737609068,0.4665312109532975,0.9279357807621618,4
32.0439_118.7361,32.0439,118.7361,1850.0,0.4956135625742857,0.4894810291718357,0.9197533002171258,4
32.0439_118.7361,32.0439,118.7361,1900.0,0.41729109372036344,0.49249914371425635,0.9035583940254892,4
32.0439_118.7361,32.0439,118.7361,1950.0,0.3375038087145833,0.4815346945510358,0.8732627879745202,4
32.0439_118.7361,32.0439,118.7361,2000.0,0.3122779561197802,0.4781652876497716,0.8232225553918462,4
32.1608_119.1819,32.1608,119.1819,50.0,1.0,1.018515329507721,0.032775081272182205,1
32.1608_119.1819,32.1608,119.1819,100.0,1.0,0.7079251735315393,0.06784286895216085,1
32.1608_119.1819,32.1608,119.1819,150.0,0.823070744258183,0.5917337122059149,0.1434535395812443,2
32.1608_119.1819,32.1608,119.1819,200.0,0.7965098432356532,0.5184352962825629,0.25033226316945556,3
32.1608_119.1819,32.1608,119.1819,250.0,0.772268084588297,0.4804565972250521,0.37104756691469953,3
32.1608_119.1819,32.1608,119.1819,300.0,0.7472472718836644,0.46124543126692646,0.50322040619245,3
32.1608_119.1819,32.1608,119.1819,350.0,0.8182981760775608,0.41138605123187005,0.6315794027121249,3
32.1608_119.1819,32.1608,119.1819,400.0,0.8275343719511022,0.3911491153017343,0.7362066537742598,3
32.1608_119.1819,32.1608,119.1819,450.0,0.8410661934136328,0.3710473832632597,0.8123419604873561,3
32.1608_119.1819,32.1608,119.1819,500.0,0.8567375732642177,0.35065552552340346,0.8628359820724123,3
32.1608_119.1819,32.1608,119.1819,550.0,0.8711660314532863,0.3321709905501672,0.8917572192625606,3
32.1608_119.1819,32.1608,119.1819,600.0,0.8830602914416634,0.3169878983423407,0.9053643113657183,3
32.1608_119.1819,32.1608,119.1819,650.0,0.8920920139604476,0.30612888310817954,0.907391441059142,3
32.1608_119.1819,32.1608,119.1819,700.0,0.8991471184946733,0.29938159593778757,0.899672062015404,3
32.1608_119.1819,32.1608,119.1819,750.0,0.9061025820254612,0.2951634567634486,0.8828720061985224,3
32.1608_119.1819,32.1608,119.1819,800.0,0.9152033623027159,0.29092919800867506,0.857387025783921,3
32.1608_119.1819,32.1608,119.1819,850.0,0.9277088090130405,0.2844012953983241,0.8238822357935094,3
32.1608_119.1819,32.1608,119.1819,900.0,0.9427210396256901,0.275208078769826,0.7830440644466277,3
32.1608_119.1819,32.1608,119.1819,950.0,0.9560643632768833,0.26527179465923945,0.73990506657404,3
32.1608_119.1819,32.1608,119.1819,1000.0,0.9669126376636997,0.25832931993386654,0.6908895670686539,3
32.1608_119.1819,32.1608,119.1819,1050.0,0.9721826863355578,0.2581393142174873,0.6397248600020815,3
32.1608_119.1819,32.1608,119.1819,1100.0,0.9695458569216622,0.26502163150737984,0.5958821441282471,3
32.1608_119.1819,32.1608,119.1819,1150.0,0.9607073029977079,0.2636616189499003,0.5690812091645668,3
32.1608_119.1819,32.1608,119.1819,1200.0,0.9322799445322087,0.2728349227883541,0.5695595836524581,3
32.1608_119.1819,32.1608,119.1819,1250.0,0.9041740523772149,0.26434211927160073,0.5995315914378523,3
32.1608_119.1819,32.1608,119.1819,1300.0,0.8848525248509769,0.2540367474431399,0.6516511877323572,3
32.1608_119.1819,32.1608,119.1819,1350.0,0.8733314713313537,0.24047718199435975,0.7071771679217902,3
32.1608_119.1819,32.1608,119.1819,1400.0,0.864752488673689,0.2303825531774368,0.7538465395539413,3
32.1608_119.1819,32.1608,119.1819,1450.0,0.8591584648626786,0.22320425293146617,0.7838304828623185,3
32.1608_119.1819,32.1608,119.1819,1500.0,0.854469069669854,0.22047045695758993,0.7974541325633696,3
32.1608_119.1819,32.1608,119.1819,1550.0,0.8492601356353451,0.22309879696063847,0.7939750689829296,3
32.1608_119.1819,32.1608,119.1819,1600.0,0.8435617258439332,0.23149385454089597,0.7732761906369108,3
32.1608_119.1819,32.1608,119.1819,1650.0,0.8383671579353318,0.2456223446240142,0.737124777939778,3
32.1608_119.1819,32.1608,119.1819,1700.0,0.8332826313479464,0.2667155879579598,0.6849104604780436,3
32.1608_119.1819,32.1608,119.1819,1750.0,0.8266852626942821,0.2968382785332145,0.6186731519082844,3
32.1608_119.1819,32.1608,119.1819,1800.0,0.8146282633202614,0.3396732329731065,0.5421720405036026,3
32.1608_119.1819,32.1608,119.1819,1850.0,0.7890696913972443,0.4003470956943104,0.4604090958398944,3
32.1608_119.1819,32.1608,119.1819,1900.0,0.7355149942647914,0.4815865345042423,0.37856473663019263,3
32.1608_119.1819,32.1608,119.1819,1950.0,0.6155959720750391,0.5983166734469366,0.28516634840052923,2
32.1608_119.1819,32.1608,119.1819,2000.0,0.4782890586725384,0.660420879587299,0.22292442916577526,2
32.0589_118.8322,32.0589,118.8322,0.0,0.6551351091076135,0.3714279288146856,0.31620536385833753,2
32.0589_118.8322,32.0589,118.8322,50.0,0.6667628597514782,0.3378685757588604,0.4498971001804142,2
32.0589_118.8322,32.0589,118.8322,100.0,0.6877017395279783,0.3159911854953289,0.6035822758103313,3
32.0589_118.8322,32.0589,118.8322,150.0,0.7106755482749711,0.303925119051593,0.7345699677995526,4
32.0589_118.8322,32.0589,118.8322,200.0,0.7157844044915331,0.29555979584094844,0.8280948954086501,4
32.0589_118.8322,32.0589,118.8322,250.0,0.7184267451238062,0.2911576930966017,0.8909405800986333,4
32.0589_118.8322,32.0589,118.8322,300.0,0.7243104709347434,0.2874185760457601,0.9302251880392856,4
32.0589_118.8322,32.0589,118.8322,350.0,0.7274414674512285,0.2846591380033265,0.953627915843932,4
32.0589_118.8322,32.0589,118.8322,400.0,0.7272650638538674,0.2834138833922327,0.9681840270776967,4
32.0589_118.8322,32.0589,118.8322,450.0,0.7247586865935828,0.28286523461440266,0.9769327205203403,4
32.0589_118.8322,32.0589,118.8322,500.0,0.7198346984584734,0.2834810289942568,0.9825004422495289,4
32.0589_118.8322,32.0589,118.8322,550.0,0.712677490072257,0.2853895237969451,0.9858760645899062,4
32.0589_118.8322,32.0589,118.8322,600.0,0.7041837632051303,0.2885964962125528,0.9878326073145136,4
