scenario,height_agl_m,mean_turbulence_index,p90_turbulence_index,mae_from_baseline,mean_delta_from_baseline,mean_coverage,mean_uncertainty
baseline,0.0,0.42327054079358173,0.7417860388755797,0.0,0.0,0.9693225027991086,0.3919339293119859
baseline,100.0,0.4938812962117172,0.6818898916244507,0.0,0.0,0.8472406183256537,0.42874620741441183
baseline,200.0,0.5017277657288034,0.6924315690994263,0.0,0.0,0.7785456059073486,0.45834089946203016
baseline,300.0,0.520096599976985,0.7268121361732482,0.0,0.0,0.7524075830183109,0.46518961717100704
baseline,400.0,0.5041469749497051,0.7276878118515014,0.0,0.0,0.7505301971538585,0.46607039122879146
baseline,500.0,0.47896968868314005,0.7033927917480468,0.0,0.0,0.7546312068404556,0.45974509874168706
baseline,600.0,0.4648704618466001,0.6934726357460022,0.0,0.0,0.7604229236207232,0.44848855627255707
baseline,700.0,0.44642876781979385,0.6856030344963073,0.0,0.0,0.766439652925923,0.4418311201080698
baseline,800.0,0.4277865558093479,0.6582605838775635,0.0,0.0,0.7648188143038378,0.4434942881528641
baseline,900.0,0.4175921817787555,0.6406185150146484,0.0,0.0,0.75068414834868,0.45393586626001337
baseline,1000.0,0.4208240356944761,0.6492994070053101,0.0,0.0,0.7247916353171041,0.4750076162142485
baseline,1100.0,0.4341378632785321,0.6674809575080871,0.0,0.0,0.7206162488653737,0.4773205251896939
baseline,1200.0,0.44787026448946754,0.6692209362983703,0.0,0.0,0.7164992281189915,0.4837326866238057
baseline,1300.0,0.4559387623405113,0.6656597256660461,0.0,0.0,0.7135746949539036,0.4917545353593517
baseline,1400.0,0.4558288630120465,0.6596866846084595,0.0,0.0,0.7112302557546265,0.4970599697417572
baseline,1500.0,0.44402079290452123,0.641041612625122,0.0,0.0,0.7045125471264804,0.5019973778638805
baseline,1600.0,0.4229292726083821,0.6288053035736084,0.0,0.0,0.6890125416764835,0.5100643896684498
baseline,1700.0,0.3949978306102438,0.6095037698745728,0.0,0.0,0.6999360105856841,0.4975217574641627
baseline,1800.0,0.3671908186719555,0.5838257074356079,0.0,0.0,0.7039502227542495,0.4889039917724902
baseline,1900.0,0.3499271281293872,0.5736981630325317,0.0,0.0,0.6837849166678066,0.5030023235519107
baseline,2000.0,0.3932167540864498,0.6203252911567688,0.0,0.0,0.6154130499581901,0.5873305459554885
radar_radius_30km,0.0,0.4232005125736775,0.7416425466537474,0.00011726636774972135,-7.00282199042184e-05,0.9693049139478485,0.39197227658630135
radar_radius_30km,100.0,0.4938118856297392,0.682118010520935,0.00016470595854384845,-6.941058197799995e-05,0.8470794418708187,0.42885819438840445
radar_radius_30km,200.0,0.5016240417009212,0.6923395872116089,0.00020702356407765438,-0.00010372402788210316,0.7782268584418555,0.45855309302781094
radar_radius_30km,300.0,0.5200079005806386,0.7267472386360169,0.0002265296491826711,-8.869939634636813e-05,0.7519245382975273,0.4654907228351355
radar_radius_30km,400.0,0.5041027376059295,0.7276505827903748,0.0002405373703818075,-4.423734377555343e-05,0.7498891203844247,0.46643188718129464
radar_radius_30km,500.0,0.47896191295312374,0.7033915638923645,0.0002688573617465785,-7.775730016280193e-06,0.7538681796332654,0.4601561473912838
radar_radius_30km,600.0,0.4649348694057453,0.6935015320777893,0.0003076582646169582,6.440755914525539e-05,0.7595599612983621,0.4489682004088256
radar_radius_30km,700.0,0.44652267103614496,0.685609769821167,0.0003253255517972188,9.390321635112327e-05,0.765512813429157,0.4423648774695425
radar_radius_30km,800.0,0.4278592953161031,0.6583366513252258,0.0003273512117144297,7.273950675527016e-05,0.763881976371195,0.444003057694521
radar_radius_30km,900.0,0.4176534689936031,0.6411052584648133,0.00035657546564596757,6.128721484760134e-05,0.7497115522551508,0.454447389879719
radar_radius_30km,1000.0,0.42089050272468476,0.649337363243103,0.00041958626543058783,6.646703020865175e-05,0.7237659712155469,0.47554583047904603
radar_radius_30km,1100.0,0.43418941188867494,0.6677759408950805,0.0004739908807847251,5.154861014287154e-05,0.7196685685115416,0.47781208840881934
radar_radius_30km,1200.0,0.4478533067998766,0.6699278712272644,0.0005490254704691782,-1.6957689590957843e-05,0.7155805193970041,0.48420639471704363
radar_radius_30km,1300.0,0.45582000852740256,0.6666261196136475,0.0006367834765656369,-0.00011875381310876248,0.7126341721984376,0.49225860973652386
radar_radius_30km,1400.0,0.45570988908034415,0.6601871490478515,0.0006428203752347115,-0.0001189739317023883,0.7102765845937603,0.49760699401668856
radar_radius_30km,1500.0,0.44391467043546357,0.6415308594703674,0.0006491174700022603,-0.00010612246905769907,0.7034897792918914,0.5026351825744451
radar_radius_30km,1600.0,0.42286629094904354,0.6285489559173584,0.0006089881688606839,-6.29816593385401e-05,0.6879284162195075,0.5107998622851927
radar_radius_30km,1700.0,0.3949800552100408,0.6099652528762817,0.0005570583090204008,-1.777540020295838e-05,0.6989417235318924,0.498219042236493
radar_radius_30km,1800.0,0.36719422457741946,0.5843948602676391,0.0005294190458103675,3.4059054639731565e-06,0.703028912987171,0.4895733823939389
radar_radius_30km,1900.0,0.3499651367772742,0.5742919564247131,0.0005430289782306441,3.8008647887002666e-05,0.6828412011212089,0.5037504771104953
radar_radius_30km,2000.0,0.3934152818616985,0.6206615924835205,0.0006231056202073344,0.00019852777524870268,0.6144998859439721,0.5882736426727826
radar_radius_50km,0.0,0.42330288549914225,0.7419319868087767,5.471745566302846e-05,3.2344705560485e-05,0.969330713256639,0.39191606834727605
radar_radius_50km,100.0,0.49391310050600573,0.6819127798080444,7.700280410473515e-05,3.1804294288516186e-05,0.8473158405894706,0.42869389140877834
radar_radius_50km,200.0,0.5017758628990756,0.6924051165580749,9.620825068003276e-05,4.8097170272222656e-05,0.7786938051931283,0.4582422289527765
radar_radius_50km,300.0,0.5201376941345749,0.7268834590911866,0.00010521221919363143,4.109415758987006e-05,0.7526320394061479,0.4650498536311421
radar_radius_50km,400.0,0.5041674936733612,0.7276373624801635,0.00011178247925757217,2.051872365614947e-05,0.7508281790551876,0.46590262982739405
radar_radius_50km,500.0,0.478973220480161,0.70314462184906,0.0001250653242578312,3.5317970209476613e-06,0.7549860776830264,0.45955420620158083
radar_radius_50km,600.0,0.46484036871007367,0.6934120178222656,0.00014333811198391405,-3.0093136526384847e-05,0.7608244891140927,0.4482654734962985
radar_radius_50km,700.0,0.4463850591023143,0.6855666279792786,0.00015148707405001033,-4.370871747956843e-05,0.7668711208102225,0.44158271881712585
radar_radius_50km,800.0,0.4277527764314363,0.6582146763801574,0.0001523187806626328,-3.3779377911557384e-05,0.7652545499057473,0.4432578957166706
radar_radius_50km,900.0,0.4175638050842686,0.640662658214569,0.0001658123581349349,-2.8376694486922578e-05,0.7511362542947229,0.45369849302330795
radar_radius_50km,1000.0,0.4207932944325697,0.6491515278816223,0.00019509235099584115,-3.074126190641204e-05,0.7252682684886069,0.4747579926488494
radar_radius_50km,1100.0,0.4341141572841505,0.6674761533737182,0.0002204520397541188,-2.370599438162411e-05,0.7210565818815815,0.47709264142029567
radar_radius_50km,1200.0,0.4478788933154343,0.6687167644500732,0.00025584640658917834,8.628825966765186e-06,0.7169263637867295,0.4835129728838175
radar_radius_50km,1300.0,0.4559948168328258,0.6655194401741028,0.00029681210650974105,5.605449231446577e-05,0.7140120027052397,0.49152049904539374
radar_radius_50km,1400.0,0.45588393248394043,0.659777045249939,0.0002986619273582999,5.506947189390588e-05,0.7116731338140343,0.4968063186554491
radar_radius_50km,1500.0,0.44406984469362526,0.6410122275352478,0.00030141313250611523,4.90517891040083e-05,0.7049875436710711,0.5017016408895674
radar_radius_50km,1600.0,0.42295844369396873,0.6290040731430053,0.00028262102589601514,2.9171085586639442e-05,0.6895162291815874,0.5097234413975856
radar_radius_50km,1700.0,0.3950061951078573,0.6092294573783874,0.00025858840986746416,8.364497613506156e-06,0.7003979634050848,0.49719845980298477
radar_radius_50km,1800.0,0.3671893290647653,0.5836358547210694,0.00024587524091066864,-1.4896071901699217e-06,0.7043784863701245,0.48859345097215523
radar_radius_50km,1900.0,0.3499097528170888,0.5735982179641723,0.0002523636758452704,-1.7375312298357414e-05,0.6842245707921192,0.5026547608541555
