sequence,model,valid_time,longitude_deg,latitude_deg,altitude_agl_m,turbulence_index,grid_z,grid_y,grid_x
0,model_d,2025-07-31 06:00:00,118.36224365234375,31.27780532836914,300.0,0.379993736743927,6,9,14
1,model_d,2025-07-31 06:00:00,118.3631591796875,31.287067413330078,250.0,0.29981499910354614,5,10,14
2,model_d,2025-07-31 06:00:00,118.36407470703125,31.29631805419922,200.0,0.2567492723464966,4,11,14
3,model_d,2025-07-31 06:00:00,118.364990234375,31.305572509765625,150.0,0.277371346950531,3,12,14
4,model_d,2025-07-31 06:00:00,118.36590576171875,31.314834594726562,100.0,0.2293163239955902,2,13,14
5,model_d,2025-07-31 06:00:00,118.377685546875,31.32331085205078,100.0,0.26495641469955444,2,14,15
6,model_d,2025-07-31 06:00:00,118.37860107421875,31.332565307617188,100.0,0.1935582160949707,2,15,15
7,model_d,2025-07-31 06:00:00,118.3795166015625,31.34180450439453,100.0,0.2159758061170578,2,16,15
8,model_d,2025-07-31 06:00:00,118.38043212890625,31.35106658935547,100.0,0.21486569941043854,2,17,15
9,model_d,2025-07-31 06:00:00,118.3922119140625,31.359535217285156,100.0,0.20028671622276306,2,18,16
10,model_d,2025-07-31 06:00:00,118.39312744140625,31.368793487548828,100.0,0.14578399062156677,2,19,16
11,model_d,2025-07-31 06:00:00,118.39404296875,31.378047943115234,100.0,0.14078392088413239,2,20,16
12,model_d,2025-07-31 06:00:00,118.39495849609375,31.38730239868164,100.0,0.15407297015190125,2,21,16
13,model_d,2025-07-31 06:00:00,118.3958740234375,31.396564483642578,100.0,0.19270488619804382,2,22,16
14,model_d,2025-07-31 06:00:00,118.39682006835938,31.405811309814453,100.0,0.18815794587135315,2,23,16
15,model_d,2025-07-31 06:00:00,118.39773559570312,31.41507339477539,100.0,0.23785197734832764,2,24,16
16,model_d,2025-07-31 06:00:00,118.398681640625,31.424335479736328,100.0,0.22035309672355652,2,25,16
17,model_d,2025-07-31 06:00:00,118.39959716796875,31.433582305908203,100.0,0.19964857399463654,2,26,16
18,model_d,2025-07-31 06:00:00,118.4005126953125,31.44284439086914,100.0,0.19163671135902405,2,27,16
19,model_d,2025-07-31 06:00:00,118.40142822265625,31.452091217041016,100.0,0.2325584888458252,2,28,16
20,model_d,2025-07-31 06:00:00,118.40237426757812,31.461360931396484,100.0,0.2674136757850647,2,29,16
21,model_d,2025-07-31 06:00:00,118.40328979492188,31.47060775756836,150.0,0.24808722734451294,3,30,16
22,model_d,2025-07-31 06:00:00,118.40423583984375,31.479869842529297,200.0,0.24347451329231262,4,31,16
23,model_d,2025-07-31 06:00:00,118.4051513671875,31.489131927490234,200.0,0.23984086513519287,4,32,16
24,model_d,2025-07-31 06:00:00,118.40606689453125,31.498394012451172,150.0,0.2421463429927826,3,33,16
25,model_d,2025-07-31 06:00:00,118.406982421875,31.50763702392578,150.0,0.22852641344070435,3,34,16
26,model_d,2025-07-31 06:00:00,118.40792846679688,31.51689910888672,150.0,0.22946499288082123,3,35,16
27,model_d,2025-07-31 06:00:00,118.40884399414062,31.526161193847656,150.0,0.2411329299211502,3,36,16
28,model_d,2025-07-31 06:00:00,118.4097900390625,31.535415649414062,150.0,0.24612727761268616,3,37,16
29,model_d,2025-07-31 06:00:00,118.41070556640625,31.544677734375,150.0,0.2316683530807495,3,38,16
30,model_d,2025-07-31 06:00:00,118.41162109375,31.553932189941406,100.0,0.2577456831932068,2,39,16
31,model_d,2025-07-31 06:00:00,118.41256713867188,31.563194274902344,100.0,0.258285254240036,2,40,16
32,model_d,2025-07-31 06:00:00,118.41348266601562,31.57244873046875,100.0,0.24990546703338623,2,41,16
33,model_d,2025-07-31 06:00:00,118.4144287109375,31.581710815429688,100.0,0.25827211141586304,2,42,16
34,model_d,2025-07-31 06:00:00,118.42620849609375,31.590171813964844,100.0,0.27609628438949585,2,43,17
35,model_d,2025-07-31 06:00:00,118.42715454101562,31.59943389892578,100.0,0.2962903380393982,2,44,17
36,model_d,2025-07-31 06:00:00,118.42807006835938,31.608680725097656,150.0,0.2717689275741577,3,45,17
37,model_d,2025-07-31 06:00:00,118.42901611328125,31.617935180664062,150.0,0.23319922387599945,3,46,17
38,model_d,2025-07-31 06:00:00,118.4407958984375,31.62641143798828,100.0,0.21722353994846344,2,47,18
39,model_d,2025-07-31 06:00:00,118.45263671875,31.634883880615234,100.0,0.21669518947601318,2,48,19
40,model_d,2025-07-31 06:00:00,118.45355224609375,31.64413833618164,100.0,0.21169552206993103,2,49,19
41,model_d,2025-07-31 06:00:00,118.45449829101562,31.653400421142578,100.0,0.23753032088279724,2,50,19
42,model_d,2025-07-31 06:00:00,118.46630859375,31.661876678466797,100.0,0.24577516317367554,2,51,20
43,model_d,2025-07-31 06:00:00,118.46722412109375,31.671123504638672,100.0,0.250128835439682,2,52,20
44,model_d,2025-07-31 06:00:00,118.46817016601562,31.680377960205078,100.0,0.23334580659866333,2,53,20
45,model_d,2025-07-31 06:00:00,118.47998046875,31.68883514404297,100.0,0.2310178428888321,2,54,21
46,model_d,2025-07-31 06:00:00,118.4918212890625,31.697311401367188,100.0,0.20533084869384766,2,55,22
47,model_d,2025-07-31 06:00:00,118.50363159179688,31.705764770507812,100.0,0.21299904584884644,2,56,23
48,model_d,2025-07-31 06:00:00,118.50457763671875,31.71502685546875,100.0,0.2293025553226471,2,57,23
49,model_d,2025-07-31 06:00:00,118.5054931640625,31.724281311035156,100.0,0.2692493796348572,2,58,23
50,model_d,2025-07-31 06:00:00,118.50643920898438,31.733539581298828,100.0,0.34757500886917114,2,59,23
51,model_d,2025-07-31 06:00:00,118.50738525390625,31.7427978515625,100.0,0.36108434200286865,2,60,23
52,model_d,2025-07-31 06:00:00,118.50833129882812,31.752059936523438,100.0,0.3422500789165497,2,61,23
53,model_d,2025-07-31 06:00:00,118.50927734375,31.761314392089844,100.0,0.38150840997695923,2,62,23
54,model_d,2025-07-31 06:00:00,118.51019287109375,31.77057647705078,150.0,0.45207399129867554,3,63,23
55,model_d,2025-07-31 06:00:00,118.51116943359375,31.779830932617188,150.0,0.4651743471622467,3,64,23
56,model_d,2025-07-31 06:00:00,118.5120849609375,31.789108276367188,200.0,0.5231131911277771,4,65,23
57,model_d,2025-07-31 06:00:00,118.51303100585938,31.798355102539062,250.0,0.5511909127235413,5,66,23
58,model_d,2025-07-31 06:00:00,118.51397705078125,31.8076171875,300.0,0.544340968132019,6,67,23
59,model_d,2025-07-31 06:00:00,118.51492309570312,31.816879272460938,350.0,0.481060266494751,7,68,23
60,model_d,2025-07-31 06:00:00,118.515869140625,31.826133728027344,400.0,0.4197489023208618,8,69,23
61,model_d,2025-07-31 06:00:00,118.51681518554688,31.83538818359375,450.0,0.4625033736228943,9,70,23
62,model_d,2025-07-31 06:00:00,118.52865600585938,31.843852996826172,500.0,0.5222399234771729,10,71,24
63,model_d,2025-07-31 06:00:00,118.54049682617188,31.852306365966797,550.0,0.29798638820648193,11,72,25
64,model_d,2025-07-31 06:00:00,118.54144287109375,31.86156463623047,600.0,0.3227413296699524,12,73,25
65,model_d,2025-07-31 06:00:00,118.54238891601562,31.87082290649414,600.0,0.430881142616272,12,74,25
66,model_d,2025-07-31 06:00:00,118.5433349609375,31.880084991455078,550.0,0.4933614730834961,11,75,25
67,model_d,2025-07-31 06:00:00,118.55517578125,31.88854217529297,500.0,0.4509027600288391,10,76,26
68,model_d,2025-07-31 06:00:00,118.55615234375,31.897811889648438,500.0,0.4588989019393921,10,77,26
69,model_d,2025-07-31 06:00:00,118.5679931640625,31.906265258789062,550.0,0.3399052619934082,11,78,27
70,model_d,2025-07-31 06:00:00,118.56893920898438,31.91552734375,600.0,0.40881243348121643,12,79,27
71,model_d,2025-07-31 06:00:00,118.580810546875,31.92397689819336,550.0,0.3026767373085022,11,80,28
72,model_d,2025-07-31 06:00:00,118.5926513671875,31.93242645263672,600.0,0.32082268595695496,12,81,29
73,model_d,2025-07-31 06:00:00,118.5936279296875,31.941696166992188,600.0,0.48843783140182495,12,82,29
74,model_d,2025-07-31 06:00:00,118.59457397460938,31.95096206665039,550.0,0.47125089168548584,11,83,29
75,model_d,2025-07-31 06:00:00,118.59552001953125,31.960205078125,600.0,0.40359723567962646,12,84,29
76,model_d,2025-07-31 06:00:00,118.59646606445312,31.969467163085938,600.0,0.3850840926170349,12,85,29
77,model_d,2025-07-31 06:00:00,118.597412109375,31.97873306274414,600.0,0.37685754895210266,12,86,29
78,model_d,2025-07-31 06:00:00,118.598388671875,31.98800277709961,600.0,0.31046634912490845,12,87,29
79,model_d,2025-07-31 06:00:00,118.61026000976562,31.996444702148438,600.0,0.34804201126098633,12,88,30
80,model_d,2025-07-31 06:00:00,118.6112060546875,32.005706787109375,600.0,0.3207230567932129,12,89,30
81,model_d,2025-07-31 06:00:00,118.62307739257812,32.014163970947266,600.0,0.3720899224281311,12,90,31
82,model_d,2025-07-31 06:00:00,118.6240234375,32.0234260559082,600.0,0.35283833742141724,12,91,31
83,model_d,2025-07-31 06:00:00,118.625,32.03268051147461,600.0,0.30968207120895386,12,92,31
84,model_d,2025-07-31 06:00:00,118.63687133789062,32.04113006591797,600.0,0.3066332936286926,12,93,32
85,model_d,2025-07-31 06:00:00,118.64877319335938,32.0495719909668,600.0,0.34760749340057373,12,94,33
86,model_d,2025-07-31 06:00:00,118.64971923828125,32.058834075927734,600.0,0.37948209047317505,12,95,33
87,model_d,2025-07-31 06:00:00,118.66162109375,32.06727981567383,550.0,0.4910164475440979,11,96,34
88,model_d,2025-07-31 06:00:00,118.67352294921875,32.07573699951172,600.0,0.42822882533073425,12,97,35
89,model_d,2025-07-31 06:00:00,118.68539428710938,32.08418655395508,600.0,0.33413049578666687,12,98,36
90,model_d,2025-07-31 06:00:00,118.69729614257812,32.092620849609375,600.0,0.41107404232025146,12,99,37
91,model_d,2025-07-31 06:00:00,118.6982421875,32.10187530517578,600.0,0.5280412435531616,12,100,37
92,model_d,2025-07-31 06:00:00,118.71014404296875,32.11032485961914,650.0,0.2939145863056183,13,101,38
93,model_d,2025-07-31 06:00:00,118.71112060546875,32.11957931518555,700.0,0.4379851222038269,14,102,38
94,model_d,2025-07-31 06:00:00,118.7230224609375,32.128021240234375,750.0,0.34328317642211914,15,103,39
95,model_d,2025-07-31 06:00:00,118.7239990234375,32.137290954589844,700.0,0.3912288546562195,14,104,39
96,model_d,2025-07-31 06:00:00,118.73590087890625,32.14571762084961,750.0,0.43744373321533203,15,105,40
97,model_d,2025-07-31 06:00:00,118.747802734375,32.15416717529297,750.0,0.3466109335422516,15,106,41
98,model_d,2025-07-31 06:00:00,118.75973510742188,32.1626091003418,700.0,0.5002941489219666,14,107,42
99,model_d,2025-07-31 06:00:00,118.77163696289062,32.171051025390625,700.0,0.39825788140296936,14,108,43
100,model_d,2025-07-31 06:00:00,118.7835693359375,32.179481506347656,700.0,0.445016086101532,14,109,44
101,model_d,2025-07-31 06:00:00,118.7845458984375,32.18874740600586,650.0,0.36532357335090637,13,110,44
102,model_d,2025-07-31 06:00:00,118.7855224609375,32.19800567626953,600.0,0.3044823706150055,12,111,44
103,model_d,2025-07-31 06:00:00,118.79742431640625,32.2064323425293,600.0,0.31701239943504333,12,112,45
104,model_d,2025-07-31 06:00:00,118.80935668945312,32.214866638183594,600.0,0.3637424111366272,12,113,46
105,model_d,2025-07-31 06:00:00,118.8212890625,32.22331619262695,600.0,0.42543214559555054,12,114,47
106,model_d,2025-07-31 06:00:00,118.83322143554688,32.23173141479492,600.0,0.3930699825286865,12,115,48
107,model_d,2025-07-31 06:00:00,118.83419799804688,32.24099349975586,600.0,0.43954339623451233,12,116,48
108,model_d,2025-07-31 06:00:00,118.83517456054688,32.25026321411133,600.0,0.3800322413444519,12,117,48
109,model_d,2025-07-31 06:00:00,118.836181640625,32.259517669677734,550.0,0.30913618206977844,11,118,48
110,model_d,2025-07-31 06:00:00,118.837158203125,32.26877975463867,550.0,0.3064460754394531,11,119,48
111,model_d,2025-07-31 06:00:00,118.838134765625,32.278045654296875,600.0,0.2514089047908783,12,120,48
112,model_d,2025-07-31 06:00:00,118.839111328125,32.28730392456055,600.0,0.26271528005599976,12,121,48
113,model_d,2025-07-31 06:00:00,118.840087890625,32.29655838012695,600.0,0.3614254593849182,12,122,48
114,model_d,2025-07-31 06:00:00,118.841064453125,32.305824279785156,650.0,0.3594095706939697,13,123,48
115,model_d,2025-07-31 06:00:00,118.84207153320312,32.315086364746094,700.0,0.46851950883865356,14,124,48
116,model_d,2025-07-31 06:00:00,118.85400390625,32.323524475097656,650.0,0.5584864616394043,13,125,49
117,model_d,2025-07-31 06:00:00,118.865966796875,32.33193588256836,600.0,0.5544429421424866,12,126,50
118,model_d,2025-07-31 06:00:00,118.87789916992188,32.34036636352539,650.0,0.5290635824203491,13,127,51
119,model_d,2025-07-31 06:00:00,118.88986206054688,32.34878921508789,650.0,0.4192180037498474,13,128,52
120,model_d,2025-07-31 06:00:00,118.90179443359375,32.35723114013672,600.0,0.37947601079940796,12,129,53
121,model_d,2025-07-31 06:00:00,118.91278076171875,32.35638427734375,600.0,0.3451712131500244,12,129,54
122,model_d,2025-07-31 06:00:00,118.92474365234375,32.364803314208984,550.0,0.5648907423019409,11,130,55
123,model_d,2025-07-31 06:00:00,118.93670654296875,32.373226165771484,500.0,0.47721949219703674,10,131,56
124,model_d,2025-07-31 06:00:00,118.94866943359375,32.381649017333984,450.0,0.5124474763870239,9,132,57
125,model_d,2025-07-31 06:00:00,118.96063232421875,32.39007568359375,400.0,0.6335898637771606,8,133,58
126,model_d,2025-07-31 06:00:00,118.97259521484375,32.39848327636719,350.0,0.6059805154800415,7,134,59
127,model_d,2025-07-31 06:00:00,118.98455810546875,32.40690612792969,300.0,0.6181280612945557,6,135,60
128,model_d,2025-07-31 06:00:00,118.99652099609375,32.415313720703125,250.0,0.6237192153930664,5,136,61
129,model_d,2025-07-31 06:00:00,119.00851440429688,32.42374038696289,250.0,0.5322054624557495,5,137,62
130,model_d,2025-07-31 06:00:00,119.02047729492188,32.432151794433594,200.0,0.4795762896537781,4,138,63
131,model_d,2025-07-31 06:00:00,119.03146362304688,32.43130111694336,200.0,0.43854624032974243,4,138,64
132,model_d,2025-07-31 06:00:00,119.04342651367188,32.439697265625,200.0,0.4626438617706299,4,139,65
