sequence,model,valid_time,longitude_deg,latitude_deg,altitude_agl_m,turbulence_index,grid_z,grid_y,grid_x
0,model_e,2025-07-31 06:00:00,118.36224365234375,31.27780532836914,300.0,0.04462755098938942,6,9,14
1,model_e,2025-07-31 06:00:00,118.37399291992188,31.28628158569336,350.0,0.026707010343670845,7,10,15
2,model_e,2025-07-31 06:00:00,118.3857421875,31.29474639892578,400.0,0.01595991663634777,8,11,16
3,model_e,2025-07-31 06:00:00,118.39749145507812,31.30321502685547,400.0,0.011606642045080662,8,12,17
4,model_e,2025-07-31 06:00:00,118.40924072265625,31.31167221069336,400.0,0.01094027329236269,8,13,18
5,model_e,2025-07-31 06:00:00,118.4210205078125,31.320133209228516,450.0,0.011510464362800121,9,14,19
6,model_e,2025-07-31 06:00:00,118.43276977539062,31.328609466552734,500.0,0.011510464362800121,10,15,20
7,model_e,2025-07-31 06:00:00,118.44451904296875,31.337074279785156,500.0,0.01595991663634777,10,16,21
8,model_e,2025-07-31 06:00:00,118.45538330078125,31.336280822753906,500.0,0.011510464362800121,10,16,22
9,model_e,2025-07-31 06:00:00,118.46713256835938,31.344730377197266,500.0,0.012869811616837978,10,17,23
10,model_e,2025-07-31 06:00:00,118.47796630859375,31.343929290771484,500.0,0.017838310450315475,10,17,24
11,model_e,2025-07-31 06:00:00,118.48880004882812,31.34313201904297,500.0,0.013537011109292507,10,17,25
12,model_e,2025-07-31 06:00:00,118.50057983398438,31.351600646972656,500.0,0.011101072654128075,10,18,26
13,model_e,2025-07-31 06:00:00,118.51141357421875,31.350799560546875,500.0,0.011101072654128075,10,18,27
14,model_e,2025-07-31 06:00:00,118.52224731445312,31.35000991821289,500.0,0.014798235148191452,10,18,28
15,model_e,2025-07-31 06:00:00,118.5330810546875,31.34918975830078,500.0,0.01595991663634777,10,18,29
16,model_e,2025-07-31 06:00:00,118.5439453125,31.34839630126953,500.0,0.014518792741000652,10,18,30
17,model_e,2025-07-31 06:00:00,118.55474853515625,31.347591400146484,500.0,0.009580926038324833,10,18,31
18,model_e,2025-07-31 06:00:00,118.56561279296875,31.346786499023438,500.0,0.015562727116048336,10,18,32
19,model_e,2025-07-31 06:00:00,118.57644653320312,31.345977783203125,500.0,0.011606642045080662,10,18,33
20,model_e,2025-07-31 06:00:00,118.5872802734375,31.34518051147461,500.0,0.01595991663634777,10,18,34
21,model_e,2025-07-31 06:00:00,118.59811401367188,31.34436798095703,500.0,0.009580926038324833,10,18,35
22,model_e,2025-07-31 06:00:00,118.60894775390625,31.34356689453125,500.0,0.01595991663634777,10,18,36
23,model_e,2025-07-31 06:00:00,118.61978149414062,31.342742919921875,500.0,0.016471831128001213,10,18,37
24,model_e,2025-07-31 06:00:00,118.630615234375,31.341934204101562,500.0,0.016471831128001213,10,18,38
25,model_e,2025-07-31 06:00:00,118.64144897460938,31.341136932373047,500.0,0.016471831128001213,10,18,39
26,model_e,2025-07-31 06:00:00,118.65322875976562,31.349571228027344,500.0,0.02656392566859722,10,19,40
27,model_e,2025-07-31 06:00:00,118.6650390625,31.358001708984375,500.0,0.032520096749067307,10,20,41
28,model_e,2025-07-31 06:00:00,118.67681884765625,31.366443634033203,500.0,0.033398937433958054,10,21,42
29,model_e,2025-07-31 06:00:00,118.6885986328125,31.374893188476562,500.0,0.034908462315797806,10,22,43
30,model_e,2025-07-31 06:00:00,118.70040893554688,31.383319854736328,500.0,0.032703980803489685,10,23,44
31,model_e,2025-07-31 06:00:00,118.71221923828125,31.391754150390625,500.0,0.032703980803489685,10,24,45
32,model_e,2025-07-31 06:00:00,118.7239990234375,31.400188446044922,500.0,0.04121193289756775,10,25,46
33,model_e,2025-07-31 06:00:00,118.73580932617188,31.408626556396484,550.0,0.030654894188046455,11,26,47
34,model_e,2025-07-31 06:00:00,118.74761962890625,31.417068481445312,550.0,0.031130118295550346,11,27,48
35,model_e,2025-07-31 06:00:00,118.75942993164062,31.425487518310547,550.0,0.039057523012161255,11,28,49
36,model_e,2025-07-31 06:00:00,118.771240234375,31.433917999267578,550.0,0.04249446839094162,11,29,50
37,model_e,2025-07-31 06:00:00,118.78305053710938,31.442352294921875,550.0,0.04260364919900894,11,30,51
38,model_e,2025-07-31 06:00:00,118.79486083984375,31.450782775878906,550.0,0.04143860191106796,11,31,52
39,model_e,2025-07-31 06:00:00,118.80667114257812,31.45920181274414,550.0,0.04480813443660736,11,32,53
40,model_e,2025-07-31 06:00:00,118.8184814453125,31.46762466430664,550.0,0.04783402383327484,11,33,54
41,model_e,2025-07-31 06:00:00,118.830322265625,31.476058959960938,500.0,0.04260364919900894,10,34,55
42,model_e,2025-07-31 06:00:00,118.8421630859375,31.484481811523438,500.0,0.04260364919900894,10,35,56
43,model_e,2025-07-31 06:00:00,118.85397338867188,31.492904663085938,500.0,0.048345938324928284,10,36,57
44,model_e,2025-07-31 06:00:00,118.86578369140625,31.501319885253906,500.0,0.05312037095427513,10,37,58
45,model_e,2025-07-31 06:00:00,118.87762451171875,31.509727478027344,450.0,0.04930201917886734,9,38,59
46,model_e,2025-07-31 06:00:00,118.88946533203125,31.51815414428711,400.0,0.046665363013744354,8,39,60
47,model_e,2025-07-31 06:00:00,118.90130615234375,31.52657699584961,400.0,0.04589071497321129,8,40,61
48,model_e,2025-07-31 06:00:00,118.91314697265625,31.534984588623047,400.0,0.044410590082407,8,41,62
49,model_e,2025-07-31 06:00:00,118.92498779296875,31.543411254882812,400.0,0.049790941178798676,8,42,63
50,model_e,2025-07-31 06:00:00,118.93682861328125,31.55181884765625,400.0,0.050810687243938446,8,43,64
51,model_e,2025-07-31 06:00:00,118.94866943359375,31.56023406982422,350.0,0.07221553474664688,7,44,65
52,model_e,2025-07-31 06:00:00,118.96051025390625,31.56863784790039,300.0,0.07963013648986816,6,45,66
53,model_e,2025-07-31 06:00:00,118.97235107421875,31.57705307006836,250.0,0.0848582312464714,5,46,67
