sequence,model,valid_time,longitude_deg,latitude_deg,altitude_agl_m,turbulence_index,grid_z,grid_y,grid_x
0,model_d,2025-07-31 06:00:00,118.36224365234375,31.27780532836914,300.0,0.3852958083152771,6,9,14
1,model_d,2025-07-31 06:00:00,118.3631591796875,31.287067413330078,250.0,0.32967036962509155,5,10,14
2,model_d,2025-07-31 06:00:00,118.36407470703125,31.29631805419922,200.0,0.2783042788505554,4,11,14
3,model_d,2025-07-31 06:00:00,118.364990234375,31.305572509765625,150.0,0.300911545753479,3,12,14
4,model_d,2025-07-31 06:00:00,118.36590576171875,31.314834594726562,100.0,0.2192145586013794,2,13,14
5,model_d,2025-07-31 06:00:00,118.377685546875,31.32331085205078,100.0,0.2400568127632141,2,14,15
6,model_d,2025-07-31 06:00:00,118.37860107421875,31.332565307617188,100.0,0.2117745280265808,2,15,15
7,model_d,2025-07-31 06:00:00,118.3795166015625,31.34180450439453,100.0,0.2158447653055191,2,16,15
8,model_d,2025-07-31 06:00:00,118.38043212890625,31.35106658935547,100.0,0.2308807373046875,2,17,15
9,model_d,2025-07-31 06:00:00,118.3922119140625,31.359535217285156,100.0,0.23928838968276978,2,18,16
10,model_d,2025-07-31 06:00:00,118.39312744140625,31.368793487548828,100.0,0.18042036890983582,2,19,16
11,model_d,2025-07-31 06:00:00,118.39404296875,31.378047943115234,100.0,0.18534377217292786,2,20,16
12,model_d,2025-07-31 06:00:00,118.39495849609375,31.38730239868164,100.0,0.18558569252490997,2,21,16
13,model_d,2025-07-31 06:00:00,118.3958740234375,31.396564483642578,150.0,0.20457744598388672,3,22,16
14,model_d,2025-07-31 06:00:00,118.39682006835938,31.405811309814453,100.0,0.2468414604663849,2,23,16
15,model_d,2025-07-31 06:00:00,118.39773559570312,31.41507339477539,100.0,0.26381754875183105,2,24,16
16,model_d,2025-07-31 06:00:00,118.40951538085938,31.42353057861328,100.0,0.15119224786758423,2,25,17
17,model_d,2025-07-31 06:00:00,118.42129516601562,31.4320068359375,100.0,0.15591514110565186,2,26,18
18,model_d,2025-07-31 06:00:00,118.42221069335938,31.441261291503906,100.0,0.22742770612239838,2,27,18
19,model_d,2025-07-31 06:00:00,118.42315673828125,31.450515747070312,150.0,0.20806020498275757,3,28,18
20,model_d,2025-07-31 06:00:00,118.424072265625,31.45977783203125,200.0,0.16920912265777588,4,29,18
21,model_d,2025-07-31 06:00:00,118.43585205078125,31.468238830566406,150.0,0.16606873273849487,3,30,19
22,model_d,2025-07-31 06:00:00,118.436767578125,31.477500915527344,100.0,0.15262624621391296,2,31,19
23,model_d,2025-07-31 06:00:00,118.43771362304688,31.48675537109375,150.0,0.2535786032676697,3,32,19
24,model_d,2025-07-31 06:00:00,118.43865966796875,31.49600601196289,200.0,0.22500848770141602,4,33,19
25,model_d,2025-07-31 06:00:00,118.450439453125,31.504474639892578,200.0,0.2140498161315918,4,34,20
26,model_d,2025-07-31 06:00:00,118.45135498046875,31.513729095458984,150.0,0.23081190884113312,3,35,20
27,model_d,2025-07-31 06:00:00,118.45230102539062,31.522991180419922,100.0,0.24033552408218384,2,36,20
28,model_d,2025-07-31 06:00:00,118.45321655273438,31.532245635986328,100.0,0.2100033462047577,2,37,20
29,model_d,2025-07-31 06:00:00,118.45416259765625,31.541507720947266,100.0,0.20313382148742676,2,38,20
30,model_d,2025-07-31 06:00:00,118.455078125,31.550762176513672,100.0,0.224242702126503,2,39,20
31,model_d,2025-07-31 06:00:00,118.45602416992188,31.56002426147461,100.0,0.2749960720539093,2,40,20
32,model_d,2025-07-31 06:00:00,118.45697021484375,31.569278717041016,100.0,0.28073811531066895,2,41,20
33,model_d,2025-07-31 06:00:00,118.4578857421875,31.578533172607422,100.0,0.316672682762146,2,42,20
34,model_d,2025-07-31 06:00:00,118.45883178710938,31.587787628173828,100.0,0.3132862150669098,2,43,20
35,model_d,2025-07-31 06:00:00,118.45974731445312,31.597049713134766,100.0,0.2665630877017975,2,44,20
36,model_d,2025-07-31 06:00:00,118.460693359375,31.606311798095703,100.0,0.2517964541912079,2,45,20
37,model_d,2025-07-31 06:00:00,118.46160888671875,31.61556625366211,100.0,0.24890148639678955,2,46,20
38,model_d,2025-07-31 06:00:00,118.46255493164062,31.624813079833984,100.0,0.23238207399845123,2,47,20
39,model_d,2025-07-31 06:00:00,118.4635009765625,31.634082794189453,100.0,0.2633272707462311,2,48,20
