sequence,model,valid_time,longitude_deg,latitude_deg,altitude_agl_m,turbulence_index,grid_z,grid_y,grid_x
0,model_e,2025-07-31 06:00:00,118.36224365234375,31.27780532836914,300.0,0.026263177394866943,6,9,14
1,model_e,2025-07-31 06:00:00,118.37399291992188,31.28628158569336,350.0,0.016900718212127686,7,10,15
2,model_e,2025-07-31 06:00:00,118.3857421875,31.29474639892578,400.0,0.031628455966711044,8,11,16
3,model_e,2025-07-31 06:00:00,118.39749145507812,31.30321502685547,450.0,0.027561388909816742,9,12,17
4,model_e,2025-07-31 06:00:00,118.40924072265625,31.31167221069336,450.0,0.010824072174727917,9,13,18
5,model_e,2025-07-31 06:00:00,118.4210205078125,31.320133209228516,450.0,0.008936328813433647,9,14,19
6,model_e,2025-07-31 06:00:00,118.43276977539062,31.328609466552734,450.0,0.008936328813433647,9,15,20
7,model_e,2025-07-31 06:00:00,118.44451904296875,31.337074279785156,500.0,0.026539968326687813,10,16,21
8,model_e,2025-07-31 06:00:00,118.45538330078125,31.336280822753906,500.0,0.012702739797532558,10,16,22
9,model_e,2025-07-31 06:00:00,118.4661865234375,31.335479736328125,500.0,0.012702739797532558,10,16,23
10,model_e,2025-07-31 06:00:00,118.47796630859375,31.343929290771484,500.0,0.027561388909816742,10,17,24
11,model_e,2025-07-31 06:00:00,118.48880004882812,31.34313201904297,500.0,0.012140991166234016,10,17,25
12,model_e,2025-07-31 06:00:00,118.50057983398438,31.351600646972656,500.0,0.008901216089725494,10,18,26
13,model_e,2025-07-31 06:00:00,118.51235961914062,31.360057830810547,500.0,0.008635521866381168,10,19,27
14,model_e,2025-07-31 06:00:00,118.52413940429688,31.36850357055664,550.0,0.009873947128653526,11,20,28
15,model_e,2025-07-31 06:00:00,118.53591918945312,31.376953125,550.0,0.02646726742386818,11,21,29
16,model_e,2025-07-31 06:00:00,118.5467529296875,31.376155853271484,550.0,0.02646726742386818,11,21,30
17,model_e,2025-07-31 06:00:00,118.55853271484375,31.38460922241211,550.0,0.04470667243003845,11,22,31
18,model_e,2025-07-31 06:00:00,118.5703125,31.393051147460938,550.0,0.06025196984410286,11,23,32
19,model_e,2025-07-31 06:00:00,118.58209228515625,31.401508331298828,550.0,0.047919370234012604,11,24,33
20,model_e,2025-07-31 06:00:00,118.59295654296875,31.40069580078125,550.0,0.039716415107250214,11,24,34
